,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.50267,1.2,1,0.34349,0.43565,0.40214,0,1.85989,-0.65,-0.32674,0.17594,5,3U1D,2.0,True,0.173,0,False,right,0.0,0.3488,0.5238,0.1751,0.9238,1.4245,0.5007,A
1,0.50267,0.1,2,0.20945,0.44403,0.65347,1,1.98556,-0.65,-0.32674,0.17594,5,2U1D,1.0,True,0.9,0,False,left,0.0,1.3635,1.5395,0.176,0.2137,0.7135,0.4998,V
2,0.50267,1.2,2,0.24296,0.21782,0.82103,2,1.96042,-0.65,-0.32674,0.17594,5,3U1D,1.0,True,0.634,0,False,left,0.0,1.5605,1.7352,0.1746,0.2438,0.7437,0.4998,A
3,0.50267,0.1,1,0.33512,0.41889,0.73725,3,2.0442,-0.9,-0.45241,0.05027,5,lapse_rate,2.0,True,0.642,0,False,right,0.0,0.3391,0.389,0.05,1.1223,1.6225,0.5001,V
4,0.50267,0.1,2,0.28485,0.2262,0.57807,4,1.76773,-0.65,-0.32674,0.17594,5,2U1D,1.0,True,1.076,0,False,left,0.0,1.3654,1.5405,0.1751,0.2902,0.7917,0.5016,V
5,0.50267,1.2,1,0.31836,0.35187,0.57807,5,2.572,0.65,0.32674,0.82103,5,2D1U,1.0,True,0.108,0,False,left,0.0,0.3266,1.1435,0.817,1.7182,2.218,0.4999,V
6,0.50267,0.1,1,0.39376,0.40214,0.88806,6,3.00766,0.65,0.32674,0.82103,5,3D1U,1.0,True,3.967,0,False,left,0.0,0.3941,1.2113,0.8172,2.094,2.5941,0.5001,V
7,0.50267,1.2,1,0.20945,0.24296,0.8713,7,2.64741,0.65,0.32674,0.82103,5,2D1U,2.0,False,0.425,0,False,right,0.0,0.2169,1.0337,0.8169,1.9004,2.4,0.4997,A
8,0.50267,0.1,2,0.25971,0.29323,0.47754,8,2.47985,0.9,0.45241,0.9467,5,lapse_rate,2.0,True,2.001,0,False,right,0.0,1.2411,2.1837,0.9425,0.2668,0.7657,0.4989,V
9,0.50267,0.1,1,0.40214,0.38538,0.7959,9,2.31229,-0.55,-0.27647,0.2262,5,2U1D,2.0,True,0.542,0,False,right,0.0,0.404,0.6298,0.2259,1.4214,1.9212,0.4998,A
10,0.50267,1.2,2,0.2262,0.21782,0.55294,10,1.67557,-0.65,-0.32674,0.17594,5,3U1D,1.0,True,0.608,0,False,left,0.0,1.2812,1.4555,0.1743,0.2303,0.7305,0.5003,A
11,0.50267,0.1,1,0.30998,0.32674,0.45241,11,2.41283,0.65,0.32674,0.82103,5,3D1U,2.0,False,0.917,0,False,right,0.0,0.3163,1.1335,0.8172,1.5829,2.0829,0.5,V
12,0.50267,1.2,1,0.32674,0.29323,0.67861,12,2.02745,-0.55,-0.27647,0.2262,5,2U1D,2.0,True,0.617,0,False,right,0.0,0.3324,0.5573,0.2249,1.2323,1.7325,0.5002,A
13,0.50267,0.1,1,0.25971,0.25134,0.6451,13,1.88502,-0.55,-0.27647,0.2262,5,3U1D,2.0,True,0.133,0,False,right,0.0,0.2657,0.4905,0.2248,1.1327,1.6323,0.4996,A
