,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.5,0.0,2,0.51667,0.64167,0.45,0,3.05834,0.9,0.45,0.95,5,lapse_rate,1.0,False,2.033,0,False,left,0.0,1.4709127079986501,2.4215780000085942,0.9506652920099441,0.5095582920184825,1.021385250001913,0.5118269579834305,
1,0.5,0.0,1,0.65,0.51667,0.475,1,2.24167,-0.8,-0.4,0.1,5,2U1D,1.0,False,3.417,0,False,left,0.0,0.6065535840170924,0.7064950420171954,0.09994145800010301,1.1850039590208326,1.6844373750209343,0.4994334160001017,
2,0.5,0.0,2,0.50833,0.43333,0.01667,2,1.55833,-0.8,-0.4,0.1,5,1U1D,1.0,True,3.423,0,False,left,0.0,1.0048142909945454,1.1166541250131559,0.11183983401861042,0.4707813750137575,0.9880237500183284,0.5172423750045709,
3,0.5,0.0,2,0.525,0.6,0.40833,3,2.93333,0.8,0.4,0.9,5,1D1U,1.0,False,2.818,0,False,left,0.0,1.590098417014815,2.5022647920122836,0.9121663749974687,0.6845751670189202,1.1855134170036763,0.5009382499847561,
4,0.5,0.0,1,0.4,0.46667,0.69167,4,2.10834,-0.9,-0.45,0.05,5,2U1D,1.0,False,0.197,0,False,left,0.0,0.4000767090183217,0.4500720000069123,0.04999529098859057,1.170671667001443,1.671769584005233,0.5010979170037899,
5,0.5,0.0,2,0.625,0.6,0.325,5,2.95,0.8,0.4,0.9,5,2D1U,1.0,False,0.16,0,False,left,0.0,1.4727546249923762,2.385096457990585,0.9123418329982087,0.6229687499871943,1.1342528329987545,0.5112840830115601,
6,0.5,0.0,1,0.48333,0.53333,0.45,6,2.01666,-0.9,-0.45,0.05,5,lapse_rate,1.0,False,0.472,0,False,left,0.0,0.47749512500013225,0.5289608750026673,0.05146575000253506,0.9785728749993723,1.4786547909898218,0.5000819159904495,
7,0.5,0.0,1,0.425,0.43333,0.00833,7,1.56666,-0.6,-0.3,0.2,5,1U1D,2.0,True,1.846,0,False,right,0.0,0.3826579159940593,0.5838478750083596,0.20118995901430026,0.5924434580083471,1.1000710410007741,0.507627582992427,
8,0.5,0.0,2,0.63333,0.54167,0.14167,8,2.76667,0.9,0.45,0.95,5,lapse_rate,1.0,False,0.217,0,False,left,0.0,1.234379750007065,2.184653333009919,0.9502735830028541,0.5883568330027629,1.0879104580089916,0.4995536250062287,
9,0.5,0.0,2,0.575,0.55,0.68333,9,3.30833,1.0,0.5,1.0,5,1D1U,1.0,False,1.231,0,False,left,0.0,1.8347760830074549,2.83916308300104,1.004386999993585,0.6018141249951441,1.1519242920039687,0.5501101670088246,
10,0.5,0.0,2,0.45833,0.51667,0.58333,10,2.10833,-0.9,-0.45,0.05,5,2U1D,2.0,False,1.674,0,False,right,0.0,1.5830715829797555,1.6333380829892121,0.05026650000945665,0.45435737498337403,0.9552354579791427,0.5008780829957686,
11,0.5,0.0,1,0.46667,0.525,0.25,11,2.74167,1.0,0.5,1.0,5,2D1U,2.0,False,1.806,0,False,right,0.0,0.4692325830110349,1.4739809159946162,1.0047483329835813,1.723317333002342,2.2239959159924183,0.5006785829900764,
12,0.5,0.0,1,0.475,0.51667,0.775,12,2.31667,-0.9,-0.45,0.05,5,lapse_rate,1.0,False,1.184,0,False,left,0.0,0.4537803750135936,0.5050358750158921,0.051255500002298504,1.283030625025276,1.7866025420080405,0.5035719169827644,
13,0.5,0.0,1,0.41667,0.575,0.325,13,2.11667,-0.4,-0.2,0.3,5,1U1D,2.0,True,2.28,0,False,right,0.0,0.3838830000022426,0.6836786670028232,0.2997956670005806,1.0040704580023885,1.5049912499962375,0.500920791993849,
14,0.5,0.0,1,0.49167,0.64167,0.10833,14,2.84167,1.2,0.6,1.1,5,2D1U,2.0,False,0.16,0,False,right,0.0,0.45069816600880586,1.5506771250220481,1.0999789590132423,1.6549107909959275,2.1555356250028126,0.5006248340068851,
15,0.5,0.0,2,0.6,0.48333,0.69167,15,3.375,1.2,0.6,1.1,5,1D1U,1.0,False,1.607,0,False,left,0.0,1.8566684169927612,2.9570386249979492,1.100370208005188,0.6099707919929642,1.1281239169766195,0.5181531249836553,
16,0.5,0.0,1,0.51667,0.575,0.53333,16,2.175,-0.9,-0.45,0.05,5,2U1D,1.0,False,0.161,0,False,left,0.0,0.51690650000819,0.5669825829972979,0.05007608298910782,1.1173532500106376,1.6221620829892345,0.5048088329785969,
