,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.5,1.2,2,0.38333,0.36667,0.575,0,1.875,-0.9,-0.45,0.05,5,1D1U,1.0,True,0.306,0,False,left,0.0,0.0004581250250339508,1.8825378329493105,1.8820797079242766,0.5663996669463813,1.233771707979031,0.6673720410326496,
1,0.5,0.1,2,0.41667,0.35833,0.88333,1,2.20833,-0.9,-0.45,0.05,5,1D2U,2.0,False,0.516,0,False,right,0.0,0.00032179098343476653,2.211792832997162,2.211471042013727,0.5094359160284512,1.1764715000172146,0.6670355839887634,
2,0.5,1.2,2,0.28333,0.4,0.4,2,1.63333,-0.9,-0.45,0.05,5,1U1D,1.0,True,0.108,0,False,left,0.0,0.0003143749781884253,1.6462384999613278,1.6459241249831393,0.32886383397271857,0.9956844169646502,0.6668205829919316,
3,0.5,0.1,2,0.43333,0.31667,0.43333,3,1.81666,-0.74,-0.36667,0.13333,5,1D1U,2.0,False,0.235,0,False,right,0.0,0.00039995904080569744,1.8344304999918677,1.834030540951062,0.533941000001505,1.2501589579624124,0.7162179579609074,
4,0.5,1.2,2,0.41667,0.325,0.75833,4,2.05,-0.9,-0.45,0.05,5,lapse_rate,1.0,True,0.198,0,False,left,0.0,0.0003921249881386757,2.0518788330373354,2.0514867080491967,0.47324737504823133,1.1680657080141827,0.6948183329659514,
5,0.5,1.2,2,0.33333,0.29167,0.53333,5,1.70833,-0.9,-0.45,0.05,5,2D1U,2.0,False,0.112,0,False,right,0.0,0.00033974996767938137,1.7171708749956451,1.7168311250279658,0.40059274999657646,1.0715243750019,0.6709316250053234,
6,0.5,0.1,2,0.44167,0.275,0.73333,6,2.04167,-0.82,-0.40833,0.09167,5,1D1U,2.0,False,0.138,1,True,right,0.0,0.000356542004738003,2.0514579999726266,2.0511014579678886,0.5675923749804497,1.2001063749776222,0.6325139999971725,
7,0.5,1.2,2,0.24167,0.325,0.55,7,1.66667,-0.9,-0.45,0.05,5,1U1D,1.0,True,0.384,0,False,left,0.0,0.000333332980517298,1.6807748330174945,1.6804415000369772,0.26305845798924565,0.8949274580227211,0.6318690000334755,
8,0.5,0.1,2,0.45,0.3,0.625,8,1.925,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.249,0,False,left,0.0,0.0003972090198658407,1.9325724160298705,1.9321752070100047,0.5035674580140039,1.2159399160300381,0.7123724580160342,
9,0.5,1.2,2,0.23333,0.33333,0.81667,9,2.83333,0.9,0.45,0.95,5,lapse_rate,2.0,True,0.418,0,False,right,0.0,0.00030408299062401056,2.8359484170214273,2.8356443340308033,0.25210795900784433,0.941849084047135,0.6897411250392906,
