,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.4965,0.0,1,0.5131,0.6124,0.6124,0,2.4165,-0.65,-0.331,0.1821,5,3U1D,2.0,True,1.034,0,False,right,0.0,0,0,0,0,0,0,
1,0.4965,0.0,2,0.4138,0.4965,0.6455,1,2.2344,-0.65,-0.331,0.1821,5,2U1D,1.0,True,1.66,0,False,left,0.0,0,0,0,0,0,0,
2,0.4965,0.0,2,0.5131,0.6455,0.7944,2,2.5488,-0.8,-0.3972,0.0993,5,lapse_rate,2.0,False,0.55,0,False,right,0.0,0,0,0,0,0,0,
3,0.4965,0.0,2,0.4469,0.5296,0.8275,3,3.128,0.65,0.331,0.8275,5,3D1U,1.0,False,0.674,0,False,left,0.0,0,0,0,0,0,0,
4,0.4965,0.0,1,0.5793,0.4303,0.5462,4,2.2344,-0.65,-0.331,0.1821,5,2U1D,1.0,False,0.684,0,False,left,0.0,0,0,0,0,0,0,
5,0.4965,0.0,1,0.4469,0.5793,0.7282,5,2.433,-0.65,-0.331,0.1821,5,3U1D,1.0,False,0.685,0,False,left,0.0,0,0,0,0,0,0,
6,0.4965,0.0,1,0.6289,0.4634,0.5462,6,2.9625,0.65,0.331,0.8275,5,2D1U,2.0,False,1.168,0,False,right,0.0,0,0,0,0,0,0,
7,0.4965,0.0,1,0.6455,0.5627,0.7779,7,2.5819,-0.8,-0.3972,0.0993,5,lapse_rate,1.0,False,0.717,0,False,left,0.0,0,0,0,0,0,0,
8,0.4965,0.0,2,0.4965,0.5462,0.7613,8,2.3833,-0.85,-0.4303,0.0828,5,3U1D,2.0,False,0.214,0,False,right,0.0,0,0,0,0,0,0,
9,0.4965,0.0,1,0.5296,0.5296,0.7448,9,3.2273,0.85,0.4303,0.9268,5,3D1U,1.0,True,0.533,0,False,left,0.0,0,0,0,0,0,0,
10,0.4965,0.0,1,0.6289,0.5793,0.4965,10,3.128,0.85,0.4303,0.9268,5,2D1U,2.0,False,0.813,0,False,right,0.0,0,0,0,0,0,0,
11,0.4965,0.0,2,0.5627,0.6289,0.8772,11,2.6481,-0.85,-0.4303,0.0828,5,2U1D,1.0,True,0.491,0,False,left,0.0,0,0,0,0,0,0,
12,0.4965,0.0,2,0.4965,0.6124,0.7613,12,2.4495,-0.85,-0.4303,0.0828,5,2U1D,2.0,False,0.642,0,False,right,0.0,0,0,0,0,0,0,
