,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
0,0.5002,0.0,1,0.6003,0.5586,0.0834,0,2.5679,0.65,0.3252,0.8254,5,1D1U,1.0,True,0.264,0,False,left,0.0,0.586422599999878,1.4113750999999866,0.8249525000001086,1.48662319999994,1.9864340999999968,0.4998109000000568,
1,0.5002,0.0,2,0.5419,0.5336,0.1501,1,2.6763,0.9,0.4502,0.9505,5,lapse_rate,2.0,True,0.533,0,False,right,0.0,1.1812660000000506,2.1400590000000648,0.9587930000000142,0.5315656000000217,1.0311526000000413,0.49958700000001954,
2,0.5002,0.0,2,0.4919,0.617,0.3835,2,2.1677,-0.65,-0.3252,0.1751,5,2U1D,1.0,True,0.758,0,False,left,0.0,1.3665942999998606,1.5497556999998778,0.18316140000001724,0.4830035999998472,0.9830400999999256,0.5000365000000784,
3,0.5002,0.0,1,0.4419,0.4586,0.8337,3,2.9597,0.45,0.2251,0.7253,5,1D1U,1.0,True,0.416,0,False,left,0.0,0.4310187000000951,1.1640380999999707,0.7330193999998755,1.9809437999999773,2.480777900000021,0.4998341000000437,
4,0.5002,0.0,2,0.4919,0.5336,0.5586,4,2.1343,-0.9,-0.4502,0.05,5,lapse_rate,1.0,True,1.258,0,False,left,0.0,1.540367500000002,1.59037770000009,0.050010200000087934,0.48201300000005176,0.9821306999999706,0.5001176999999188,
5,0.5002,0.0,2,0.5669,0.5002,0.4169,5,2.8096,0.65,0.3252,0.8254,5,2D1U,2.0,True,0.199,0,False,right,0.0,1.473888400000078,2.298911999999973,0.8250235999998949,0.5572617000000264,1.0571919999999864,0.49993029999995997,
6,0.5002,0.0,2,0.4919,0.5919,0.0167,6,1.7758,-0.65,-0.3252,0.1751,5,1U1D,1.0,True,1.092,0,False,left,0.0,0.9985016000000542,1.1736574999999903,0.17515589999993608,0.4817470000000412,0.9821071000001211,0.5003601000000799,
7,0.5002,0.0,1,0.4169,0.4586,0.767,7,2.9681,0.65,0.3252,0.8254,5,2D1U,1.0,True,2.566,0,False,left,0.0,0.404825800000026,1.2382915999999113,0.8334657999998853,1.9882888999998158,2.488073699999859,0.4997848000000431,
8,0.5002,0.0,1,0.5169,0.6253,0.2668,8,2.0843,-0.65,-0.3252,0.1751,5,2U1D,2.0,True,0.342,0,False,right,0.0,0.508638400000109,0.6916685999999572,0.18303019999984826,0.9417278000000806,1.4417799000000286,0.500052099999948,
9,0.5002,0.0,2,0.617,0.5252,0.6753,9,2.3677,-0.9,-0.4502,0.05,5,lapse_rate,1.0,True,3.424,0,False,left,0.0,1.7825955000000704,1.83311730000014,0.05052180000006956,0.607526400000097,1.1079171000001224,0.5003907000000254,
10,0.5002,0.0,1,0.617,0.4169,0.2751,10,2.0843,-0.45,-0.2251,0.2751,5,1U1D,2.0,True,0.7,0,False,right,0.0,0.6075726000001396,0.890937200000053,0.2833645999999135,1.1490166000000954,1.6492517000001499,0.5002351000000544,
11,0.5002,0.0,2,0.6336,0.5919,0.5169,11,2.8679,0.25,0.1251,0.6253,5,1D1U,2.0,True,0.233,0,False,right,0.0,1.6376659000000018,2.2630618999999115,0.6253959999999097,0.6214500999999473,1.1212381999998797,0.49978809999993246,
12,0.5002,0.0,1,0.5419,0.5503,0.8838,12,2.8514,-0.25,-0.1251,0.3752,5,1U1D,1.0,False,0.833,0,False,left,0.0,0.5335990000000947,0.9088259000000107,0.375226899999916,1.7834055000000717,2.283793100000139,0.5003876000000673,
13,0.5002,0.0,2,0.5252,0.5753,0.4252,13,2.9764,0.9,0.4502,0.9505,5,lapse_rate,2.0,True,0.163,0,False,right,0.0,1.440444800000023,2.3988601999999446,0.9584153999999216,0.5153545999999096,1.0153381000000081,0.4999835000000985,
14,0.5002,0.0,1,0.617,0.4919,0.8254,14,2.7096,-0.45,-0.2251,0.2751,5,2U1D,2.0,True,2.233,0,False,right,0.0,0.6029102999998486,0.8778247999998712,0.2749145000000226,1.6944240999998783,2.1941154999999526,0.4996914000000743,
15,0.5002,0.0,1,0.5586,0.4335,0.2418,15,2.4594,0.45,0.2251,0.7253,5,2D1U,1.0,True,0.675,0,False,left,0.0,0.5497345999999652,1.2746784000000844,0.7249438000001192,1.5083164000000124,2.0083137000001443,0.4999973000001319,
16,0.5002,0.0,2,0.5919,0.617,0.2835,16,2.5178,0.05,0.025,0.5252,5,1D1U,1.0,False,1.716,0,False,left,0.0,1.365880599999855,1.8911682000000383,0.5252876000001834,0.5829945999998927,1.0825473999998394,0.49955279999994673,
17,0.5002,0.0,1,0.4252,0.5002,0.8754,17,2.8929,0.184,0.0917,0.5919,5,1D1U,2.0,False,0.574,1,True,right,0.0,0.4160604000001058,1.0075319000000036,0.5914714999998978,1.8744474000000082,2.3745698000000175,0.5001224000000093,
18,0.5002,0.0,1,0.6086,0.5419,0.1501,18,2.5261,0.45,0.2251,0.7253,5,2D1U,2.0,False,0.233,0,False,right,0.0,0.597013699999934,1.3217678999999407,0.7247542000000067,1.4636623999999756,1.963931300000013,0.5002689000000373,
19,0.5002,0.0,2,0.642,0.4252,0.4919,19,2.1093,-0.9,-0.4502,0.05,5,lapse_rate,1.0,True,1.016,0,False,left,0.0,1.6242374999999356,1.6662927999998374,0.04205529999990176,0.63257469999985,1.1329533000000538,0.5003786000002037,
20,0.5002,0.0,2,0.6253,0.4085,0.2835,20,2.0926,-0.45,-0.2251,0.2751,5,2U1D,1.0,True,0.599,0,False,left,0.0,1.398660899999868,1.6737516999999116,0.2750908000000436,0.6150268999999753,1.1155914999999368,0.5005645999999615,
21,0.5002,0.0,1,0.6253,0.6003,0.767,21,2.8013,-0.384,-0.1918,0.3085,5,1U1D,2.0,True,1.284,1,True,right,0.0,0.6142075000000204,0.9303013999999621,0.31609389999994164,1.680569099999957,2.180568100000073,0.4999990000001162,
22,0.5002,0.0,2,0.5503,0.4836,0.667,22,2.5763,-0.25,-0.1251,0.3752,5,2U1D,2.0,False,1.058,0,False,right,0.0,1.7067389999999705,2.08984630000009,0.3831073000001197,0.5400999999999385,1.0398827999999867,0.49978280000004816,
23,0.5002,0.0,2,0.4502,0.4502,0.2585,23,2.3177,0.318,0.1584,0.6586,5,1D1U,2.0,True,0.4,1,False,right,0.0,1.1980579999999463,1.8565516999999545,0.6584937000000082,0.4400544000000082,0.9398462999999992,0.4997918999999911,
24,0.5002,0.0,1,0.5419,0.617,0.5503,24,2.5596,-0.2942,-0.1501,0.3502,5,1U1D,2.0,True,0.357,2,True,right,0.0,0.5315861999999925,0.8898997999999665,0.35831359999997403,1.4232701000000816,1.9231776999999965,0.49990759999991496,
25,0.5002,0.0,1,0.5586,0.5252,0.7754,25,3.1514,0.584,0.2918,0.792,5,2D1U,1.0,True,1.091,1,True,left,0.0,0.5471445000000585,1.347066699999914,0.7999221999998554,2.105523200000107,2.605513700000074,0.49999049999996714,
26,0.5002,0.0,2,0.5503,0.4419,0.4836,26,2.9265,0.9,0.4502,0.9505,5,lapse_rate,2.0,True,1.574,0,False,right,0.0,1.52149959999997,2.4883391999999276,0.9668395999999575,0.5382614999998623,1.0382646999998997,0.5000032000000374,
27,0.5002,0.0,2,0.5753,0.4752,0.3668,27,2.7095,0.584,0.2918,0.792,5,2D1U,2.0,True,0.357,1,True,right,0.0,1.4315822000000935,2.23190610000006,0.8003238999999667,0.5654460999999174,1.0649634999999762,0.49951740000005884,
28,0.5002,0.0,1,0.5169,0.5836,0.1167,28,2.0259,-0.384,-0.1918,0.3085,5,2U1D,1.0,False,1.333,1,True,left,0.0,0.5064294999999674,0.8147297000000435,0.3083002000000761,0.9227589000001899,1.4227758000001813,0.5000168999999914,
29,0.5002,0.0,1,0.4752,0.6336,0.7253,29,2.7345,-0.2044,-0.1,0.4002,5,1U1D,1.0,False,0.274,2,False,left,0.0,0.4653376000001117,0.8740399000000707,0.408702299999959,1.5821831000000657,2.082418700000062,0.5002355999999963,
30,0.5002,0.0,1,0.5169,0.4419,0.4586,30,1.9676,-0.9,-0.4502,0.05,5,lapse_rate,2.0,True,1.299,0,False,right,0.0,0.5036654999998973,0.5540244999999686,0.05035900000007132,1.0122251999998753,1.5120542999998179,0.4998290999999426,
31,0.5002,0.0,1,0.5919,0.5086,0.3085,31,2.5262,0.2282,0.1167,0.617,5,1D1U,1.0,True,0.641,2,True,left,0.0,0.582048900000018,1.20738080000001,0.625331899999992,1.498730499999965,1.9991864999999507,0.5004559999999856,
32,0.5002,0.0,2,0.5419,0.4002,0.7504,32,2.4345,-0.518,-0.2585,0.2418,5,2U1D,2.0,False,47.966,1,False,right,0.0,1.7824031999998624,2.0321213999998236,0.24971819999996114,0.5324112999999215,1.0323676000000432,0.4999563000001217,
33,0.5002,0.0,2,0.5503,0.4502,0.2001,33,2.2677,0.1384,0.0667,0.5669,5,1D1U,2.0,True,2.141,2,False,right,0.0,1.2406541000000288,1.807253499999888,0.5665993999998591,0.5405542999999398,1.0406763999999384,0.5001220999999987,
34,0.5002,0.0,2,0.4419,0.5086,0.7587,34,2.9598,0.4942,0.2501,0.7504,5,2D1U,2.0,True,2.783,2,True,right,0.0,1.6890855999999985,2.447325699999965,0.7582400999999663,0.4304783000000043,0.9304692000000614,0.4999909000000571,
35,0.5002,0.0,1,0.4252,0.4335,0.0417,35,1.7508,-0.2942,-0.1501,0.3502,5,1U1D,2.0,True,1.683,3,True,right,0.0,0.41487819999997555,0.7733355999998821,0.35845739999990656,0.7983328999998776,1.2983847999998943,0.5000519000000168,
36,0.5002,0.0,2,0.4586,0.4669,0.1667,36,2.5429,0.9,0.4502,0.9505,5,lapse_rate,2.0,True,0.333,0,False,right,0.0,1.1137670000000526,2.071779099999958,0.9580120999999053,0.4468421000001399,0.9468403000000762,0.49999819999993633,
37,0.5002,0.0,2,0.5252,0.5419,0.0667,37,1.8091,-0.652,-0.3252,0.1751,5,2U1D,1.0,True,0.992,1,False,left,0.0,1.0828822999999375,1.258062000000109,0.17517970000017158,0.5161734000000706,1.0164910999999393,0.5003176999998686,
38,0.5002,0.0,1,0.5919,0.5002,0.0083,38,2.1258,0.0487,0.025,0.5252,5,1D1U,1.0,True,1.6,2,False,left,0.0,0.5833050999999614,1.1162790999999288,0.5329739999999674,1.1080354999999145,1.608016599999928,0.4999811000000136,
39,0.5002,0.0,2,0.6086,0.4669,0.3085,39,2.6346,0.4942,0.2501,0.7504,5,2D1U,2.0,True,0.592,2,True,right,0.0,1.4055261999999402,2.1722446999999647,0.7667185000000245,0.5972150999998576,1.0972315999999864,0.5000165000001289,
