,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.5013,0.0,1,0.4428,0.4595,0.2674,0,2.6234,0.9,0.4512,0.9524,5,1U1D,1.0,True,1.41,0,False,left,0.0,0.4306417999905534,1.3805697999778204,0.949927999987267,1.6472589999902993,2.1473223000066355,0.5000633000163361,
1,0.5013,0.0,2,0.4595,0.5932,0.2674,1,2.7738,0.9,0.4512,0.9524,5,2D1U,2.0,True,0.5,0,False,right,0.0,1.2181861999561079,2.168132999970112,0.9499468000140041,0.4517725999467075,0.9515124000026844,0.49973980005597696,
2,0.5013,0.0,1,0.635,0.4846,0.2005,2,2.7738,0.9,0.4512,0.9524,5,2U1D,2.0,False,0.609,0,False,right,0.0,0.6220754999667406,1.571377499960363,0.9493019999936223,1.7713893000036478,2.271574500016868,0.5001852000132203,
3,0.5013,0.0,1,0.5263,0.6182,0.0418,3,2.64,0.9,0.4512,0.9524,5,2D1U,1.0,True,0.733,0,False,left,0.0,0.5153761000256054,1.4653824000270106,0.9500063000014052,1.5158887000288814,2.0155254999990575,0.49963679997017607,
4,0.5013,0.0,2,0.4595,0.4762,0.4762,4,2.8656,0.9,0.4512,0.9524,5,1D1U,2.0,True,0.949,0,False,right,0.0,1.4240981999901123,2.3737028999603353,0.949604699970223,0.4486569999717176,0.9486681999987923,0.5000112000270747,
5,0.5013,0.0,1,0.4261,0.4846,0.6182,5,2.0803,-0.9,-0.4512,0.0501,5,lapse_rate,2.0,True,0.891,0,False,right,0.0,0.4161018999875523,0.46629399998346344,0.05019209999591112,1.0828381999745034,1.5823656999855302,0.49952750001102686,
6,0.5013,0.0,2,0.4177,0.5598,0.0668,6,2.3978,0.7,0.3509,0.8522,5,1U1D,2.0,True,0.491,0,False,right,0.0,0.9737202000105754,1.8234162000007927,0.8496959999902174,0.4068284000386484,0.9071186000364833,0.5002901999978349,
7,0.5013,0.0,2,0.5514,0.5347,0.8856,7,3.5257,1.1,0.5514,1.0527,5,2U1D,2.0,True,0.683,0,False,right,0.0,1.9234321999829262,2.9733326000277884,1.0499004000448622,0.5400526000303216,1.0398646999965422,0.49981209996622056,
8,0.5013,0.0,2,0.5347,0.4177,0.0668,8,2.4729,0.9,0.4512,0.9524,5,lapse_rate,2.0,True,0.541,0,False,right,0.0,1.088942100002896,2.038998599979095,0.9500564999761991,0.5221865000203252,1.021994300012011,0.4998077999916859,
9,0.5013,0.0,2,0.4679,0.4261,0.7352,9,2.9827,0.7,0.3509,0.8522,5,2D1U,2.0,True,0.433,0,False,right,0.0,1.6898209999781102,2.539837999967858,0.850016999989748,0.45648270001402125,0.9565326999872923,0.500049999973271,
10,0.5013,0.0,1,0.6015,0.5514,0.4512,10,2.8573,0.5,0.2506,0.7519,5,1U1D,1.0,True,1.884,0,False,left,0.0,0.5900414999923669,1.3400781999807805,0.7500366999884136,1.7983745000092313,2.2982561999815516,0.49988169997232035,
11,0.5013,0.0,1,0.5013,0.6182,0.3175,11,2.7905,0.7,0.3509,0.8522,5,1D1U,2.0,False,1.391,0,False,right,0.0,0.48885309998877347,1.338710899988655,0.8498577999998815,1.6551749999634922,2.155361699988134,0.500186700024642,
12,0.5013,0.0,2,0.4679,0.4261,0.6684,12,2.9744,0.82,0.4094,0.9107,5,1D1U,2.0,True,0.558,1,True,right,0.0,1.6235941000049934,2.531640500004869,0.9080463999998756,0.4566431000130251,0.9568078999873251,0.5001647999743,
13,0.5013,0.0,1,0.4094,0.518,0.3342,13,2.7153,0.9,0.4512,0.9524,5,lapse_rate,1.0,True,0.391,0,False,left,0.0,0.39620250003645197,1.3461649000528269,0.9499624000163749,1.6793471000273712,2.1796213000197895,0.5002741999924183,
14,0.5013,0.0,1,0.6099,0.5932,0.0418,14,2.7989,1.1,0.5514,1.0527,5,2U1D,1.0,True,1.066,0,False,left,0.0,0.5976172000519,1.6478192000067793,1.0502019999548793,1.6896613000426441,2.1892250000382774,0.4995636999956332,
15,0.5013,0.0,2,0.4679,0.5932,0.2757,15,2.6903,0.7,0.3509,0.8522,5,2D1U,2.0,True,0.733,0,False,right,0.0,1.2333113999920897,2.083192999998573,0.8498816000064835,0.4585143000003882,0.9583589999820106,0.4998446999816224,
16,0.5013,0.0,1,0.6266,0.6099,0.6182,16,3.0077,0.3,0.1504,0.6517,5,1U1D,2.0,False,0.161,0,False,right,0.0,0.6164276000345126,1.2662273000460118,0.6497997000114992,1.883025000046473,2.383119900012389,0.5000948999659158,
17,0.5013,0.0,2,0.5598,0.4428,0.5598,17,3.0161,0.9,0.4512,0.9524,5,lapse_rate,2.0,True,1.175,0,False,right,0.0,1.603775100025814,2.5534926000400446,0.9497175000142306,0.5454050000407733,1.045341000019107,0.4999359999783337,
18,0.5013,0.0,1,0.4846,0.5681,0.4679,18,2.8991,0.748,0.376,0.8772,5,1D1U,1.0,True,1.358,2,True,left,0.0,0.4734144000103697,1.348139200010337,0.8747247999999672,1.8149309000000358,2.3150100000202656,0.5000791000202298,
