,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.4997,0.0,2,0.4414,0.4164,0.2415,0,2.5484,0.9,0.4497,0.9494,5,1D1U,2.0,True,0.745,0,False,right,0.0,1.174667299957946,2.124773899966385,0.9501066000084393,0.43291460000909865,0.9329719999805093,0.5000573999714106,
1,0.4997,0.0,1,0.5746,0.4913,0.3748,1,2.8898,0.9,0.4497,0.9494,5,2D1U,2.0,False,0.475,0,False,right,0.0,0.5663618000107817,1.5163076999597251,0.9499458999489434,1.8994060999830253,2.3996698000119068,0.5002637000288814,
2,0.4997,0.0,2,0.6079,0.5996,0.1582,2,1.9154,-0.9,-0.4497,0.05,5,2U1D,1.0,True,0.783,0,False,left,0.0,1.2564272999879904,1.306305899983272,0.04987859999528155,0.5983615999575704,1.0980059999856167,0.4996444000280462,
3,0.4997,0.0,2,0.4997,0.508,0.075,3,2.6317,1.1,0.5496,1.0493,5,2D1U,2.0,True,0.441,0,False,right,0.0,1.066328799992334,2.1163443999830633,1.0500155999907292,0.4912744000321254,0.9911535999854095,0.4998791999532841,
4,0.4997,0.0,1,0.5413,0.4081,0.1249,4,2.4234,0.7,0.3498,0.8494,5,1D1U,1.0,True,0.992,0,False,left,0.0,0.532609100046102,1.374339800036978,0.841730699990876,1.5158751000417396,2.016105199989397,0.5002300999476574,
5,0.4997,0.0,1,0.4997,0.4747,0.1666,5,2.5901,0.9,0.4497,0.9494,5,lapse_rate,1.0,True,0.866,0,False,left,0.0,0.4909821000183001,1.441064800019376,0.9500827000010759,1.607585099991411,2.1075355000211857,0.49995040002977476,
6,0.4997,0.0,1,0.6079,0.5247,0.1083,6,1.7906,-0.9,-0.4497,0.05,5,1U1D,2.0,True,0.375,0,False,right,0.0,0.5996547999675386,0.6410207999870181,0.04136600001947954,0.7660406999639235,1.266200099955313,0.5001593999913894,
7,0.4997,0.0,1,0.4497,0.4247,0.0916,7,2.515,1.1,0.5496,1.0493,5,2D1U,2.0,False,0.591,0,False,right,0.0,0.44181200000457466,1.4917196000460535,1.0499076000414789,1.591755600005854,2.091620100021828,0.49986450001597404,
8,0.4997,0.0,1,0.483,0.4414,0.1832,8,1.6573,-0.9,-0.4497,0.05,5,lapse_rate,2.0,True,0.391,0,False,right,0.0,0.473129499994684,0.523130499990657,0.05000099999597296,0.7067603999748826,1.2067752999719232,0.5000148999970406,
9,0.4997,0.0,1,0.5496,0.4164,0.508,9,2.1236,-0.7,-0.3498,0.1499,5,1U1D,2.0,True,0.424,0,False,right,0.0,0.5407036000397056,0.6907866999972612,0.15008309995755553,1.1994806000147946,1.6991670000134036,0.499686399998609,
10,0.4997,0.0,2,0.5413,0.6412,0.5913,10,3.023,0.5,0.2498,0.7495,5,1D1U,2.0,True,0.533,0,False,right,0.0,1.6250057999859564,2.374995200021658,0.7499894000357017,0.5333497999818064,1.0333377000060864,0.49998790002427995,
11,0.4997,0.0,2,0.4497,0.5996,0.5247,11,2.1237,-0.9,-0.4497,0.05,5,2U1D,1.0,True,0.6,0,False,left,0.0,1.466614299977664,1.516523199970834,0.04990889999317005,0.4415523000061512,0.9417599000153132,0.500207600009162,
12,0.4997,0.0,1,0.4081,0.5413,0.3414,12,2.9397,1.3,0.6496,1.1492,5,2D1U,1.0,True,0.259,0,False,left,0.0,0.3988891000044532,1.5488998999935575,1.1500107999891043,1.8992324999999255,2.3989359999541193,0.49970349995419383,
13,0.4997,0.0,2,0.5163,0.4664,0.5496,13,2.9814,0.9,0.4497,0.9494,5,lapse_rate,2.0,True,0.474,0,False,right,0.0,1.5569212000118569,2.506775200017728,0.9498540000058711,0.5069677000283264,1.0066221000161022,0.49965439998777583,
14,0.4997,0.0,2,0.4664,0.6163,0.7995,14,2.6317,-0.5,-0.2498,0.2498,5,1U1D,1.0,True,0.475,0,False,left,0.0,1.7580091999843717,1.999210399982985,0.24120119999861345,0.45751300000119954,0.9575214999495074,0.5000084999483079,
15,0.4997,0.0,2,0.5247,0.6329,0.0916,15,2.3985,0.3,0.1499,0.6496,5,1D1U,2.0,True,0.375,0,False,right,0.0,1.1077014000038616,1.7577812999952585,0.6500798999913968,0.5167222999734804,1.0161094999639317,0.49938719999045134,
16,0.4997,0.0,2,0.6496,0.6079,0.1832,16,2.0903,-0.7,-0.3498,0.1499,5,2U1D,1.0,True,0.716,0,False,left,0.0,1.3252646999899298,1.4753724000183865,0.15010770002845675,0.6419764999882318,1.141911100014113,0.4999346000258811,
17,0.4997,0.0,2,0.583,0.5746,0.3498,17,2.9565,0.9,0.4497,0.9494,5,lapse_rate,2.0,True,0.424,0,False,right,0.0,1.424223699956201,2.3742978999507613,0.9500741999945603,0.5741323999827728,1.0749904999975115,0.5008581000147387,
18,0.4997,0.0,2,0.4081,0.483,0.7578,18,2.4984,-0.3,-0.1499,0.3498,5,1U1D,1.0,True,0.474,0,False,left,0.0,1.657199600012973,1.998865699977614,0.34166609996464103,0.39842839998891577,0.8984413999714889,0.5000129999825731,
19,0.4997,0.0,1,0.5496,0.533,0.7828,19,2.515,-0.7,-0.3498,0.1499,5,2U1D,2.0,True,0.342,0,False,right,0.0,0.5417348999762908,0.6915892999968491,0.1498544000205584,1.4754577999701723,1.9755474000121467,0.5000896000419743,
20,0.4997,0.0,1,0.4913,0.508,0.8578,20,2.9064,0.1,0.05,0.5496,5,1D1U,2.0,False,1.266,0,False,right,0.0,0.48266270000021905,1.0330201999749988,0.5503574999747798,1.8913002999615856,2.39137229998596,0.5000720000243746,
21,0.4997,0.0,2,0.4747,0.5247,0.7745,21,3.4228,1.3,0.6496,1.1492,5,2D1U,2.0,True,0.162,0,False,right,0.0,1.7418672000057995,2.891745999979321,1.1498787999735214,0.4666399999987334,0.9666703999973834,0.50003039999865,
22,0.4997,0.0,2,0.483,0.4247,0.075,22,2.5733,1.18,0.5913,1.0909,5,2D1U,2.0,True,0.833,1,True,right,0.0,1.0502668999833986,2.141618199995719,1.0913513000123203,0.4750161999836564,0.9754495999659412,0.5004333999822848,
23,0.4997,0.0,2,0.4913,0.5247,0.7495,23,2.7149,-0.1,-0.05,0.4497,5,1U1D,1.0,True,0.709,0,False,left,0.0,1.7333515000063926,2.183452799974475,0.45010129996808246,0.48341819999041036,0.9832456999574788,0.49982749996706843,
