,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.49741,1.2,2,0.27357,0.44767,0.63005,0,2.80207,0.9,0.44767,0.95337,5,lapse_rate,2.0,True,0.666,0,False,right,0.0,0.0006818999536335468,2.791650100145489,2.7909682001918554,0.2660789000801742,0.7664370001293719,0.5003581000491977,
1,0.49741,1.2,2,0.38964,0.22383,0.59689,1,2.6114,0.8,0.39793,0.90363,5,2D1U,2.0,True,0.92,0,False,right,0.0,0.0004908996634185314,2.6230302997864783,2.6225394001230597,0.38183899968862534,0.8817226998507977,0.4998837001621723,
2,0.49741,0.1,2,0.24041,0.2487,0.72953,2,1.76579,-0.9,-0.44767,0.04974,5,lapse_rate,1.0,True,0.485,0,False,left,0.0,0.00038510002195835114,1.7738708001561463,1.773485700134188,0.2320456998422742,0.7325563002377748,0.5005106003955007,
3,0.49741,0.1,2,0.34819,0.36477,0.69637,3,2.00622,-0.8,-0.39793,0.09948,5,1U1D,1.0,True,1.499,0,False,left,0.0,0.0006916001439094543,2.006846100091934,2.0061544999480247,0.3400799003429711,0.8398158000782132,0.49973589973524213,
4,0.49741,1.2,2,0.26528,0.26528,0.63005,4,2.56165,0.8,0.39793,0.90363,5,1D1U,2.0,True,0.474,0,False,right,0.0,0.0005215001292526722,2.5578533997759223,2.5573318996466696,0.2578830998390913,0.757806200068444,0.4999231002293527,
5,0.49741,0.1,2,0.39793,0.43109,0.64663,5,2.07254,-0.8,-0.39793,0.09948,5,2U1D,1.0,True,0.804,0,False,left,0.0,0.0005881995894014835,2.0824108999222517,2.08182270033285,0.3907435997389257,0.8906799997203052,0.4999363999813795,
6,0.49741,1.2,2,0.20725,0.41451,0.65492,6,1.82383,-0.9,-0.44767,0.04974,5,lapse_rate,1.0,True,0.407,0,False,left,0.0,0.0006609000265598297,1.8303811000660062,1.8297202000394464,0.19705580035224557,0.6971689001657069,0.5001130998134613,
7,0.49741,1.2,2,0.27357,0.40622,0.43938,7,2.42072,0.6,0.29845,0.80414,5,1D1U,2.0,True,0.468,0,False,right,0.0,0.0007547996938228607,2.4226718000136316,2.4219170003198087,0.26471809996291995,0.7646622001193464,0.49994410015642643,
8,0.49741,0.1,2,0.22383,0.4228,0.56373,8,1.90673,-0.6,-0.29845,0.19896,5,1U1D,2.0,False,1.462,0,False,right,0.0,0.0006683999672532082,1.9154207999818027,1.9147524000145495,0.21543180011212826,0.7152749998494983,0.49984319973737,
9,0.49741,1.2,2,0.30674,0.43109,0.44767,9,1.78239,-0.8,-0.39793,0.09948,5,2U1D,1.0,True,0.331,0,False,left,0.0,0.0004182998090982437,1.79041610006243,1.7899978002533317,0.2990751997567713,0.7986836996860802,0.4996084999293089,
10,0.49741,0.1,1,0.43938,0.20725,0.63834,10,2.68601,0.8,0.39793,0.90363,5,2D1U,1.0,True,0.679,0,False,left,0.0,0.0011657997965812683,2.7065648999996483,2.705399100203067,1.9820383000187576,2.481748000252992,0.49970970023423433,
11,0.49741,1.2,1,0.34819,0.32332,0.56373,11,1.87358,-0.72,-0.35648,0.14093,5,1U1D,2.0,True,0.359,1,True,right,0.0,0.0004986999556422234,1.882129699923098,1.8816309999674559,1.0489402995444834,1.548714999575168,0.49977470003068447,
12,0.49741,0.1,1,0.23212,0.29845,0.6715,12,1.74922,-0.9,-0.44767,0.04974,5,lapse_rate,2.0,True,0.384,0,False,right,0.0,0.0008268002420663834,1.7552255000919104,1.754398699849844,0.9548793002031744,1.4555060002021492,0.5006266999989748,
13,0.49741,0.1,1,0.33161,0.22383,0.6715,13,2.42072,0.4,0.19896,0.69637,5,1D1U,1.0,True,1.842,0,False,left,0.0,0.0007277000695466995,2.414768900256604,2.4140412001870573,1.697819400113076,2.1978309000842273,0.5000114999711514,
14,0.49741,1.2,1,0.25699,0.23212,0.46425,14,1.64973,-0.6,-0.29845,0.19896,5,2U1D,2.0,True,0.237,0,False,right,0.0,0.0007992996834218502,1.657829100266099,1.6570298005826771,0.9161824001930654,1.4163424000144005,0.5001599998213351,
15,0.49741,0.1,1,0.29845,0.32332,0.59689,15,2.52021,0.6,0.29845,0.80414,5,2D1U,1.0,True,0.408,0,False,left,0.0,0.0002550003118813038,2.5148241999559104,2.514569199644029,1.6985583999194205,2.198251400142908,0.4996930002234876,
16,0.49741,0.1,1,0.40622,0.36477,0.61347,16,1.93161,-0.9,-0.44767,0.04974,5,lapse_rate,2.0,True,0.572,0,False,right,0.0,0.00045559974387288094,1.9317092997953296,1.9312537000514567,1.065235000103712,1.565549099817872,0.50031409971416,
17,0.49741,1.2,1,0.37306,0.34819,0.82901,17,2.85181,0.6,0.29845,0.80414,5,2D1U,2.0,False,1.332,0,False,right,0.0,0.0005462002009153366,2.8569519999437034,2.856405799742788,2.0066724997013807,2.5067013995721936,0.5000288998708129,
18,0.49741,0.1,1,0.38135,0.40622,0.61347,18,2.49534,0.2,0.09948,0.59689,5,1D1U,2.0,False,2.356,0,False,right,0.0,0.00027849990874528885,2.5056439000181854,2.50536540010944,1.5890540000982583,2.0890325997024775,0.4999785996042192,
19,0.49741,1.2,1,0.37306,0.43109,0.86218,19,2.33783,-0.648,-0.32332,0.17409,5,1U1D,2.0,True,0.272,2,True,right,0.0,0.0007507000118494034,2.33921069977805,2.338459999766201,1.40596739994362,1.9057255000807345,0.4997581001371145,
