,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.49919,1.2,2,0.40767,0.41599,0.51583,0,2.63739,0.6,0.29952,0.79871,5,3D1U,1.0,False,0.597,0,False,left,0.0,1.431,2.2305,0.7995,0.414,0.9135,0.4995,A
1,0.49919,0.1,1,0.44095,0.26624,0.64063,1,2.04669,-0.6,-0.29952,0.19968,5,2U1D,2.0,True,0.117,0,False,right,0.0,0.4514,0.6513,0.1999,1.2928,1.793,0.5002,A
2,0.49919,1.2,2,0.44927,0.39935,0.61567,2,2.16316,-0.6,-0.29952,0.19968,5,2U1D,1.0,True,0.292,0,False,left,0.0,1.5758,1.7769,0.2011,0.4594,0.9599,0.5005,V
3,0.49919,1.2,2,0.42431,0.29952,0.81535,3,2.08829,-0.9,-0.44927,0.04992,5,lapse_rate,1.0,True,0.325,0,False,left,0.0,1.7483,1.7983,0.05,0.4318,0.9317,0.4999,A
4,0.49919,0.1,1,0.39935,0.30784,0.88191,4,2.96188,0.75,0.37439,0.87359,5,3D1U,1.0,True,0.509,0,False,left,0.0,0.4047,1.2798,0.8751,2.1632,2.6636,0.5004,V
5,0.49919,1.2,1,0.28288,0.44095,0.85695,5,2.87868,0.6,0.29952,0.79871,5,2D1U,1.0,True,0.334,0,False,left,0.0,0.2875,1.0869,0.7994,1.946,2.4452,0.4992,A
6,0.49919,0.1,2,0.41599,0.21632,0.54079,6,1.87197,-0.6,-0.29952,0.19968,5,3U1D,1.0,True,1.233,0,False,left,0.0,1.4645,1.6653,0.2007,0.4231,0.9238,0.5007,A
7,0.49919,0.1,2,0.28288,0.2912,0.84031,7,1.9635,-0.9,-0.44927,0.04992,5,lapse_rate,1.0,True,0.501,0,False,left,0.0,1.6301,1.6798,0.0497,0.2872,0.7876,0.5004,V
8,0.49919,1.2,1,0.38271,0.40767,0.48255,8,1.9718,-0.6,-0.29952,0.19968,5,3U1D,2.0,True,0.267,0,False,right,0.0,0.3888,0.5885,0.1997,1.0723,1.572,0.4997,A
9,0.49919,0.1,2,0.35775,0.35775,0.65727,9,2.67067,0.6,0.29952,0.79871,5,2D1U,2.0,True,0.358,0,False,right,0.0,1.5201,2.32,0.7999,0.3615,0.8615,0.5,A
10,0.49919,1.2,1,0.38271,0.37439,0.87359,10,2.40444,-0.45,-0.22464,0.27456,5,2U1D,2.0,True,0.559,0,False,right,0.0,0.3924,0.6667,0.2743,1.5429,2.0417,0.4988,A
11,0.49919,0.1,2,0.28288,0.40767,0.76543,11,2.82876,0.75,0.37439,0.87359,5,3D1U,2.0,True,0.252,0,False,right,0.0,1.5603,2.436,0.8756,0.2931,0.7936,0.5005,V
12,0.49919,1.2,1,0.32447,0.44095,0.54079,12,2.07996,-0.45,-0.22464,0.27456,5,2U1D,2.0,True,0.675,0,False,right,0.0,0.3296,0.6041,0.2745,1.1469,1.6461,0.4992,A
13,0.49919,0.1,2,0.22464,0.23296,0.61567,13,1.62238,-0.9,-0.44927,0.04992,5,lapse_rate,1.0,True,0.476,0,False,left,0.0,1.3462,1.3962,0.05,0.23,0.7294,0.4994,A
14,0.49919,0.1,2,0.40767,0.30784,0.48255,14,1.89693,-0.6,-0.29952,0.19968,5,3U1D,1.0,True,2.108,0,False,left,0.0,1.3956,1.5956,0.2,0.4125,0.9131,0.5006,V
15,0.49919,1.2,2,0.21632,0.21632,0.68223,15,2.48765,0.75,0.37439,0.87359,5,3D1U,2.0,True,0.458,0,False,right,0.0,1.4041,2.2791,0.875,0.2207,0.7207,0.5001,V
16,0.49919,0.1,2,0.208,0.27456,0.50751,16,2.21309,0.45,0.22464,0.72383,5,2D1U,2.0,True,2.143,0,False,right,0.0,1.2213,1.9462,0.7249,0.2131,0.7135,0.5004,V
17,0.49919,1.2,2,0.22464,0.42431,0.44095,17,2.42108,0.66,0.33279,0.83199,5,3D1U,2.0,True,0.317,1,True,right,0.0,1.172,2.0054,0.8334,0.2306,0.7304,0.4998,A
18,0.49919,0.1,2,0.21632,0.28288,0.67391,18,1.72222,-0.9,-0.44927,0.04992,5,lapse_rate,1.0,True,0.443,0,False,left,0.0,1.399,1.449,0.05,0.2235,0.724,0.5005,V
19,0.49919,0.1,2,0.208,0.33279,0.77375,19,2.53756,0.45,0.22464,0.72383,5,2D1U,2.0,True,0.359,0,False,right,0.0,1.4878,2.2129,0.7251,0.2131,0.7132,0.5001,A
20,0.49919,1.2,1,0.25792,0.29952,0.86527,20,2.27133,-0.3,-0.14976,0.34943,5,2U1D,2.0,True,0.85,0,False,right,0.0,0.2682,0.6184,0.3502,1.4854,1.9848,0.4995,V
21,0.49919,0.1,2,0.208,0.39935,0.42431,21,1.80541,-0.45,-0.22464,0.27456,5,3U1D,1.0,True,0.543,0,False,left,0.0,1.1396,1.4148,0.2752,0.2146,0.7149,0.5003,V
22,0.49919,1.2,1,0.23296,0.33279,0.79039,22,2.20476,-0.3,-0.14976,0.34943,5,2U1D,2.0,True,0.292,0,False,right,0.0,0.2389,0.589,0.3501,1.3807,1.881,0.5003,A
23,0.49919,0.1,2,0.32447,0.34111,0.72383,23,2.16316,-0.45,-0.22464,0.27456,5,3U1D,1.0,True,0.909,0,False,left,0.0,1.5579,1.833,0.2751,0.3329,0.8331,0.5002,A
24,0.49919,1.2,1,0.29952,0.22464,0.74879,24,2.60413,0.66,0.33279,0.83199,5,3D1U,1.0,True,0.483,1,True,left,0.0,0.3043,1.1372,0.8329,1.888,2.3872,0.4992,V
25,0.49919,1.2,1,0.30784,0.36607,0.39935,25,2.52092,0.9,0.44927,0.94847,5,lapse_rate,1.0,True,0.941,0,False,left,0.0,0.312,1.2622,0.9503,1.6618,2.1622,0.5004,V
26,0.49919,0.1,1,0.43263,0.41599,0.54911,26,2.54587,0.3,0.14976,0.64895,5,2D1U,1.0,True,0.417,0,False,left,0.0,0.4393,1.0896,0.6503,1.6393,2.1391,0.4997,A
27,0.49919,1.2,2,0.22464,0.29952,0.85695,27,2.52925,0.3,0.14976,0.64895,5,2D1U,2.0,True,1.425,0,False,right,0.0,1.5857,2.236,0.6503,0.2276,0.7284,0.5008,V
28,0.49919,1.2,1,0.44095,0.2496,0.81535,28,2.05501,-0.9,-0.44927,0.04992,5,lapse_rate,2.0,True,0.292,0,False,right,0.0,0.4471,0.4972,0.0501,1.3141,1.8149,0.5007,V
29,0.49919,0.1,1,0.26624,0.30784,0.46591,29,1.96349,-0.15,-0.07488,0.42431,5,2U1D,2.0,True,0.392,0,False,right,0.0,0.2793,0.703,0.4237,1.17,1.6696,0.4996,A
30,0.49919,1.2,1,0.22464,0.38271,0.74047,30,2.679,0.66,0.33279,0.83199,5,3D1U,1.0,True,0.392,1,True,left,0.0,0.231,1.0645,0.8335,1.8057,2.3053,0.4996,A
31,0.49919,0.1,2,0.23296,0.26624,0.58239,31,1.85534,-0.45,-0.22464,0.27456,5,3U1D,1.0,True,0.942,0,False,left,0.0,1.3213,1.5962,0.2749,0.2382,0.7387,0.5005,V
32,0.49919,1.2,1,0.27456,0.32447,0.89023,32,2.77052,0.57,0.28288,0.78207,5,3D1U,1.0,True,0.317,1,False,left,0.0,0.2801,1.0634,0.7833,1.9559,2.4551,0.4992,A
33,0.49919,0.1,1,0.31616,0.34111,0.68223,33,2.18812,-0.3,-0.14976,0.34943,5,3U1D,2.0,True,0.292,0,False,right,0.0,0.3234,0.674,0.3506,1.3563,1.8567,0.5003,A
34,0.49919,1.2,2,0.43263,0.27456,0.47423,34,2.25468,0.15,0.07488,0.57407,5,2D1U,2.0,True,0.35,0,False,right,0.0,1.4147,1.9907,0.576,0.4401,0.9406,0.5005,V
35,0.49919,1.2,2,0.32447,0.33279,0.72383,35,2.82875,0.9,0.44927,0.94847,5,lapse_rate,2.0,True,0.351,0,False,right,0.0,1.5556,2.5056,0.95,0.3307,0.8308,0.5,A
36,0.49919,0.1,2,0.33279,0.37439,0.84031,36,2.47099,-0.15,-0.07488,0.42431,5,2U1D,1.0,True,2.608,0,False,left,0.0,1.6782,2.1021,0.4239,0.3359,0.8362,0.5003,V
37,0.49919,1.2,2,0.21632,0.2912,0.89023,37,2.39613,0.0,0.0,0.49919,5,2U1D,2.0,False,0.484,0,False,right,0.0,1.6159,2.1163,0.5005,0.2251,0.7244,0.4992,V
38,0.49919,0.1,1,0.2912,0.21632,0.84031,38,2.19645,-0.3,-0.14976,0.34943,5,3U1D,2.0,True,2.432,0,False,right,0.0,0.3019,0.6515,0.3496,1.4932,1.9939,0.5007,A
39,0.49919,0.1,1,0.41599,0.36607,0.72383,39,2.055,-0.9,-0.44927,0.04992,5,lapse_rate,2.0,True,0.342,0,False,right,0.0,0.4199,0.4703,0.0504,1.1947,1.6948,0.5,V
40,0.49919,1.2,1,0.34943,0.40767,0.64895,40,2.68731,0.57,0.28288,0.78207,5,3D1U,1.0,True,1.142,1,False,left,0.0,0.3572,1.1407,0.7834,1.7918,2.2904,0.4986,V
41,0.49919,0.1,1,0.34111,0.34111,0.63231,41,2.38779,0.15,0.07488,0.57407,5,2D1U,1.0,True,0.757,0,False,left,0.0,0.3515,0.9267,0.5751,1.5605,2.0599,0.4995,V
42,0.49919,1.2,2,0.39935,0.33279,0.74879,42,2.47931,-0.0,0.0,0.49919,5,2D1U,2.0,False,3.167,0,False,right,0.0,1.6522,2.1525,0.5003,0.4026,0.9022,0.4996,A
43,0.49919,1.2,2,0.22464,0.41599,0.86527,43,2.05501,-0.9,-0.44927,0.04992,5,lapse_rate,1.0,True,2.284,0,False,left,0.0,1.5967,1.6464,0.0497,0.2294,0.7298,0.5004,V
44,0.49919,0.1,1,0.24128,0.40767,0.44095,44,2.1382,0.09,0.0416,0.54911,5,2U1D,1.0,True,2.918,1,True,left,0.0,0.2448,0.7945,0.5497,1.2364,1.7359,0.4995,V
45,0.49919,1.2,1,0.35775,0.39935,0.49087,45,2.09659,-0.3,-0.14976,0.34943,5,3U1D,2.0,True,0.592,0,False,right,0.0,0.367,0.7167,0.3497,1.2087,1.7098,0.5012,A
46,0.49919,0.1,1,0.29952,0.2912,0.68223,46,2.55421,0.57,0.28288,0.78207,5,3D1U,1.0,True,0.417,1,False,left,0.0,0.3066,1.0901,0.7835,1.7741,2.2732,0.4991,A
47,0.49919,1.2,2,0.38271,0.39935,0.77375,47,3.00347,0.9,0.44927,0.94847,5,lapse_rate,2.0,True,6.8,0,False,right,0.0,1.6614,2.6121,0.9507,0.3867,0.8866,0.4998,V
48,0.49919,1.2,2,0.40767,0.43263,0.55743,48,2.32123,-0.15,-0.07488,0.42431,5,3U1D,1.0,True,3.26,0,False,left,0.0,1.4751,1.8999,0.4248,0.418,0.9164,0.4984,A
49,0.49919,0.1,2,0.208,0.44927,0.87359,49,2.57916,0.09,0.0416,0.54911,5,2U1D,1.0,False,0.9,1,True,left,0.0,1.592,2.1417,0.5497,0.2162,0.7167,0.5006,A
50,0.49919,1.2,2,0.208,0.34111,0.79871,50,2.58748,0.48,0.24128,0.74047,5,3D1U,2.0,True,1.334,1,False,right,0.0,1.5129,2.2545,0.7416,0.2128,0.7139,0.5011,V
51,0.49919,0.1,1,0.39935,0.32447,0.66559,51,2.34619,-0.09,-0.0416,0.45759,5,2D1U,1.0,False,2.392,1,True,left,0.0,0.4101,0.8691,0.4591,1.5347,2.0346,0.4999,A
52,0.49919,1.2,2,0.37439,0.42431,0.69887,52,2.40443,-0.18,-0.09152,0.40767,5,2D1U,1.0,True,1.393,1,False,left,0.0,1.5784,1.9856,0.4071,0.3774,0.8776,0.5002,V
53,0.49919,0.1,1,0.23296,0.42431,0.74879,53,2.64572,0.48,0.24128,0.74047,5,3D1U,1.0,True,0.449,1,False,left,0.0,0.2423,0.9838,0.7415,1.734,2.234,0.5001,A
54,0.49919,1.2,2,0.35775,0.34943,0.62399,54,2.42107,0.18,0.09152,0.59071,5,2U1D,2.0,True,0.392,1,False,right,0.0,1.4885,2.081,0.5925,0.3637,0.8633,0.4995,V
55,0.49919,1.2,2,0.21632,0.34943,0.39935,55,2.41276,0.9,0.44927,0.94847,5,lapse_rate,2.0,True,0.334,0,False,right,0.0,1.124,2.0743,0.9503,0.2242,0.7242,0.5,V
56,0.49919,0.1,2,0.27456,0.37439,0.63231,56,2.20476,-0.15,-0.07488,0.42431,5,3U1D,1.0,True,0.525,0,False,left,0.0,1.413,1.8385,0.4255,0.2796,0.7795,0.4999,A
57,0.49919,1.2,1,0.39935,0.22464,0.44927,57,1.99676,-0.15,-0.07488,0.42431,5,3U1D,1.0,False,0.524,0,False,left,0.0,0.4083,0.833,0.4247,1.2838,1.7836,0.4998,V
58,0.49919,0.1,2,0.27456,0.25792,0.59071,58,2.36285,0.48,0.24128,0.74047,5,3D1U,2.0,True,0.334,1,False,right,0.0,1.3748,2.1176,0.7429,0.283,0.7835,0.5005,A
59,0.49919,1.2,2,0.33279,0.23296,0.52415,59,2.1798,0.18,0.09152,0.59071,5,2U1D,2.0,True,0.492,1,False,right,0.0,1.3692,1.9602,0.5909,0.3432,0.8435,0.5003,V
60,0.49919,0.1,1,0.27456,0.22464,0.48255,60,1.88861,-0.18,-0.09152,0.40767,5,2D1U,2.0,True,0.908,1,False,right,0.0,0.2841,0.6931,0.409,1.1757,1.6765,0.5008,A
61,0.49919,0.1,1,0.43263,0.19968,0.80703,61,2.887,0.9,0.44927,0.94847,5,lapse_rate,1.0,True,0.433,0,False,left,0.0,0.4367,1.3863,0.9496,2.1951,2.6949,0.4998,A
62,0.49919,1.2,2,0.28288,0.34943,0.85695,62,2.68732,0.39,0.19136,0.69887,5,3D1U,2.0,True,0.242,1,False,right,0.0,1.6515,2.3511,0.6996,0.293,0.7931,0.5001,V
63,0.49919,0.1,1,0.25792,0.44095,0.48255,63,2.06332,-0.24,-0.11648,0.38271,5,3U1D,1.0,False,0.7,1,True,left,0.0,0.263,0.6463,0.3833,1.1296,1.6303,0.5007,A
64,0.49919,1.2,1,0.27456,0.35775,0.81535,64,2.5126,0.126,0.06656,0.56575,5,2U1D,1.0,True,1.316,2,True,left,0.0,0.2784,0.8452,0.5668,1.6617,2.162,0.5003,A
65,0.49919,0.1,1,0.39935,0.37439,0.69055,65,2.91195,0.9,0.44927,0.94847,5,lapse_rate,1.0,True,3.051,0,False,left,0.0,0.4048,1.3547,0.9499,2.0463,2.5468,0.5006,A
