,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.50288,1.2,2,0.23468,0.42744,0.58669,0,1.95284,-0.6,-0.30173,0.20115,5,1U1D,1.0,True,10.388,0,False,left,0.0,0.0007480001077055931,1.9569223998114467,1.956174399703741,0.23175569996237755,0.7317621000111103,0.5000064000487328,
1,0.50288,0.1,2,0.33525,0.34363,0.79622,1,2.7742,0.6,0.30173,0.79622,5,2D1U,2.0,True,1.35,0,False,right,0.0,0.0007627001032233238,2.781820399686694,2.781057699583471,0.32418920006603,0.8238439997658134,0.4996547996997833,
2,0.50288,1.2,2,0.39392,0.25982,0.77946,2,2.21266,-0.45,-0.22629,0.27658,5,1U1D,1.0,True,0.577,0,False,left,0.0,0.0007409998215734959,2.2158009000122547,2.215059900190681,0.3822853001765907,0.8819674998521805,0.4996821996755898,
3,0.50288,0.1,2,0.31849,0.41068,0.50288,3,1.93608,-0.6,-0.30173,0.20115,5,2U1D,1.0,True,0.348,0,False,left,0.0,0.0008887997828423977,1.9326132996939123,1.9317244999110699,0.30786209972575307,0.8083518999628723,0.5004898002371192,
4,0.50288,1.2,2,0.36878,0.31011,0.74593,4,2.72392,0.6,0.30173,0.79622,5,1D1U,2.0,True,3.415,0,False,right,0.0,0.00051099993288517,2.732530700042844,2.7320197001099586,0.3566197003237903,0.8565034000203013,0.49988369969651103,
5,0.50288,1.2,2,0.23468,0.39392,0.72079,5,1.90256,-0.9,-0.45259,0.05029,5,lapse_rate,1.0,True,0.624,0,False,left,0.0,0.0007371995598077774,1.9156935000792146,1.9149563005194068,0.2237233999185264,0.7233695997856557,0.4996461998671293,
6,0.50288,0.1,2,0.27658,0.44421,0.43583,6,2.45572,0.6,0.30173,0.79622,5,2D1U,2.0,True,0.569,0,False,right,0.0,0.0007943999953567982,2.457268599886447,2.4564741998910904,0.26598779996857047,0.765378899872303,0.49939109990373254,
7,0.50288,1.2,2,0.37716,0.39392,0.73755,7,2.74068,0.45,0.22629,0.72917,5,1D1U,1.0,False,0.28,0,False,left,0.0,0.0007527000270783901,2.7486712001264095,2.747918500099331,0.36601890018209815,0.8656255998648703,0.49960669968277216,
8,0.50288,0.1,2,0.31011,0.38554,0.48611,8,1.88579,-0.6,-0.30173,0.20115,5,2U1D,1.0,True,0.684,0,False,left,0.0,0.000753600150346756,1.8896278999745846,1.8888742998242378,0.2982785999774933,0.7981654000468552,0.4998868000693619,
9,0.50288,1.2,2,0.39392,0.28496,0.83813,9,2.3719,-0.3,-0.15086,0.35201,5,1U1D,1.0,True,1.806,0,False,left,0.0,0.0010287999175488949,2.374223300255835,2.373194500338286,0.3825286002829671,0.8825625004246831,0.500033900141716,
10,0.50288,0.1,1,0.35201,0.38554,0.56993,10,2.75744,0.9,0.45259,0.94708,5,lapse_rate,1.0,True,0.502,0,False,left,0.0,0.0007373001426458359,2.764287400059402,2.763550099916756,1.8480647997930646,2.348279300145805,0.5002145003527403,
11,0.50288,0.1,1,0.28496,0.33525,0.47773,11,2.32999,0.45,0.22629,0.72917,5,2D1U,1.0,True,0.948,0,False,left,0.0,0.0007295999675989151,2.3325195997022092,2.3317899997346103,1.473391399718821,1.973322100006044,0.49993070028722286,
12,0.50288,1.2,1,0.41068,0.36039,0.55316,12,2.59819,0.54,0.2682,0.77108,5,1D1U,2.0,False,0.235,1,True,right,0.0,0.0007474999874830246,2.5986772002652287,2.5979297002777457,1.7155296001583338,2.2153988000936806,0.49986919993534684,
13,0.50288,0.1,1,0.25982,0.28496,0.83813,13,2.31323,-0.15,-0.07543,0.42744,5,1U1D,2.0,True,0.591,0,False,right,0.0,0.0007205000147223473,2.3240636996924877,2.3233431996777654,1.507984499912709,2.007944399956614,0.4999599000439048,
