,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.49844,1.2,1,0.39044,0.26583,0.70612,0,2.03528,-0.65,-0.32399,0.17445,5,3U1D,1.0,False,2.681,0,False,left,0.0,0.3963,0.5712,0.1748,1.2807,1.7805,0.4998,V
1,0.49844,0.1,1,0.35721,0.26583,0.78089,1,2.72479,0.65,0.32399,0.82242,5,2D1U,1.0,True,0.7,0,False,left,0.0,0.3658,1.1899,0.824,1.9738,2.4732,0.4994,A
2,0.49844,1.2,2,0.39875,0.30737,0.68951,2,2.06852,-0.65,-0.32399,0.17445,5,2U1D,1.0,True,2.058,0,False,left,0.0,1.6012,1.7748,0.1736,0.4091,0.9094,0.5003,A
3,0.49844,0.1,2,0.34891,0.25753,0.83904,3,2.76634,0.65,0.32399,0.82242,5,2D1U,2.0,True,1.4,0,False,right,0.0,1.6968,2.5211,0.8243,0.3546,0.8544,0.4998,V
4,0.49844,1.2,1,0.27414,0.43198,0.83073,4,2.1599,-0.75,-0.37383,0.12461,5,3U1D,2.0,True,2.509,0,False,right,0.0,0.2815,0.4061,0.1245,1.2391,1.7397,0.5007,A
5,0.49844,0.1,1,0.43198,0.38214,0.78919,5,2.92417,0.65,0.32399,0.82242,5,3D1U,1.0,True,0.916,0,False,left,0.0,0.443,1.2686,0.8257,2.06,2.5603,0.5003,V
6,0.49844,1.2,2,0.25753,0.20768,0.40706,6,1.42055,-0.9,-0.44859,0.04984,5,lapse_rate,1.0,True,1.383,0,False,left,0.0,1.1741,1.2242,0.0501,0.2647,0.7661,0.5014,A
7,0.49844,1.2,1,0.42367,0.26583,0.87227,7,2.83279,0.55,0.27414,0.77258,5,2D1U,1.0,True,0.766,0,False,left,0.0,0.4301,1.2054,0.7752,2.0806,2.5799,0.4993,V
8,0.49844,1.2,1,0.29076,0.41537,0.40706,8,2.55866,0.9,0.44859,0.94703,5,lapse_rate,1.0,True,0.65,0,False,left,0.0,0.3015,1.2508,0.9493,1.6595,2.1595,0.4999,V
9,0.49844,0.1,2,0.2243,0.40706,0.88888,9,2.8411,0.65,0.32399,0.82242,5,3D1U,2.0,True,0.426,0,False,right,0.0,1.6245,2.4496,0.8251,0.2331,0.7337,0.5006,V
10,0.49844,1.2,1,0.43198,0.39875,0.46521,10,1.91899,-0.75,-0.37383,0.12461,5,3U1D,2.0,True,0.616,0,False,right,0.0,0.441,0.5663,0.1252,1.0322,1.5337,0.5014,A
11,0.49844,0.1,1,0.31568,0.40706,0.52336,11,1.91899,-0.65,-0.32399,0.17445,5,2U1D,2.0,True,0.39,0,False,right,0.0,0.3198,0.4957,0.1759,1.0202,1.5199,0.4996,A
12,0.49844,1.2,2,0.29906,0.26583,0.52336,12,1.7113,-0.75,-0.37383,0.12461,5,3U1D,1.0,True,0.75,0,False,left,0.0,1.3348,1.4596,0.1248,0.3095,0.809,0.4995,A
13,0.49844,0.1,2,0.37383,0.31568,0.89719,13,3.03217,0.9,0.44859,0.94703,5,lapse_rate,2.0,True,0.359,0,False,right,0.0,1.7831,2.7331,0.9499,0.3833,0.8835,0.5002,A
14,0.49844,0.1,2,0.41537,0.2326,0.55659,14,2.47558,0.55,0.27414,0.77258,5,2D1U,2.0,True,0.393,0,False,right,0.0,1.477,2.2531,0.7761,0.4193,0.9195,0.5002,A
15,0.49844,1.2,2,0.33229,0.35721,0.72274,15,2.13498,-0.55,-0.27414,0.2243,5,2U1D,1.0,True,0.416,0,False,left,0.0,1.5634,1.7887,0.2253,0.3386,0.8402,0.5015,V
16,0.49844,0.1,1,0.37383,0.29076,0.41537,16,2.40082,0.65,0.32399,0.82242,5,3D1U,1.0,True,0.375,0,False,left,0.0,0.3807,1.2053,0.8246,1.623,2.1222,0.4992,A
17,0.49844,1.2,1,0.30737,0.38214,0.44029,17,1.78608,-0.69,-0.34891,0.15784,5,3U1D,1.0,False,0.775,1,True,left,0.0,0.3163,0.4749,0.1587,0.9161,1.4161,0.5,V
