,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.4989,1.2,2,0.20787,0.39912,0.54047,0,1.82097,-0.65,-0.32428,0.17461,5,2U1D,1.0,True,1.52,0,False,left,0.0,0.0008066003210842609,1.8244834998622537,1.8236768995411694,0.1991526000201702,0.6995445000939071,0.5003919000737369,
1,0.4989,0.1,2,0.29102,0.20787,0.43238,1,1.48006,-0.9,-0.44901,0.04989,5,lapse_rate,2.0,False,2.141,0,False,right,0.0,0.00045080017298460007,1.4906955999322236,1.490244799759239,0.28212999971583486,0.7822654000483453,0.5001354003325105,
2,0.4989,0.1,2,0.29102,0.3326,0.57373,2,1.87086,-0.65,-0.32428,0.17461,5,1U1D,1.0,True,1.751,0,False,left,0.0,0.0007655997760593891,1.8800065997056663,1.879240999929607,0.28949250001460314,0.7887569996528327,0.4992644996382296,
3,0.4989,1.2,2,0.21619,0.20787,0.73172,3,2.47786,0.65,0.32428,0.82318,5,2D1U,2.0,True,0.233,0,False,right,0.0,0.0003880998119711876,2.480508300010115,2.4801202001981437,0.20550950011238456,0.7055530999787152,0.5000435998663306,
4,0.4989,0.1,2,0.42406,0.39912,0.68183,4,2.17852,-0.65,-0.32428,0.17461,5,2U1D,1.0,True,1.482,0,False,left,0.0,0.0007842998020350933,2.182299300096929,2.181515000294894,0.4154281998053193,0.9154948000796139,0.5000666002742946,
5,0.4989,1.2,2,0.28271,0.25776,0.63194,5,2.49449,0.65,0.32428,0.82318,5,1D1U,2.0,True,0.242,0,False,right,0.0,0.0007771002128720284,2.4983357000164688,2.4975585998035967,0.2740134000778198,0.7735582003369927,0.4995448002591729,
6,0.4989,1.2,2,0.34923,0.26608,0.75666,6,1.92076,-0.9,-0.44901,0.04989,5,lapse_rate,1.0,True,0.392,0,False,left,0.0,0.0008720997720956802,1.9315534001216292,1.9306813003495336,0.33997100032866,0.8398895002901554,0.4999184999614954,
7,0.4989,0.1,2,0.24945,0.43238,0.65688,7,2.06211,-0.55,-0.27439,0.2245,5,1U1D,1.0,True,1.253,0,False,left,0.0,0.0007601999677717686,2.0656106998212636,2.064850499853492,0.24058300023898482,0.7402484999038279,0.4996654996648431,
8,0.4989,1.2,2,0.29102,0.39912,0.67351,8,2.08705,-0.55,-0.27439,0.2245,5,2U1D,2.0,False,0.26,0,False,right,0.0,0.0007354002445936203,2.090830400120467,2.0900949998758733,0.2821575002744794,0.7823820998892188,0.5002245996147394,
9,0.4989,0.1,2,0.3326,0.44069,0.70677,9,2.80214,0.65,0.32428,0.82318,5,2D1U,2.0,True,0.255,0,False,right,0.0,0.0007229000329971313,2.806775599718094,2.8060526996850967,0.32362519996240735,0.823755799792707,0.5001305998302996,
10,0.4989,1.2,1,0.28271,0.26608,0.62362,10,2.4446,0.55,0.27439,0.77329,5,1D1U,1.0,True,1.339,0,False,left,0.0,0.0008004000410437584,2.44834340037778,2.4475430003367364,1.6733058001846075,2.1737402002327144,0.5004344000481069,
11,0.4989,0.1,1,0.38249,0.19956,0.44069,11,1.71288,-0.61,-0.30765,0.19124,5,2U1D,2.0,True,0.749,1,True,right,0.0,0.00027379998937249184,1.7238108003512025,1.72353700036183,1.006454000249505,1.5073417001403868,0.5008876998908818,
12,0.4989,1.2,1,0.30765,0.29934,0.50721,12,2.3365,0.45,0.2245,0.7234,5,1D1U,1.0,True,0.408,0,False,left,0.0,0.0007373997941613197,2.3413622002117336,2.3406248004175723,1.5325734000653028,2.0328819998539984,0.5003085997886956,
13,0.4989,0.1,1,0.37417,0.20787,0.85644,13,2.21177,-0.45,-0.2245,0.27439,5,1U1D,2.0,True,0.82,0,False,right,0.0,0.0007198997773230076,2.2147443001158535,2.2140244003385305,1.498298100195825,1.9977637003175914,0.49946560012176633,
14,0.4989,0.1,1,0.29934,0.32428,0.54879,14,1.7212,-0.9,-0.44901,0.04989,5,lapse_rate,2.0,True,2.433,0,False,right,0.0,0.000515899620950222,1.7324533998034894,1.7319375001825392,0.8907443997450173,1.3914282000623643,0.500683800317347,
15,0.4989,1.2,1,0.28271,0.24113,0.67351,15,2.46954,0.55,0.27439,0.77329,5,2D1U,2.0,False,0.311,0,False,right,0.0,0.000664799939841032,2.4743288001045585,2.4736640001647174,1.7238862002268434,2.2238078000955284,0.499921599868685,
16,0.4989,1.2,1,0.30765,0.27439,0.69014,16,1.82097,-0.9,-0.44901,0.04989,5,lapse_rate,2.0,True,0.782,0,False,right,0.0,0.00035559991374611855,1.8239512001164258,1.8235956002026796,1.040713299997151,1.5406578001566231,0.4999445001594722,
17,0.4989,0.1,1,0.31597,0.34091,0.49058,17,1.8376,-0.61,-0.30765,0.19124,5,2U1D,2.0,True,0.234,1,True,right,0.0,0.0007517002522945404,1.8408531001769006,1.840101399924606,0.9907936998642981,1.4906176999211311,0.49982400005683303,
18,0.4989,1.2,1,0.21619,0.24945,0.65688,18,2.29493,0.35,0.17461,0.67351,5,1D1U,2.0,False,0.433,0,False,right,0.0,0.0007309000939130783,2.298947500064969,2.298216599971056,1.5405643000267446,2.0406599999405444,0.5000956999137998,
19,0.4989,0.1,1,0.29934,0.20787,0.76498,19,2.09537,-0.35,-0.17461,0.32428,5,1U1D,2.0,True,0.34,0,False,right,0.0,0.0007260995917022228,2.097772100009024,2.097046000417322,1.3809687001630664,1.8813229002989829,0.5003542001359165,
20,0.4989,1.2,2,0.43238,0.35754,0.87307,20,2.96844,0.61,0.30765,0.80655,5,2D1U,2.0,True,0.333,1,True,right,0.0,0.0007373001426458359,2.974411000031978,2.973673699889332,0.42359620006754994,0.9240284999832511,0.5004322999157012,
21,0.4989,0.1,2,0.38249,0.32428,0.71509,21,2.62753,0.41,0.20787,0.70677,5,1D1U,2.0,True,0.114,1,True,right,0.0,0.0007644998840987682,2.624824299942702,2.6240598000586033,0.3746742997318506,0.874824299942702,0.5001500002108514,
22,0.4989,1.2,2,0.36586,0.27439,0.70677,22,2.22009,-0.25,-0.12472,0.37417,5,1U1D,1.0,True,0.309,0,False,left,0.0,0.0007972000166773796,2.231260800268501,2.2304636002518237,0.35619849991053343,0.8561411001719534,0.49994260026142,
23,0.4989,0.1,2,0.42406,0.23282,0.60699,23,2.56932,0.61,0.30765,0.80655,5,2D1U,2.0,True,0.143,1,True,right,0.0,0.000768700148910284,2.572595899924636,2.5718271997757256,0.41427480010315776,0.9129059999249876,0.4986311998218298,
24,0.4989,0.1,2,0.27439,0.34091,0.74003,24,2.80214,0.9,0.44901,0.94791,5,lapse_rate,2.0,True,0.242,0,False,right,0.0,0.0007250998169183731,2.806657800450921,2.8059327006340027,0.265153800137341,0.7644635001197457,0.4993096999824047,
25,0.4989,1.2,2,0.20787,0.35754,0.8897,25,2.1702,-0.574,-0.29102,0.21619,5,2U1D,1.0,True,0.266,2,True,left,0.0,0.0007612002082169056,2.182040300220251,2.181279100012034,0.1989198001101613,0.6991455000825226,0.5002256999723613,
