,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.50108,1.2,2,0.30065,0.36746,0.84348,0,2.06278,-0.9,-0.45097,0.05011,5,lapse_rate,1,TRUE,2.084,0,FALSE,left,0,0.0002823,2.0580566,2.0577743,0.2913948,0.7908517,0.4994569,
1,0.50108,1.2,2,0.35075,0.28394,0.76832,1,2.00431,-0.8,-0.40086,0.10022,5,1U1D,2,FALSE,1.901,0,FALSE,right,0,0.0006951,1.9990375,1.9983424,0.3406785,0.8407362,0.5000577,
2,0.50108,0.1,2,0.21713,0.28394,0.75997,2,2.66406,0.8,0.40086,0.90194,5,1D1U,2,TRUE,0.57,0,FALSE,right,0,0.0002872,2.6647532,2.664466,0.2067669,0.7068972,0.5001303,
3,0.50108,0.1,2,0.36746,0.20043,0.89359,3,2.91461,0.9,0.45097,0.95205,5,lapse_rate,2,TRUE,1.801,0,FALSE,right,0,0.0003982,2.9329787,2.9325805,0.3575218,0.8576704,0.5001486,
4,0.50108,1.2,2,0.3257,0.36746,0.55954,4,1.854,-0.8,-0.40086,0.10022,5,2U1D,1,TRUE,1.773,0,FALSE,left,0,0.0002974,1.8566077,1.8563103,0.3151819,0.8158275,0.5006456,
5,0.50108,0.1,2,0.3257,0.23384,0.74326,5,2.70582,0.8,0.40086,0.90194,5,2D1U,2,TRUE,0.338,0,FALSE,right,0,0.0002539,2.6983262,2.6980723,0.314987,0.8151673,0.5001803,
6,0.50108,1.2,2,0.28394,0.40086,0.75997,6,2.74757,0.6,0.30065,0.80172,5,1D1U,2,TRUE,0.41,0,FALSE,right,0,0.000323,2.7408835,2.7405605,0.274515,0.7743838,0.4998688,
7,0.50108,0.1,2,0.33405,0.41756,0.73491,7,2.03771,-0.9,-0.45097,0.05011,5,1U1D,1,TRUE,1.547,0,FALSE,left,0,0.0005811,2.0414221,2.040841,0.3239634,0.8241052,0.5001418,
8,0.50108,1.2,2,0.35075,0.28394,0.45097,8,2.48868,0.8,0.40086,0.90194,5,2D1U,2,TRUE,0.923,0,FALSE,right,0,0.0003108,2.4823043,2.4819935,0.340354,0.8402192,0.4998652,
9,0.50108,0.1,2,0.309,0.20043,0.50943,9,1.62016,-0.8,-0.40086,0.10022,5,2U1D,2,FALSE,0.692,0,FALSE,right,0,0.0007583,1.6402261,1.6394678,0.2982316,0.7985701,0.5003385,
