,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.5003,0.0,1,0.6254,0.6087,0.0917,0,1.8761,-0.9,-0.4503,0.05,5,lapse_rate,2.0,True,0.712,0,False,right,0.0,0.6156736999982968,0.6570161000126973,0.04134240001440048,0.7654427000088617,1.2652409999864176,0.49979829997755587,
1,0.5003,0.0,2,0.6337,0.4503,0.1584,1,1.8428,-0.8,-0.4002,0.1001,5,1U1D,1.0,True,1.142,0,False,left,0.0,1.281704000022728,1.3816340999910608,0.0999300999683328,0.6230782000347972,1.1233007999835536,0.5002225999487564,
2,0.5003,0.0,2,0.4586,0.5753,0.3502,2,2.7849,0.8,0.4002,0.9005,5,2D1U,2.0,True,0.475,0,False,right,0.0,1.298380599997472,2.198442700027954,0.9000621000304818,0.44817410001996905,0.9482381999841891,0.5000640999642201,
3,0.5003,0.0,1,0.6254,0.5086,0.5337,3,3.0685,0.8,0.4002,0.9005,5,1D1U,1.0,True,1.941,0,False,left,0.0,0.6158517000149004,1.515809900010936,0.8999581999960355,2.04920409998158,2.5498860999941826,0.5006820000126027,
4,0.5003,0.0,1,0.5086,0.6254,0.4586,4,2.193,-0.8,-0.4002,0.1001,5,2U1D,2.0,True,0.474,0,False,right,0.0,0.49988260003738105,0.5999110999982804,0.10002849996089935,1.066378200019244,1.566508000018075,0.500129799998831,
5,0.5003,0.0,2,0.4336,0.4336,0.5086,5,2.0762,-0.6,-0.3002,0.2001,5,1U1D,2.0,False,1.641,0,False,right,0.0,1.4325719000189565,1.632625200028997,0.2000533000100404,0.4242023000260815,0.9241484000231139,0.49994609999703243,
6,0.5003,0.0,2,0.5337,0.5503,0.5587,6,2.193,-0.9,-0.4503,0.05,5,lapse_rate,1.0,True,0.691,0,False,left,0.0,1.5831175000057556,1.6331511999596842,0.05003369995392859,0.5246392000117339,1.0246565999696031,0.5000173999578692,
7,0.5003,0.0,1,0.6337,0.5003,0.7254,7,2.5015,-0.72,-0.3586,0.1418,5,1U1D,2.0,True,2.982,1,True,right,0.0,0.624971600016579,0.7665368000161834,0.14156519999960437,1.4916527000023052,1.9915860000182875,0.49993330001598224,
8,0.5003,0.0,2,0.592,0.4669,0.3419,8,2.0012,-0.8,-0.4002,0.1001,5,2U1D,1.0,True,1.675,0,False,left,0.0,1.423467799962964,1.5234952999744564,0.10002750001149252,0.581825899949763,1.081757799955085,0.49993190000532195,
9,0.5003,0.0,2,0.6421,0.4586,0.7505,9,3.252,0.8,0.4002,0.9005,5,2D1U,2.0,True,0.449,0,False,right,0.0,1.8823514999821782,2.7823428999981843,0.8999914000160061,0.6321264999569394,1.1319429999566637,0.49981649999972433,
10,0.5003,0.0,1,0.617,0.542,0.6337,10,3.0935,0.6,0.3002,0.8005,5,1D1U,1.0,True,2.949,0,False,left,0.0,0.6081403000280261,1.4080280999769457,0.7998877999489196,2.049969899991993,2.5497246999875642,0.4997547999955714,
11,0.5003,0.0,2,0.4753,0.4669,0.5003,11,2.8934,0.9,0.4503,0.9506,5,lapse_rate,2.0,True,0.466,0,False,right,0.0,1.4649258999852464,2.415207299985923,0.9502814000006765,0.46522499999264255,0.9649479999789037,0.49972299998626113,
12,0.5003,0.0,1,0.4086,0.4836,0.7588,12,2.8517,0.4,0.2001,0.7004,5,1D1U,2.0,False,1.624,0,False,right,0.0,0.4001449000206776,1.1000901000224985,0.6999452000018209,1.8585148999700323,2.358391700021457,0.49987680005142465,
13,0.5003,0.0,2,0.5837,0.4586,0.7921,13,3.2853,0.9,0.4503,0.9506,5,lapse_rate,1.0,False,4.416,0,False,left,0.0,1.8659025999950245,2.8161423999699764,0.9502397999749519,0.574398199969437,1.0742271000053734,0.4998289000359364,
14,0.5003,0.0,1,0.492,0.4669,0.7004,14,2.3347,-0.648,-0.3252,0.1751,5,1U1D,2.0,True,0.408,2,True,right,0.0,0.48331789998337626,0.6585526000126265,0.17523470002925023,1.3586003999807872,1.8582842000178061,0.49968380003701895,
15,0.5003,0.0,2,0.542,0.4753,0.7505,15,2.4682,-0.6,-0.3002,0.2001,5,2U1D,2.0,False,1.174,0,False,right,0.0,1.782565400004387,1.982589100021869,0.20002370001748204,0.5325668000150472,1.032805000024382,0.5002382000093348,
16,0.5003,0.0,1,0.4669,0.4586,0.6754,16,2.9017,0.6,0.3002,0.8005,5,2D1U,1.0,True,1.324,0,False,left,0.0,0.4574175999732688,1.2574082000064664,0.7999906000331976,1.9407221999717876,2.440976199985016,0.5002540000132285,
17,0.5003,0.0,2,0.517,0.6421,0.8672,17,3.4772,0.9,0.4503,0.9506,5,lapse_rate,2.0,True,0.624,0,False,right,0.0,1.8744764000293799,2.824456700007431,0.9499802999780513,0.507885700033512,1.0079222000204027,0.5000364999868907,
18,0.5003,0.0,1,0.6337,0.5503,0.3419,18,2.2347,-0.576,-0.2918,0.2085,5,1U1D,2.0,True,0.766,2,False,right,0.0,0.6242714999825694,0.832232299959287,0.20796079997671768,1.18261999997776,1.6825420999666676,0.4999220999889076,
19,0.5003,0.0,1,0.4002,0.4503,0.4753,19,1.9679,-0.72,-0.3586,0.1418,5,2U1D,2.0,True,2.408,1,True,right,0.0,0.39202320005279034,0.5338816000148654,0.14185839996207505,1.0086866000201553,1.5090931000304408,0.5004065000102855,
20,0.5003,0.0,2,0.5503,0.4253,0.0167,20,2.2514,0.52,0.2585,0.7588,5,1D1U,2.0,True,7.617,1,True,right,0.0,1.0567204999970272,1.8154338999884203,0.7587133999913931,0.5402135999756865,1.0399630999891087,0.4997495000134222,
21,0.5003,0.0,1,0.4419,0.4753,0.0917,21,2.3097,0.6,0.3002,0.8005,5,2D1U,1.0,True,4.975,0,False,left,0.0,0.4331153000239283,1.23289320000913,0.7997778999852017,1.3247960999724455,1.8247986999922432,0.5000026000197977,
22,0.5003,0.0,1,0.517,0.6254,0.3752,22,2.2681,-0.504,-0.2502,0.2502,5,1U1D,2.0,True,7.749,2,False,right,0.0,0.5071477000019513,0.7573520999867469,0.2502043999847956,1.1405416000052355,1.6405422000098042,0.5000006000045687,
23,0.5003,0.0,1,0.5253,0.6421,0.617,23,2.3347,-0.9,-0.4503,0.05,5,lapse_rate,2.0,True,0.508,0,False,right,0.0,0.5163128999993205,0.5579647000413388,0.041651800042018294,1.1912038000300527,1.691615300020203,0.5004114999901503,
24,0.5003,0.0,1,0.4836,0.5753,0.7755,24,3.0351,0.4,0.2001,0.7004,5,2D1U,2.0,False,0.75,0,False,right,0.0,0.4738279999583028,1.1740756999934092,0.7002477000351064,1.9570709999534301,2.4571190999704413,0.5000481000170112,
25,0.5003,0.0,1,0.6087,0.5086,0.2335,25,1.9929,-0.72,-0.3586,0.1418,5,2U1D,1.0,False,2.308,1,True,left,0.0,0.5993641000241041,0.740933799999766,0.14156969997566193,0.9749197000055574,1.4743805000325665,0.4994608000270091,
26,0.5003,0.0,1,0.4336,0.4336,0.1001,26,2.193,0.448,0.2251,0.7254,5,1D1U,2.0,False,1.6,2,True,right,0.0,0.42473120003705844,1.1497447000001557,0.7250134999630973,1.2499800000223331,1.749947100004647,0.4999670999823138,
27,0.5003,0.0,1,0.5003,0.4669,0.3586,27,1.8761,-0.9,-0.4503,0.05,5,lapse_rate,2.0,True,1.484,0,False,right,0.0,0.49122739996528253,0.5411864999914542,0.049959100026171654,0.8994399000075646,1.3995254999608733,0.5000855999533087,
28,0.5003,0.0,2,0.5253,0.6254,0.1334,28,2.5432,0.52,0.2585,0.7588,5,1D1U,2.0,True,0.162,3,True,right,0.0,1.1492549999966286,1.9074974000104703,0.7582424000138417,0.5158488999586552,1.0158397000050172,0.499990800046362,
29,0.5003,0.0,2,0.5753,0.517,0.8422,29,2.5182,-0.84,-0.4169,0.0834,5,2U1D,1.0,True,0.275,1,False,left,0.0,1.908217100019101,1.9914472000091337,0.08323009999003261,0.5667039999971166,1.0667162000318058,0.5000122000346892,
30,0.5003,0.0,1,0.4086,0.4419,0.6254,30,2.735,0.52,0.2585,0.7588,5,2D1U,1.0,True,0.163,1,True,left,0.0,0.3985387999564409,1.1568301999941468,0.7582914000377059,1.7901441999711096,2.289967499964405,0.4998232999932952,
