,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.50134,1.2,2,0.39271,0.35094,0.68516,0,2.75736,0.65,0.32587,0.82721,5,2D1U,2.0,True,0.657,0,False,right,0.0,0.0007798001170158386,2.7569256997667253,2.7561458996497095,0.38185949996113777,0.8815057999454439,0.4996462999843061,
1,0.50134,0.1,2,0.39271,0.21725,0.83556,1,2.12233,-0.65,-0.32587,0.17547,5,1U1D,1.0,True,10.103,0,False,left,0.0,0.0007275003008544445,2.1241378001868725,2.123410299886018,0.38228469993919134,0.8818760002031922,0.4995913002640009,
2,0.50134,1.2,2,0.4512,0.35929,0.77707,2,2.91611,0.65,0.32587,0.82721,5,1D1U,2.0,True,0.306,0,False,right,0.0,0.0007147002033889294,2.9242060002870858,2.923491300083697,0.44093240005895495,0.9407574003562331,0.49982500029727817,
3,0.50134,0.1,2,0.26738,0.43449,0.42614,3,1.80482,-0.65,-0.32587,0.17547,5,2U1D,1.0,True,0.708,0,False,left,0.0,0.0007403995841741562,1.8164796000346541,1.81573920045048,0.25782749988138676,0.7576890997588634,0.4998615998774767,
4,0.50134,1.2,2,0.21725,0.40107,0.79378,4,2.86598,0.9,0.4512,0.95254,5,lapse_rate,2.0,True,0.537,0,False,right,0.0,0.0007678000256419182,2.8741641002707183,2.8733963002450764,0.20717439986765385,0.7072737999260426,0.5000994000583887,
5,0.50134,1.2,2,0.26738,0.32587,0.80214,5,2.72394,0.65,0.32587,0.82721,5,2D1U,2.0,True,0.702,0,False,right,0.0,0.00027660001069307327,2.7306412998586893,2.7303646998479962,0.25571230007335544,0.756073399912566,0.5003610998392105,
6,0.50134,0.1,2,0.32587,0.21725,0.62667,6,1.8466,-0.65,-0.32587,0.17547,5,2U1D,1.0,True,0.779,0,False,left,0.0,0.0008084997534751892,1.8480817000381649,1.8472732002846897,0.31477890023961663,0.8150088000111282,0.5002298997715116,
7,0.50134,1.2,2,0.32587,0.35929,0.68516,7,2.09726,-0.55,-0.27574,0.2256,5,1U1D,1.0,True,2.824,0,False,left,0.0,0.0007552001625299454,2.099904699716717,2.099149499554187,0.3165023000910878,0.8166493000462651,0.5001469999551773,
8,0.50134,1.2,2,0.35929,0.376,0.76872,8,2.05548,-0.9,-0.4512,0.05013,5,lapse_rate,2.0,False,3.88,0,False,right,0.0,0.0007266001775860786,2.065148400142789,2.064421799965203,0.34824270009994507,0.8477223999798298,0.4994796998798847,
9,0.50134,0.1,2,0.2256,0.44285,0.72694,9,2.6738,0.55,0.27574,0.77707,5,2D1U,2.0,True,0.573,0,False,right,0.0,0.0007615000940859318,2.6823785002343357,2.6816170001402497,0.21547070005908608,0.7157111000269651,0.5002403999678791,
10,0.50134,1.2,1,0.41778,0.27574,0.44285,10,2.41478,0.55,0.27574,0.77707,5,1D1U,1.0,True,0.74,0,False,left,0.0,0.0006174002774059772,2.424137699883431,2.423520299606025,1.623765700031072,2.123797900043428,0.500032200012356,
11,0.50134,0.1,1,0.26738,0.20053,0.43449,11,2.13068,0.45,0.2256,0.72694,5,1D1U,1.0,True,1.617,0,False,left,0.0,0.0006671999581158161,2.139988999813795,2.1393217998556793,1.4150884998962283,1.9151622001081705,0.5000737002119422,
12,0.50134,1.2,1,0.27574,0.43449,0.66845,12,2.10562,-0.55,-0.27574,0.2256,5,2U1D,1.0,False,1.347,0,False,left,0.0,0.000627799890935421,2.1067707003094256,2.10614290041849,1.1565837003290653,1.6565372999757528,0.4999535996466875,
13,0.50134,0.1,1,0.25902,0.27574,0.46791,13,1.55414,-0.9,-0.4512,0.05013,5,lapse_rate,2.0,True,1.007,0,False,right,0.0,0.0007319003343582153,1.566108400002122,1.5653764996677637,0.76549920020625,1.2657671002671123,0.5002679000608623,
14,0.50134,0.1,1,0.21725,0.39271,0.71023,14,2.5986,0.55,0.27574,0.77707,5,2D1U,2.0,False,0.238,0,False,right,0.0,0.0007515000179409981,2.599316000007093,2.598564499989152,1.6903387000784278,2.190795599948615,0.500456899870187,
15,0.50134,1.2,1,0.44285,0.27574,0.8857,15,2.38137,-0.45,-0.2256,0.27574,5,1U1D,1.0,False,2.291,0,False,left,0.0,0.0008048997260630131,2.389872800093144,2.389067900367081,1.5895878002047539,2.089835500344634,0.5002477001398802,
