,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.49963,1.2,2,0.21651,0.36639,0.7994,0,2.70632,0.65,0.32476,0.82439,5,1D1U,2.0,True,7.61,0,False,right,0.0,0.000264899805188179,2.7065598000772297,2.7062949002720416,0.20605040015652776,0.7059885999187827,0.49993819976225495,
1,0.49963,0.1,2,0.35807,0.23316,0.79108,1,2.70633,0.65,0.32476,0.82439,5,2D1U,2.0,True,2.17,0,False,right,0.0,0.00026350002735853195,2.70679090032354,2.7065274002961814,0.34841090021654963,0.8484783000312746,0.5000673998147249,
2,0.49963,1.2,2,0.31643,0.24149,0.54126,2,1.77368,-0.65,-0.32476,0.17487,5,1U1D,1.0,True,2.208,0,False,left,0.0,0.00029250001534819603,1.781355899758637,1.7810633997432888,0.3062423998489976,0.806392400059849,0.5001500002108514,
3,0.49963,0.1,2,0.22483,0.43301,0.4913,3,1.82364,-0.65,-0.32476,0.17487,5,2U1D,1.0,True,11.264,0,False,left,0.0,0.0007901000790297985,1.8315893998369575,1.8307992997579277,0.21479059988632798,0.7151477998122573,0.5003571999259293,
4,0.49963,0.1,2,0.2748,0.24149,0.47465,4,1.54053,-0.9,-0.44967,0.04996,5,lapse_rate,1.0,True,5.741,0,False,left,0.0,0.00025880010798573494,1.5500372997485101,1.5497784996405244,0.2665460999123752,0.766682599671185,0.5001364997588098,
5,0.49963,1.2,2,0.43301,0.32476,0.43301,5,2.46483,0.55,0.2748,0.77442,5,1D1U,2.0,True,0.757,0,False,right,0.0,0.00025509996339678764,2.4721765001304448,2.471921400167048,0.42157460004091263,0.9214881001971662,0.4999135001562536,
6,0.49963,0.1,2,0.38305,0.44134,0.59123,6,2.09012,-0.65,-0.32476,0.17487,5,2U1D,1.0,True,0.331,0,False,left,0.0,0.0005780002102255821,2.0988944000564516,2.098316399846226,0.37422889983281493,0.874361100140959,0.5001322003081441,
7,0.49963,1.2,2,0.41636,0.31643,0.53294,7,2.48982,0.45,0.22483,0.72446,5,1D1U,2.0,True,0.317,0,False,right,0.0,0.0002521001733839512,2.506303600035608,2.506051499862224,0.4061014000326395,0.9064529002644122,0.5003515002317727,
8,0.49963,0.1,2,0.22483,0.31643,0.43301,8,1.69873,-0.55,-0.2748,0.22483,5,1U1D,2.0,False,2.003,0,False,right,0.0,0.0007851999253034592,1.706708800047636,1.7059236001223326,0.21529840026050806,0.7149791000410914,0.4996806997805834,
9,0.49963,1.2,2,0.39138,0.35807,0.50795,9,2.58142,0.65,0.32476,0.82439,5,2D1U,2.0,True,0.256,0,False,right,0.0,0.0002525998279452324,2.591022999957204,2.5907704001292586,0.38299449998885393,0.8822748996317387,0.49928039964288473,
10,0.49963,1.2,1,0.34974,0.3081,0.4913,10,1.69873,-0.9,-0.44967,0.04996,5,lapse_rate,2.0,True,3.753,0,False,right,0.0,0.0007331999950110912,1.6999240000732243,1.6991908000782132,0.8833245001733303,1.383200400043279,0.4998758998699486,
11,0.49963,0.1,1,0.38305,0.26647,0.74111,11,2.66468,0.55,0.2748,0.77442,5,2D1U,1.0,True,2.279,0,False,left,0.0,0.00032320013269782066,2.674294900149107,2.673971700016409,1.8907935000024736,2.390752099920064,0.4999585999175906,
12,0.49963,1.2,1,0.19985,0.34974,0.47465,12,2.19837,0.35,0.17487,0.6745,5,1D1U,1.0,True,1.381,0,False,left,0.0,0.00026769982650876045,2.199395200237632,2.199127500411123,1.3402045997790992,1.8412366998381913,0.501032100059092,
13,0.49963,1.2,1,0.22483,0.31643,0.48297,13,1.57382,-0.9,-0.44967,0.04996,5,lapse_rate,2.0,True,0.435,0,False,right,0.0,0.0008107000030577183,1.5808007000014186,1.5799899999983609,0.7474720999598503,1.2478414000943303,0.50036930013448,
14,0.49963,0.1,1,0.32476,0.24981,0.44967,14,1.7487,-0.55,-0.2748,0.22483,5,2U1D,2.0,True,0.27,0,False,right,0.0,0.0007266001775860786,1.7488056002184749,1.7480790000408888,0.9906767001375556,1.4901464004069567,0.4994697002694011,
15,0.49963,1.2,1,0.24981,0.29145,0.69115,15,1.92356,-0.61,-0.3081,0.19152,5,1U1D,2.0,True,1.101,1,True,right,0.0,0.0008038999512791634,1.9316595001146197,1.9308556001633406,1.122470600064844,1.6234033000655472,0.5009327000007033,
16,0.49963,0.1,1,0.3997,0.29145,0.6745,16,2.08179,-0.574,-0.28312,0.21651,5,1U1D,2.0,True,2.15,2,True,right,0.0,0.0002704998478293419,2.0891335997730494,2.08886309992522,1.281459900084883,1.7816989999264479,0.5002390998415649,
17,0.49963,1.2,1,0.24149,0.32476,0.49963,17,2.33993,0.55,0.2748,0.77442,5,2D1U,2.0,False,2.905,0,False,right,0.0,0.0008487999439239502,2.348277499899268,2.347428699955344,1.5067380000837147,2.0064619998447597,0.499723999761045,
18,0.49963,0.1,1,0.21651,0.26647,0.41636,18,2.34826,0.9,0.44967,0.94929,5,lapse_rate,1.0,True,2.291,0,False,left,0.0,0.0007186001166701317,2.347636300139129,2.346917700022459,1.573609699960798,2.0733332000672817,0.4997235001064837,
19,0.49963,0.1,1,0.25814,0.39138,0.46632,19,2.24,0.25,0.12491,0.62453,5,1D1U,1.0,True,1.892,0,False,left,0.0,0.0007209000177681446,2.248927100095898,2.2482062000781298,1.3491861000657082,1.8492512004449964,0.5000651003792882,
20,0.49963,1.2,2,0.39138,0.40803,0.59955,20,2.12342,-0.55,-0.2748,0.22483,5,2U1D,1.0,True,0.612,0,False,left,0.0,0.000737400259822607,2.1314766998402774,2.130739299580455,0.3822170998901129,0.8817971996031702,0.4995800997130573,
21,0.49963,0.1,2,0.38305,0.25814,0.53294,21,2.48149,0.61,0.3081,0.80773,5,2D1U,2.0,True,0.281,1,True,right,0.0,0.0007102000527083874,2.489856299944222,2.4891460998915136,0.37395549984648824,0.873532900121063,0.49957740027457476,
22,0.49963,1.2,2,0.34141,0.44134,0.54126,22,2.39821,0.15,0.07494,0.57457,5,1D1U,2.0,True,0.356,0,False,right,0.0,0.0007098997011780739,2.399432099889964,2.398722200188786,0.33216589968651533,0.8319876999594271,0.4998218002729118,
23,0.49963,1.2,2,0.34141,0.43301,0.5829,23,2.80624,0.9,0.44967,0.94929,5,lapse_rate,1.0,False,0.566,0,False,left,0.0,0.0002802000381052494,2.8137674001045525,2.8134872000664473,0.33067419985309243,0.830324400216341,0.4996502003632486,
24,0.49963,0.1,2,0.25814,0.28312,0.891,24,2.16505,-0.538,-0.26647,0.23316,5,1U1D,1.0,True,0.312,2,False,left,0.0,0.0007227002643048763,2.166333499830216,2.1656107995659113,0.24939579982310534,0.7495849998667836,0.5001892000436783,
25,0.49963,1.2,2,0.20818,0.32476,0.44134,25,1.74871,-0.45,-0.22483,0.2748,5,2U1D,1.0,True,0.861,0,False,left,0.0,0.0004675001837313175,1.7484347997233272,1.7479672995395958,0.1984767997637391,0.6977001996710896,0.49922339990735054,
26,0.49963,0.1,2,0.23316,0.39138,0.71613,26,2.36491,0.05,0.02498,0.52461,5,1D1U,2.0,True,0.57,0,False,right,0.0,0.0002907998859882355,2.3667609998956323,2.366470200009644,0.22449300019070506,0.7248168997466564,0.5003238995559514,
27,0.49963,1.2,2,0.42468,0.42468,0.63286,27,2.25665,-0.45,-0.22483,0.2748,5,2U1D,1.0,True,0.314,0,False,left,0.0,0.00027820002287626266,2.2568812002427876,2.2566030002199113,0.41531459987163544,0.9149214001372457,0.4996068002656102,
28,0.49963,0.1,2,0.20818,0.37472,0.65784,28,2.5481,0.61,0.3081,0.80773,5,2D1U,2.0,True,0.32,1,True,right,0.0,0.00070980004966259,2.5413429997861385,2.540633199736476,0.19952229969203472,0.6993618998676538,0.4998396001756191,
29,0.49963,1.2,2,0.37472,0.3997,0.53294,29,1.85695,-0.9,-0.44967,0.04996,5,lapse_rate,1.0,True,0.403,0,False,left,0.0,0.0007182001136243343,1.8668049001134932,1.8660866999998689,0.37236429983749986,0.8733276999555528,0.500963400118053,
30,0.49963,1.2,1,0.40803,0.39138,0.77442,30,2.32327,-0.502,-0.24981,0.24981,5,1U1D,2.0,True,0.374,2,False,right,0.0,0.0007197996601462364,2.3297383999451995,2.3290186002850533,1.4296961002983153,1.9294614000245929,0.4997652997262776,
31,0.49963,0.1,1,0.41636,0.41636,0.44967,31,2.10678,-0.35,-0.17487,0.32476,5,2U1D,2.0,True,0.303,0,False,right,0.0,0.0007295999675989151,2.1056762002408504,2.1049466002732515,1.1808138000778854,1.6807180000469089,0.49990419996902347,
32,0.49963,1.2,1,0.39138,0.37472,0.57457,32,2.10677,-0.466,-0.23316,0.26647,5,1U1D,2.0,True,0.754,2,False,right,0.0,0.0002535996027290821,2.107609999831766,2.107356400229037,1.2244129995815456,1.7241267999634147,0.4997138003818691,
33,0.49963,0.1,1,0.35807,0.37472,0.66617,33,2.37324,-0.05,-0.02498,0.47465,5,1D1U,2.0,True,0.554,0,False,right,0.0,0.00026930030435323715,2.380539100151509,2.380269799847156,1.4889786001294851,1.9886452001519501,0.499666600022465,
34,0.49963,0.1,1,0.3997,0.24981,0.78275,34,2.88118,0.9,0.44967,0.94929,5,lapse_rate,2.0,False,1.375,0,False,right,0.0,0.00026449980214238167,2.890543000306934,2.8902785005047917,2.124403900001198,2.624229700304568,0.49982580030336976,
35,0.49963,1.2,1,0.35807,0.39138,0.52461,35,2.56477,0.574,0.28312,0.79108,5,2D1U,2.0,False,1.445,2,True,right,0.0,0.0006244000978767872,2.56430620001629,2.563681799918413,1.6649589999578893,2.164535399992019,0.4995764000341296,
36,0.49963,0.1,1,0.3081,0.38305,0.84104,36,2.55643,0.05,0.02498,0.52461,5,1D1U,2.0,False,4.738,0,False,right,0.0,0.0007903999648988247,2.5569014996290207,2.556111099664122,1.665939399972558,2.1662977999076247,0.5003583999350667,
