,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
0,0.50021,1.2,2,0.27512,0.20842,0.43351,0,2.24261,0.65,0.32514,0.82535,5,1D1U,2.0,True,7.156,0,False,right,0.0,0.0006650998257100582,2.256268700119108,2.255603600293398,0.2636342002078891,0.7637110999785364,0.5000768997706473,
1,0.50021,0.1,2,0.38349,0.26678,0.61692,1,1.94247,-0.65,-0.32514,0.17507,5,1U1D,1.0,True,1.741,0,False,left,0.0,0.00029959995299577713,1.9563631997443736,1.9560635997913778,0.37288839975371957,0.8729797997511923,0.5000913999974728,
2,0.50021,0.1,2,0.21676,0.3168,0.44185,2,2.42602,0.9,0.45019,0.9504,5,lapse_rate,2.0,True,1.423,0,False,right,0.0,0.0004420001059770584,2.4319954002276063,2.4315534001216292,0.20709449984133244,0.7067161998711526,0.4996217000298202,
3,0.50021,1.2,2,0.4085,0.44185,0.41684,3,2.54272,0.55,0.27512,0.77532,5,1D1U,1.0,False,16.483,0,False,left,0.0,0.00026399968191981316,2.548347800038755,2.548083800356835,0.39851910015568137,0.8977596000768244,0.49924049992114305,
4,0.50021,0.1,2,0.41684,0.27512,0.65861,4,2.02585,-0.65,-0.32514,0.17507,5,2U1D,1.0,True,1.45,0,False,left,0.0,0.0002877996303141117,2.023752899840474,2.02346510021016,0.407918700017035,0.9079872998408973,0.5000685998238623,
5,0.50021,1.2,2,0.33347,0.32514,0.62526,5,2.60943,0.65,0.32514,0.82535,5,2D1U,1.0,False,33.971,0,False,left,0.0,0.000788599718362093,2.607752799987793,2.606964200269431,0.324740800075233,0.8242758000269532,0.49953499995172024,
6,0.50021,0.1,2,0.3168,0.33347,0.67528,6,2.63443,0.61,0.30846,0.80867,5,1D1U,2.0,True,0.942,1,True,right,0.0,0.0004690997302532196,2.633488900028169,2.633019800297916,0.3081844002008438,0.8084642002359033,0.5002798000350595,
7,0.50021,1.2,2,0.24177,0.2501,0.51688,7,1.73405,-0.55,-0.27512,0.22509,5,1U1D,1.0,True,7.091,0,False,left,0.0,0.0008049001917243004,1.7400334998965263,1.739228599704802,0.23185090022161603,0.7314263000153005,0.4995753997936845,
8,0.50021,0.1,2,0.39183,0.28345,0.792,8,2.84286,0.75,0.37516,0.87537,5,2D1U,2.0,True,0.204,0,False,right,0.0,0.0002746996469795704,2.8498319000937045,2.849557200446725,0.3827960998751223,0.883061199914664,0.5002651000395417,
9,0.50021,1.2,2,0.35848,0.36682,0.68362,9,2.0842,-0.65,-0.32514,0.17507,5,2U1D,1.0,True,2.072,0,False,left,0.0,0.0007675997912883759,2.090659399982542,2.0898918001912534,0.34898679982870817,0.848819499835372,0.4998327000066638,
