,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.49644,1.2,1,0.39716,0.27304,0.81086,0,2.02714,-0.9,-0.4468,0.04964,5,3D1U,1.0,False,1.219,0,False,left,0.0,0.4002,0.4501,0.0499,1.267,1.7663,0.4993,V
1,1,0.49644,0.1,2,0.24822,0.20685,0.53781,1,1.53896,-0.9,-0.4468,0.04964,5,1D3U,1.0,True,1.484,0,False,left,0.0,1.2946,1.3445,0.05,0.2532,0.7529,0.4997,V
2,2,0.49644,1.2,1,0.36406,0.2234,0.7033,2,1.83684,-0.9,-0.4468,0.04964,5,1D3U,1.0,False,1.475,0,False,left,0.0,0.3663,0.4161,0.0498,1.1242,1.6249,0.5007,A
3,3,0.49644,0.1,2,0.34751,0.4137,0.75294,3,2.96211,0.9,0.4468,0.95152,5,lapse_rate,2.0,True,6.592,0,False,right,0.0,1.6072,2.5656,0.9584,0.3495,0.8492,0.4997,V
4,4,0.49644,0.1,1,0.27304,0.23167,0.53781,4,1.5886,-0.9,-0.4468,0.04964,5,3D1U,2.0,True,3.609,0,False,right,0.0,0.2765,0.3267,0.0502,0.868,1.3676,0.4996,V
5,5,0.49644,1.2,1,0.31441,0.37233,0.47162,5,1.70444,-0.9,-0.4468,0.04964,5,1D2U,2.0,True,0.641,0,False,right,0.0,0.316,0.3657,0.0497,0.8411,1.3412,0.5002,A
6,6,0.49644,0.1,2,0.2234,0.40543,0.61228,6,1.78719,-0.9,-0.4468,0.04964,5,2D1U,1.0,True,1.209,0,False,left,0.0,1.3381,1.3881,0.0499,0.2215,0.7209,0.4994,A
7,7,0.49644,1.2,1,0.30614,0.35579,0.75294,7,1.96095,-0.9,-0.4468,0.04964,5,1D3U,1.0,False,1.841,0,False,left,0.0,0.3095,0.3597,0.0502,1.1184,1.6182,0.4998,A
8,8,0.49644,0.1,1,0.26477,0.43853,0.87705,8,2.12643,-0.9,-0.4468,0.04964,5,1D2U,2.0,True,0.968,0,False,right,0.0,0.2641,0.3144,0.0503,1.1975,1.6978,0.5003,V
9,9,0.49644,1.2,2,0.2565,0.24822,0.69502,9,1.82857,-0.74,-0.37233,0.13239,5,3D1U,2.0,False,2.016,0,False,right,0.0,1.4543,1.5875,0.1333,0.2539,0.7541,0.5003,V
