,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.50397,1.2,2,0.20655,0.32221,0.76835,0,1.85065,-0.9,-0.44614,0.04957,5,3D1U,1.0,True,0.531,0,False,left,0.0,1.4912,1.5407,0.0494,0.2075,0.7152,0.5078,V
1,1,0.50397,0.1,1,0.31395,0.23133,0.72704,1,1.82586,-0.9,-0.44614,0.04957,5,2D1U,2.0,True,0.301,0,False,right,0.0,0.3152,0.3654,0.0502,1.0985,1.6068,0.5083,V
2,2,0.50397,1.2,1,0.347,0.43788,0.63616,2,2.0572,-0.74,-0.37178,0.13219,5,3D1U,1.0,False,1.193,0,False,left,0.0,0.3476,0.4805,0.133,1.1222,1.6308,0.5085,A
3,3,0.50397,0.1,2,0.27264,0.23959,0.77661,3,1.925,-0.74,-0.37178,0.13219,5,2D1U,1.0,True,0.275,0,False,left,0.0,1.5692,1.7024,0.1331,0.2775,0.786,0.5085,A
4,4,0.50397,0.1,1,0.21481,0.27264,0.46266,4,2.40419,0.9,0.44614,0.95011,5,lapse_rate,1.0,True,0.267,0,False,left,0.0,0.2125,1.1705,0.9579,1.6385,2.1454,0.5069,V
5,5,0.50397,1.2,1,0.42135,0.25612,0.54528,5,1.77629,-0.9,-0.44614,0.04957,5,1D3U,1.0,False,1.476,0,False,left,0.0,0.4224,0.4734,0.0511,1.0226,1.5303,0.5077,V
6,6,0.50397,0.1,2,0.21481,0.31395,0.60311,6,1.68541,-0.9,-0.44614,0.04957,5,1D2U,1.0,True,0.283,0,False,left,0.0,1.3299,1.3801,0.0502,0.2135,0.7218,0.5083,V
7,7,0.50397,1.2,1,0.40483,0.33047,0.6279,7,1.91674,-0.9,-0.44614,0.04957,5,lapse_rate,2.0,True,1.902,0,False,right,0.0,0.4109,0.4609,0.0501,1.0939,1.6029,0.509,V
8,8,0.50397,1.2,2,0.41309,0.28916,0.63616,8,1.97457,-0.74,-0.37178,0.13219,5,3D1U,1.0,True,0.3,0,False,left,0.0,1.5654,1.6981,0.1328,0.4153,0.9239,0.5086,V
9,9,0.50397,0.1,2,0.28916,0.20655,0.41309,9,1.61932,-0.58,-0.28916,0.20655,5,2D1U,1.0,True,0.25,0,False,left,0.0,1.2147,1.4226,0.2079,0.2895,0.7975,0.508,V
10,10,0.50397,1.2,1,0.33047,0.27264,0.47092,10,1.62757,-0.9,-0.44614,0.04957,5,1D2U,2.0,True,0.267,0,False,right,0.0,0.3312,0.3811,0.0499,0.8567,1.3644,0.5077,V
