,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.2833,0.2833,0.9,0,2.0166,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.333,0,False,right
1,1,0.5,0.1,2,0.25,0.4,0.6333,1,1.8333,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.334,0,False,left
2,2,0.5,0.1,2,0.35,0.25,0.7833,2,2.7833,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.218,0,False,right
3,3,0.5,0.1,1,0.3667,0.2667,0.4833,3,1.6667,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.517,0,False,right
4,4,0.5,0.1,2,0.2833,0.2333,0.7833,4,1.9332,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.433,0,False,left
5,5,0.5,0.1,1,0.4333,0.3667,0.45,5,1.8,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.224,0,False,right
6,6,0.5,0.1,2,0.2667,0.4333,0.4667,6,1.7167,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.284,0,False,left
7,7,0.5,0.1,2,0.3667,0.3,0.5833,7,1.8833,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.35,0,False,left
8,8,0.5,0.1,2,0.2333,0.2667,0.5333,8,1.75,-0.58,-0.2833,0.2167,5,2D1U,1.0,True,0.409,0,False,left
9,9,0.5,0.1,1,0.4167,0.4167,0.55,9,2.0167,-0.74,-0.3667,0.1333,5,3D1U,2.0,True,0.158,0,False,right
10,10,0.5,0.1,2,0.3833,0.25,0.7167,10,1.95,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.3,0,False,left
11,11,0.5,0.1,2,0.35,0.3667,0.7333,11,2.0,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.25,0,False,left
12,12,0.5,0.1,2,0.3,0.3,0.6667,12,2.05,-0.42,-0.2167,0.2833,5,2D1U,2.0,False,0.482,0,False,right
13,13,0.5,0.1,1,0.4167,0.4167,0.7833,13,2.3334,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.517,0,False,right
14,14,0.5,0.1,1,0.2167,0.2167,0.9,14,1.9667,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.44,0,False,right
15,15,0.5,0.1,2,0.3667,0.45,0.4667,15,2.6834,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.157,0,False,right
16,16,0.5,0.1,2,0.4333,0.35,0.7333,16,2.0666,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.308,0,False,left
17,17,0.5,0.1,2,0.4333,0.2667,0.4167,17,1.75,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.375,0,False,left
18,18,0.5,0.1,2,0.3,0.2167,0.55,18,2.4667,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.332,0,False,right
19,19,0.5,0.1,2,0.3,0.3833,0.5333,19,1.9333,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.358,0,False,left
