,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.49922,1.2,2,0.33282,0.44098,0.44098,0,1.88873,-0.65,-0.3245,0.17473,5,2U1D,1.0,True,0.499,0,False,left,0.0,1.2806,1.4544,0.1739,0.3387,0.8376,0.4989,A
1,1,0.49922,0.1,1,0.34946,0.33282,0.56579,1,2.57101,0.65,0.3245,0.82372,5,3D1U,1.0,True,0.575,0,False,left,0.0,0.36,1.1842,0.8242,1.7518,2.2518,0.5,V
2,2,0.49922,1.2,2,0.37442,0.39106,0.55747,2,2.64589,0.65,0.3245,0.82372,5,3D1U,2.0,True,0.308,0,False,right,0.0,1.439,2.2641,0.8251,0.3807,0.8808,0.5001,V
3,3,0.49922,0.1,1,0.26625,0.25793,0.89028,3,2.08841,-0.65,-0.3245,0.17473,5,3U1D,2.0,True,0.483,0,False,right,0.0,0.2727,0.4477,0.175,1.3393,1.8394,0.5,V
4,4,0.49922,0.1,2,0.20801,0.3661,0.52419,4,2.54605,0.9,0.4493,0.94853,5,lapse_rate,2.0,True,0.292,0,False,right,0.0,1.2389,2.1892,0.9503,0.2138,0.7142,0.5005,V
5,5,0.49922,1.2,2,0.28289,0.3661,0.47426,5,2.44619,0.65,0.3245,0.82372,5,2D1U,1.0,False,0.908,0,False,left,0.0,1.2681,2.0929,0.8248,0.2921,0.793,0.5009,V
6,6,0.49922,0.1,2,0.23297,0.20801,0.42434,6,1.53927,-0.65,-0.3245,0.17473,5,2U1D,1.0,True,0.384,0,False,left,0.0,1.1683,1.3429,0.1746,0.2432,0.7432,0.5,V
7,7,0.49922,1.2,1,0.25793,0.44098,0.4077,7,1.78056,-0.65,-0.3245,0.17473,5,3U1D,2.0,True,2.601,0,False,right,0.0,0.2694,0.4441,0.1746,0.8529,1.3527,0.4998,V
8,8,0.49922,0.1,2,0.23297,0.3245,0.83204,8,2.71245,0.65,0.3245,0.82372,5,3D1U,2.0,True,0.426,0,False,right,0.0,1.5728,2.398,0.8252,0.2395,0.7395,0.5,V
9,9,0.49922,0.1,2,0.3245,0.35778,0.45762,9,1.68904,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,True,0.601,0,False,left,0.0,1.293,1.3433,0.0503,0.3351,0.8352,0.5001,V
10,10,0.49922,1.2,2,0.26625,0.26625,0.59075,10,2.49611,0.75,0.37442,0.87364,5,2D1U,2.0,True,1.608,0,False,right,0.0,1.3615,2.2376,0.8761,0.2709,0.7702,0.4993,V
11,11,0.49922,0.1,1,0.3661,0.41602,0.857,11,2.36299,-0.55,-0.27457,0.22465,5,2U1D,2.0,True,0.492,0,False,right,0.0,0.3766,0.6013,0.2247,1.4605,1.9606,0.5001,A
12,12,0.49922,1.2,2,0.39938,0.24961,0.74884,12,2.77069,0.75,0.37442,0.87364,5,2D1U,2.0,True,0.426,0,False,right,0.0,1.661,2.536,0.875,0.4109,0.9109,0.5,V
13,13,0.49922,0.1,2,0.29953,0.34946,0.59907,13,1.97193,-0.55,-0.27457,0.22465,5,2U1D,1.0,True,0.368,0,False,left,0.0,1.4034,1.6275,0.2242,0.3027,0.8033,0.5005,V
14,14,0.49922,1.2,2,0.35778,0.24129,0.88196,14,2.75405,0.55,0.27457,0.7738,5,3D1U,2.0,True,0.283,0,False,right,0.0,1.7459,2.5216,0.7757,0.3635,0.8633,0.4997,A
15,15,0.49922,0.1,2,0.29121,0.3661,0.44098,15,1.77224,-0.65,-0.3245,0.17473,5,3U1D,1.0,True,0.342,0,False,left,0.0,1.2366,1.412,0.1754,0.295,0.7949,0.4999,V
16,16,0.49922,0.1,2,0.22465,0.3661,0.75716,16,1.89705,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,True,0.325,0,False,left,0.0,1.4907,1.5399,0.0493,0.2325,0.7322,0.4998,A
17,17,0.49922,1.2,1,0.29121,0.35778,0.49922,17,1.69735,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,False,0.501,0,False,left,0.0,0.2952,0.3459,0.0507,0.845,1.346,0.501,A
18,18,0.49922,1.2,1,0.23297,0.37442,0.857,18,2.18826,-0.55,-0.27457,0.22465,5,3U1D,2.0,True,0.809,0,False,right,0.0,0.2395,0.464,0.2245,1.3231,1.8229,0.4998,A
19,19,0.49922,0.1,2,0.42434,0.24129,0.68227,19,2.12169,-0.45,-0.22465,0.27457,5,2U1D,1.0,True,0.35,0,False,left,0.0,1.6147,1.8897,0.275,0.4311,0.9315,0.5004,V
20,20,0.49922,1.2,2,0.38274,0.39938,0.72387,20,2.85389,0.69,0.34114,0.84868,5,2D1U,1.0,False,1.209,1,True,left,0.0,1.614,2.4638,0.8499,0.3889,0.8889,0.4999,A
21,21,0.49922,0.1,2,0.41602,0.29953,0.56579,21,2.55436,0.55,0.27457,0.7738,5,3D1U,2.0,True,0.535,0,False,right,0.0,1.4883,2.263,0.7747,0.4212,0.921,0.4999,A
22,22,0.49922,1.2,1,0.38274,0.42434,0.70723,22,2.2881,-0.45,-0.22465,0.27457,5,2U1D,1.0,False,0.76,0,False,left,0.0,0.3879,0.6631,0.2752,1.3714,1.8714,0.5,A
23,23,0.49922,0.1,1,0.41602,0.26625,0.75716,23,2.71245,0.55,0.27457,0.7738,5,3D1U,1.0,True,0.375,0,False,left,0.0,0.4242,1.1996,0.7754,1.9576,2.4574,0.4998,A
24,24,0.49922,1.2,2,0.23297,0.28289,0.84036,24,2.08009,-0.55,-0.27457,0.22465,5,3U1D,1.0,True,0.343,0,False,left,0.0,1.5784,1.8037,0.2253,0.2373,0.7367,0.4994,A
25,25,0.49922,0.1,1,0.30785,0.34114,0.83204,25,2.03017,-0.9,-0.4493,0.04992,5,lapse_rate,2.0,True,0.409,0,False,right,0.0,0.3162,0.3651,0.0489,1.1987,1.6993,0.5006,V
26,26,0.49922,0.1,2,0.35778,0.29121,0.67395,26,2.68748,0.726,0.3661,0.86532,5,2D1U,2.0,True,0.408,2,True,right,0.0,1.5414,2.4078,0.8664,0.3664,0.8656,0.4992,A
27,27,0.49922,1.2,2,0.4077,0.35778,0.70723,27,2.19658,-0.55,-0.27457,0.22465,5,3U1D,1.0,True,0.533,0,False,left,0.0,1.6259,1.8506,0.2247,0.4177,0.9176,0.4999,A
28,28,0.49922,0.1,2,0.35778,0.34946,0.49922,28,2.571,0.726,0.3661,0.86532,5,2D1U,2.0,True,0.4,2,True,right,0.0,1.3631,2.23,0.8669,0.3631,0.8631,0.5,V
29,29,0.49922,0.1,2,0.37442,0.29121,0.89028,29,2.10505,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,True,0.393,0,False,left,0.0,1.7747,1.8257,0.051,0.3836,0.8837,0.5001,A
30,30,0.49922,1.2,2,0.25793,0.28289,0.42434,30,1.70567,-0.51,-0.25793,0.24129,5,2U1D,1.0,True,0.884,1,True,left,0.0,1.1898,1.4314,0.2416,0.2646,0.7648,0.5003,A
31,31,0.49922,0.1,2,0.25793,0.31618,0.89028,31,2.68748,0.45,0.22465,0.72387,5,3D1U,2.0,True,0.426,0,False,right,0.0,1.6593,2.3844,0.7251,0.2679,0.7676,0.4997,V
32,32,0.49922,1.2,2,0.20801,0.43266,0.53251,32,1.91369,-0.51,-0.25793,0.24129,5,2U1D,1.0,True,0.584,1,True,left,0.0,1.2485,1.4901,0.2416,0.215,0.7149,0.4999,A
