,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,2,0.4167,0.2167,0.45,0,1.7501,-0.65,-0.3333,0.1667,5,3U1D,1.0,True,0.645,0,False,left
1,1,0.5,0.1,2,0.2167,0.4167,0.85,1,2.8167,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.399,0,False,right
2,2,0.5,0.1,2,0.4167,0.4,0.5833,2,2.7333,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.425,0,False,right
3,3,0.5,0.1,2,0.4,0.4,0.85,3,2.3167,-0.65,-0.3333,0.1667,5,2U1D,1.0,True,0.383,0,False,left
4,4,0.5,0.1,2,0.3667,0.45,0.6667,4,2.0834,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.392,0,False,left
5,5,0.5,0.1,2,0.3667,0.3833,0.4167,5,1.8334,-0.65,-0.3333,0.1667,5,3U1D,1.0,True,0.308,0,False,left
6,6,0.5,0.1,1,0.35,0.3,0.5,6,2.4833,0.65,0.3333,0.8333,5,2D1U,2.0,False,0.55,0,False,right
7,7,0.5,0.1,1,0.2833,0.25,0.6667,7,2.6,0.8,0.4,0.9,5,lapse_rate,2.0,False,0.426,0,False,right
8,8,0.5,0.1,2,0.35,0.2333,0.55,8,2.4666,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.4,0,False,right
9,9,0.5,0.1,1,0.3667,0.3333,0.8333,9,2.2,-0.65,-0.3333,0.1667,5,3U1D,2.0,True,0.391,0,False,right
10,10,0.5,0.1,1,0.3333,0.35,0.5333,10,1.8833,-0.65,-0.3333,0.1667,5,2U1D,2.0,True,0.434,0,False,right
11,11,0.5,0.1,1,0.4,0.3833,0.6,11,2.75,0.75,0.3667,0.8667,5,2D1U,1.0,True,0.3,0,False,left
12,12,0.5,0.1,1,0.3167,0.3,0.6,12,1.9334,-0.55,-0.2667,0.2167,5,2U1D,2.0,True,0.459,0,False,right
13,13,0.5,0.1,2,0.25,0.3833,0.5833,13,2.5833,0.75,0.3667,0.8667,5,2D1U,2.0,True,0.317,0,False,right
14,14,0.5,0.1,2,0.3333,0.4333,0.8167,14,2.9833,0.8,0.4,0.9,5,lapse_rate,1.0,False,17.6,0,False,left
15,15,0.5,0.1,1,0.2667,0.3667,0.7333,15,2.6334,0.55,0.2667,0.7667,5,3D1U,2.0,False,0.542,0,False,right
16,16,0.5,0.1,2,0.2333,0.4,0.65,16,2.0,-0.55,-0.2667,0.2167,5,3U1D,1.0,True,0.483,0,False,left
17,17,0.5,0.1,2,0.3,0.3333,0.8167,17,2.1667,-0.55,-0.2667,0.2167,5,3U1D,1.0,True,0.467,0,False,left
18,18,0.5,0.1,1,0.4,0.4333,0.5833,18,2.1333,-0.55,-0.2667,0.2167,5,2U1D,2.0,True,0.342,0,False,right
19,19,0.5,0.1,2,0.3,0.3333,0.8167,19,2.85,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.401,0,False,right
20,20,0.5,0.1,2,0.4,0.3333,0.4167,20,2.45,0.61,0.3,0.8,5,3D1U,2.0,True,0.443,1,True,right
21,21,0.5,0.1,1,0.2667,0.3667,0.4833,21,2.4667,0.69,0.35,0.85,5,2D1U,1.0,True,0.376,1,True,left
22,22,0.5,0.1,1,0.4167,0.2833,0.45,22,2.55,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.433,0,False,left
23,23,0.5,0.1,2,0.2667,0.4167,0.6667,23,2.0668,-0.55,-0.2667,0.2167,5,3U1D,1.0,True,0.475,0,False,left
24,24,0.5,0.1,1,0.3833,0.3333,0.4667,24,1.95,-0.45,-0.2333,0.2667,5,2U1D,2.0,True,0.475,0,False,right
25,25,0.5,0.1,1,0.4333,0.2833,0.6333,25,2.6499,0.61,0.3,0.8,5,3D1U,1.0,True,0.416,1,True,left
26,26,0.5,0.1,1,0.4167,0.4167,0.65,26,2.8334,0.69,0.35,0.85,5,2D1U,1.0,True,0.483,1,True,left
27,27,0.5,0.1,2,0.2167,0.4167,0.6167,27,2.5501,0.61,0.3,0.8,5,3D1U,2.0,True,0.391,1,True,right
