,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.50034,1.2,1,0.42529,0.24183,0.55872,0,2.55175,0.65,0.32522,0.82557,5,2D1U,1.0,True,0.901,0,False,left,0.0,0.4289,1.2542,0.8252,1.8123,2.3124,0.5001,V
1,1,0.50034,0.1,2,0.22515,0.27519,0.48366,1,1.65946,-0.65,-0.32522,0.17512,5,3U1D,1.0,True,0.925,0,False,left,0.0,1.2183,1.3936,0.1753,0.2349,0.7351,0.5002,A
2,2,0.50034,1.2,2,0.43363,0.28353,0.74218,2,2.78525,0.65,0.32522,0.82557,5,2D1U,2.0,True,0.376,0,False,right,0.0,1.6817,2.506,0.8242,0.4395,0.9401,0.5006,V
3,3,0.50034,1.2,2,0.28353,0.25851,0.6838,3,1.77621,-0.9,-0.45031,0.05003,5,lapse_rate,1.0,True,0.6,0,False,left,0.0,1.4707,1.5202,0.0495,0.2879,0.7879,0.5,V
4,4,0.50034,0.1,2,0.20848,0.20848,0.70882,4,2.45169,0.65,0.32522,0.82557,5,3D1U,2.0,True,0.269,0,False,right,0.0,1.4214,2.2458,0.8244,0.2122,0.7125,0.5003,A
5,5,0.50034,1.2,1,0.22515,0.40861,0.80055,5,2.10977,-0.65,-0.32522,0.17512,5,3U1D,2.0,True,0.467,0,False,right,0.0,0.2305,0.4054,0.1749,1.2051,1.7051,0.5,A
6,6,0.50034,0.1,2,0.43363,0.23349,0.6838,6,2.02638,-0.65,-0.32522,0.17512,5,2U1D,1.0,True,0.417,0,False,left,0.0,1.6241,1.7992,0.175,0.4409,0.9409,0.5,A
7,7,0.50034,1.2,1,0.40027,0.45031,0.50868,7,2.68517,0.65,0.32522,0.82557,5,3D1U,2.0,False,2.326,0,False,right,0.0,0.4098,1.2353,0.8254,1.7444,2.2433,0.4989,V
8,8,0.50034,0.1,1,0.28353,0.41695,0.61709,8,1.99303,-0.65,-0.32522,0.17512,5,2U1D,2.0,True,0.266,0,False,right,0.0,0.2874,0.4629,0.1755,1.0794,1.5794,0.5,V
9,9,0.50034,1.2,2,0.27519,0.32522,0.54204,9,1.81791,-0.65,-0.32522,0.17512,5,3U1D,1.0,True,0.418,0,False,left,0.0,1.321,1.496,0.175,0.2794,0.7796,0.5002,V
