,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.3167,0.3167,0.8167,0,2.8501,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.385,0,False,left
1,1,0.5,0.1,2,0.3167,0.3333,0.4167,1,2.4,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.183,0,False,right
2,2,0.5,0.1,1,0.4,0.2833,0.4667,2,1.8167,-0.65,-0.3333,0.1667,5,2U1D,2.0,True,0.266,0,False,right
3,3,0.5,0.1,1,0.3167,0.35,0.75,3,2.75,0.65,0.3333,0.8333,5,2D1U,2.0,False,0.374,0,False,right
4,4,0.5,0.1,1,0.4333,0.2333,0.4,4,1.7333,-0.65,-0.3333,0.1667,5,3U1D,2.0,True,0.408,0,False,right
5,5,0.5,0.1,2,0.2833,0.2333,0.6167,5,2.4666,0.65,0.3333,0.8333,5,3D1U,2.0,True,0.359,0,False,right
6,6,0.5,0.1,2,0.3,0.3167,0.4667,6,1.6834,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.45,0,False,left
7,7,0.5,0.1,2,0.2333,0.2333,0.7167,7,1.7833,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.449,0,False,left
8,8,0.5,0.1,2,0.2333,0.3667,0.7333,8,2.0,-0.65,-0.3333,0.1667,5,3U1D,1.0,True,0.391,0,False,left
9,9,0.5,0.1,1,0.4,0.2333,0.4333,9,2.4333,0.75,0.3667,0.8667,5,2D1U,1.0,True,0.334,0,False,left
10,10,0.5,0.1,1,0.35,0.3833,0.8,10,2.2,-0.65,-0.3333,0.1667,5,2U1D,2.0,True,0.166,0,False,right
11,11,0.5,0.1,1,0.3833,0.3833,0.8667,11,2.9666,0.65,0.3333,0.8333,5,3D1U,1.0,True,0.458,0,False,left
12,12,0.5,0.1,2,0.2167,0.3833,0.7333,12,2.6,0.55,0.2667,0.7667,5,3D1U,2.0,True,1.249,0,False,right
13,13,0.5,0.1,1,0.3833,0.25,0.8667,13,2.1667,-0.65,-0.3333,0.1667,5,3U1D,2.0,True,0.25,0,False,right
14,14,0.5,0.1,2,0.3667,0.25,0.7167,14,2.0501,-0.55,-0.2667,0.2167,5,2U1D,1.0,True,0.548,0,False,left
15,15,0.5,0.1,1,0.3667,0.3333,0.65,15,1.95,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.233,0,False,right
16,16,0.5,0.1,2,0.35,0.2667,0.5833,16,2.5667,0.75,0.3667,0.8667,5,2D1U,2.0,True,0.167,0,False,right
17,17,0.5,0.1,2,0.4167,0.3167,0.5,17,1.9501,-0.55,-0.2667,0.2167,5,3U1D,1.0,True,0.85,0,False,left
18,18,0.5,0.1,2,0.4,0.2833,0.6,18,2.6333,0.69,0.35,0.85,5,2D1U,2.0,True,0.308,1,True,right
19,19,0.5,0.1,2,0.4167,0.3167,0.5167,19,1.9668,-0.55,-0.2667,0.2167,5,2U1D,1.0,True,0.434,0,False,left
20,20,0.5,0.1,2,0.4,0.45,0.6333,20,2.8833,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.166,0,False,right
21,21,0.5,0.1,1,0.4333,0.35,0.6,21,2.65,0.55,0.2667,0.7667,5,3D1U,2.0,False,0.367,0,False,right
22,22,0.5,0.1,1,0.4,0.4,0.5833,22,2.7333,0.69,0.35,0.85,5,2D1U,2.0,False,1.167,1,True,right
23,23,0.5,0.1,1,0.3,0.45,0.7167,23,2.2334,-0.45,-0.2333,0.2667,5,2U1D,2.0,True,0.16,0,False,right
24,24,0.5,0.1,2,0.3333,0.2833,0.5333,24,2.5499,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.167,0,False,right
25,25,0.5,0.1,2,0.3833,0.3167,0.7167,25,2.1334,-0.55,-0.2667,0.2167,5,3U1D,1.0,True,0.401,0,False,left
26,26,0.5,0.1,2,0.2833,0.2167,0.4333,26,2.2333,0.61,0.3,0.8,5,3D1U,2.0,True,0.242,1,True,right
