,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.49814,1.2,1,0.26567,0.41512,0.78872,0,2.01746,-0.9,-0.44833,0.04981,5,1D3U,2.0,True,0.523,0,False,right,0.0,0.265,0.3153,0.0502,1.1066,1.607,0.5004,V
1,1,0.49814,0.1,1,0.38191,0.28228,0.48154,1,1.69368,-0.9,-0.44833,0.04981,5,1D2U,2.0,True,3.083,0,False,right,0.0,0.3859,0.4365,0.0506,0.9188,1.4195,0.5007,V
2,2,0.49814,1.2,2,0.23247,0.19926,0.83854,2,1.81822,-0.9,-0.44833,0.04981,5,1D2U,1.0,True,0.516,0,False,left,0.0,1.5734,1.624,0.0506,0.2322,0.7324,0.5002,V
3,3,0.49814,0.1,1,0.39851,0.31549,0.81363,3,2.97224,0.9,0.44833,0.94647,5,lapse_rate,1.0,True,0.375,0,False,left,0.0,0.402,1.3518,0.9498,2.1683,2.6686,0.5003,A
4,4,0.49814,0.1,1,0.27398,0.357,0.48154,4,1.66047,-0.9,-0.44833,0.04981,5,2D1U,2.0,True,1.213,0,False,right,0.0,0.2783,0.3282,0.0499,0.8121,1.3119,0.4997,A
5,5,0.49814,1.2,1,0.20756,0.33209,0.83854,5,1.92614,-0.9,-0.44833,0.04981,5,3D1U,2.0,True,1.102,0,False,right,0.0,0.2064,0.2565,0.0502,1.0976,1.5985,0.5009,V
6,6,0.49814,0.1,1,0.44833,0.19926,0.73061,6,1.92615,-0.9,-0.44833,0.04981,5,1D3U,2.0,True,0.779,0,False,right,0.0,0.4524,0.5034,0.051,1.2366,1.7355,0.4989,A
7,7,0.49814,1.2,2,0.39021,0.31549,0.43172,7,1.68537,-0.9,-0.44833,0.04981,5,1D3U,2.0,False,1.809,0,False,right,0.0,1.3262,1.3761,0.05,0.3933,0.8925,0.4993,V
8,8,0.49814,0.1,1,0.31549,0.21586,0.75551,8,2.73147,0.9,0.44833,0.94647,5,lapse_rate,1.0,True,0.367,0,False,left,0.0,0.3166,1.2665,0.9499,2.025,2.5246,0.4996,V
9,9,0.49814,0.1,1,0.21586,0.38191,0.68909,9,1.91784,-0.74,-0.37361,0.13284,5,3D1U,2.0,True,0.405,0,False,right,0.0,0.213,0.347,0.1339,1.0385,1.5387,0.5001,V
10,10,0.49814,1.2,2,0.20756,0.44002,0.46493,10,1.74349,-0.74,-0.37361,0.13284,5,1D2U,2.0,False,1.689,0,False,right,0.0,1.1753,1.3079,0.1326,0.2089,0.7079,0.499,A
11,11,0.49814,0.1,1,0.24077,0.37361,0.64758,11,1.89294,-0.74,-0.37361,0.13284,5,2D1U,2.0,True,0.488,0,False,right,0.0,0.2385,0.3723,0.1338,1.0214,1.522,0.5006,V
12,12,0.49814,1.2,2,0.26567,0.38191,0.51475,12,1.71028,-0.9,-0.44833,0.04981,5,1D3U,2.0,False,1.95,0,False,right,0.0,1.2871,1.3369,0.0498,0.2702,0.7701,0.4999,V
13,13,0.49814,0.1,1,0.29058,0.29058,0.56456,13,1.85142,-0.58,-0.29058,0.20756,5,3D1U,2.0,True,0.414,0,False,right,0.0,0.2909,0.4993,0.2083,1.0654,1.5664,0.501,V
14,14,0.49814,1.2,2,0.3487,0.28228,0.6974,14,1.91785,-0.82,-0.40681,0.09133,5,1D2U,1.0,True,0.604,1,True,left,0.0,1.5511,1.6432,0.0921,0.3513,0.8509,0.4996,A
15,15,0.49814,0.1,1,0.41512,0.22416,0.77212,15,2.1171,-0.58,-0.29058,0.20756,5,2D1U,2.0,True,0.495,0,False,right,0.0,0.4194,0.6281,0.2087,1.4029,1.9028,0.4998,V
16,16,0.49814,1.2,2,0.40681,0.43172,0.46493,16,2.74807,0.9,0.44833,0.94647,5,lapse_rate,2.0,True,0.384,0,False,right,0.0,1.3709,2.3215,0.9506,0.4044,0.9046,0.5002,V
17,17,0.49814,1.2,1,0.42342,0.23247,0.59777,17,2.04238,-0.42,-0.20756,0.29058,5,3D1U,1.0,False,0.496,0,False,left,0.0,0.4226,0.7145,0.2919,1.3143,1.8147,0.5005,A
18,18,0.49814,1.2,1,0.32379,0.43172,0.84684,18,3.04696,0.9,0.44833,0.94647,5,lapse_rate,1.0,True,0.793,0,False,left,0.0,0.3229,1.2718,0.9489,2.1226,2.6225,0.4999,A
19,19,0.49814,0.1,2,0.27398,0.29058,0.82193,19,1.97596,-0.82,-0.40681,0.09133,5,1D2U,1.0,True,0.431,1,True,left,0.0,1.5978,1.6898,0.092,0.2727,0.7731,0.5004,A
20,20,0.49814,1.2,1,0.39021,0.29888,0.65588,20,1.89292,-0.9,-0.44833,0.04981,5,1D3U,2.0,True,1.507,0,False,right,0.0,0.3883,0.4387,0.0504,1.0965,1.5968,0.5003,V
21,21,0.49814,0.1,1,0.31549,0.41512,0.75551,21,2.27484,-0.42,-0.20756,0.29058,5,2D1U,2.0,True,0.433,0,False,right,0.0,0.3141,0.606,0.2919,1.3638,1.8648,0.501,A
22,22,0.49814,1.2,1,0.38191,0.3404,0.41512,22,1.7435,-0.78,-0.39021,0.10793,5,1D2U,1.0,False,0.544,2,True,left,0.0,0.3824,0.4909,0.1085,0.9074,1.4068,0.4995,A
23,23,0.49814,1.2,1,0.39851,0.24907,0.68909,23,2.78128,0.9,0.44833,0.94647,5,lapse_rate,1.0,True,1.851,0,False,left,0.0,0.4039,1.3539,0.9501,2.0454,2.5455,0.5002,V
24,24,0.49814,0.1,1,0.43172,0.21586,0.58116,24,1.77669,-0.9,-0.44833,0.04981,5,1D3U,2.0,True,0.351,0,False,right,0.0,0.4308,0.4813,0.0505,1.064,1.5643,0.5003,A
25,25,0.49814,1.2,2,0.44833,0.38191,0.63928,25,2.25824,-0.42,-0.20756,0.29058,5,3D1U,1.0,True,0.415,0,False,left,0.0,1.5906,1.8818,0.2912,0.4486,0.9487,0.5001,A
26,26,0.49814,0.1,1,0.23247,0.39021,0.56456,26,2.05899,-0.26,-0.13284,0.37361,5,2D1U,2.0,True,0.811,0,False,right,0.0,0.236,0.6117,0.3757,1.178,1.6779,0.4999,A
27,27,0.49814,1.2,2,0.23247,0.31549,0.81363,27,2.30806,-0.1,-0.04981,0.44833,5,2D1U,2.0,False,0.575,0,False,right,0.0,1.548,1.9981,0.4501,0.2315,0.7313,0.4998,V
28,28,0.49814,0.1,2,0.25737,0.24077,0.49814,28,1.86803,-0.26,-0.13284,0.37361,5,3D1U,1.0,True,0.397,0,False,left,0.0,1.2598,1.6341,0.3743,0.2597,0.7591,0.4994,A
29,29,0.49814,1.2,1,0.33209,0.21586,0.59777,29,1.73519,-0.82,-0.40681,0.09133,5,1D2U,1.0,False,1.849,3,True,left,0.0,0.3297,0.421,0.0912,1.0207,1.5207,0.5,A
30,30,0.49814,1.2,1,0.24077,0.37361,0.44002,30,1.60235,-0.9,-0.44833,0.04981,5,lapse_rate,1.0,False,2.061,0,False,left,0.0,0.2404,0.2906,0.0502,0.732,1.2323,0.5003,A
31,31,0.49814,0.1,1,0.3404,0.29058,0.79702,31,1.97595,-0.9,-0.44833,0.04981,5,1D3U,2.0,True,0.372,0,False,right,0.0,0.3396,0.39,0.0504,1.1902,1.6901,0.4999,A
32,32,0.49814,1.2,1,0.40681,0.42342,0.80533,32,2.58203,-0.1,-0.04981,0.44833,5,2D1U,1.0,False,0.637,0,False,left,0.0,0.4066,0.856,0.4494,1.6644,2.1646,0.5002,A
33,33,0.49814,0.1,1,0.44833,0.38191,0.85514,33,2.24994,-0.86,-0.43172,0.06642,5,1D2U,2.0,True,0.301,3,False,right,0.0,0.4493,0.5159,0.0667,1.3741,1.8736,0.4995,A
34,34,0.49814,1.2,1,0.23247,0.23247,0.53135,34,1.94276,-0.1,-0.04981,0.44833,5,3D1U,2.0,True,0.725,0,False,right,0.0,0.2361,0.687,0.4509,1.2192,1.7196,0.5004,V
35,35,0.49814,1.2,2,0.40681,0.3487,0.63928,35,2.8394,0.9,0.44833,0.94647,5,lapse_rate,2.0,True,0.317,0,False,right,0.0,1.5487,2.498,0.9493,0.4071,0.9062,0.4991,V
36,36,0.49814,0.1,1,0.3487,0.20756,0.73061,36,1.87634,-0.82,-0.40681,0.09133,5,1D3U,2.0,True,0.421,1,True,right,0.0,0.3461,0.4379,0.0918,1.1712,1.6714,0.5002,A
37,37,0.49814,1.2,1,0.30719,0.40681,0.63928,37,1.91784,-0.86,-0.43172,0.06642,5,1D2U,1.0,False,1.451,3,False,left,0.0,0.3067,0.374,0.0673,1.0157,1.5156,0.5,V
38,38,0.49814,1.2,2,0.30719,0.21586,0.63928,38,1.71028,-0.9,-0.44833,0.04981,5,lapse_rate,1.0,True,0.909,0,False,left,0.0,1.4523,1.5031,0.0509,0.3106,0.8105,0.4999,V
39,39,0.49814,0.1,2,0.42342,0.31549,0.83023,39,2.15861,-0.82,-0.40681,0.09133,5,1D3U,1.0,True,0.365,1,True,left,0.0,1.7569,1.8487,0.0917,0.4238,0.9233,0.4995,V
40,40,0.49814,1.2,1,0.24077,0.44002,0.7057,40,2.29144,-0.18,-0.09133,0.40681,5,2D1U,1.0,False,1.467,1,True,left,0.0,0.2395,0.6472,0.4077,1.3551,1.8551,0.5,A
41,41,0.49814,0.1,1,0.29888,0.25737,0.83023,41,2.41597,0.06,0.03321,0.53135,5,3D1U,2.0,False,0.791,0,False,right,0.0,0.2978,0.8307,0.533,1.6639,2.1642,0.5002,V
42,42,0.49814,1.2,2,0.3404,0.44002,0.75551,42,2.64014,0.22,0.10793,0.60607,5,3D1U,2.0,True,1.55,0,False,right,0.0,1.5959,2.2046,0.6087,0.3377,0.8375,0.4998,V
43,43,0.49814,0.1,2,0.3404,0.19926,0.49814,43,1.94275,-0.18,-0.09133,0.40681,5,2D1U,1.0,True,0.433,1,True,left,0.0,1.3386,1.7469,0.4083,0.3395,0.8392,0.4997,A
44,44,0.49814,1.2,2,0.43172,0.19926,0.48984,44,1.71029,-0.82,-0.40681,0.09133,5,1D3U,2.0,False,1.649,1,True,right,0.0,1.4243,1.5169,0.0926,0.4335,0.9337,0.5002,A
45,45,0.49814,0.1,2,0.32379,0.37361,0.59777,45,1.84312,-0.9,-0.44833,0.04981,5,1D2U,1.0,True,0.38,3,False,left,0.0,1.4207,1.4708,0.0501,0.3199,0.8198,0.4998,V
46,46,0.49814,0.1,1,0.39021,0.37361,0.47323,46,2.68166,0.9,0.44833,0.94647,5,lapse_rate,1.0,True,0.406,0,False,left,0.0,0.3905,1.3409,0.9503,1.8154,2.3158,0.5004,A
47,47,0.49814,1.2,2,0.33209,0.31549,0.88835,47,2.10049,-0.86,-0.43172,0.06642,5,1D3U,1.0,True,1.318,2,True,left,0.0,1.7281,1.7944,0.0663,0.3357,0.8359,0.5002,V
