,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,2,0.3,0.2333,0.8333,0,1.9166,-0.9,-0.45,0.05,5,1D3U,1.0,True,1.672,0,False,left
1,1,0.5,0.1,1,0.45,0.2667,0.45,1,1.7667,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.865,0,False,right
2,2,0.5,0.1,1,0.3,0.3667,0.85,2,2.0667,-0.9,-0.45,0.05,5,1D2U,2.0,True,3.282,0,False,right
3,3,0.5,0.1,1,0.4167,0.3667,0.7667,3,2.1001,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.416,0,False,right
4,4,0.5,0.1,1,0.2833,0.2333,0.8167,4,1.8833,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.467,0,False,right
5,5,0.5,0.1,2,0.35,0.45,0.8167,5,2.2167,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.308,0,False,left
6,6,0.5,0.1,1,0.25,0.2,0.85,6,1.85,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.517,0,False,right
7,7,0.5,0.1,2,0.4,0.3167,0.7333,7,2.0,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.516,0,False,left
8,8,0.5,0.1,1,0.2833,0.45,0.6833,8,2.0499,-0.74,-0.3667,0.1333,5,2D1U,2.0,True,0.449,0,False,right
9,9,0.5,0.1,1,0.3333,0.4,0.6167,9,1.9833,-0.74,-0.3667,0.1333,5,3D1U,2.0,True,0.392,0,False,right
10,10,0.5,0.1,1,0.3333,0.4167,0.7667,10,2.9167,0.8,0.4,0.9,5,lapse_rate,2.0,False,0.599,0,False,right
11,11,0.5,0.1,2,0.4,0.3333,0.4333,11,1.7166,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.816,0,False,left
12,12,0.5,0.1,2,0.4167,0.3667,0.85,12,2.2667,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.55,0,False,left
13,13,0.5,0.1,1,0.2,0.4333,0.8667,13,2.2167,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.291,0,False,right
