,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.50024,1.2,1,0.36684,0.52525,1.00882,0,2.42616,-0.95,-0.47523,0.02501,5,1D2U,1.0,False,2.047,0,False,left,0.45022,0.2216,0.5299,0.3082,1.1718,2.4051,1.2333,A,0.2795
1,0.50024,1.2,2,0.43354,0.35017,0.53359,1,1.84255,-0.95,-0.47523,0.02501,5,2D1U,1.0,True,1.141,0,False,left,-0.45022,1.2379,1.5463,0.3083,0.5129,0.8459,0.333,A,0.2795
2,0.50024,0.1,2,0.37518,0.52525,1.33397,2,2.75965,-0.95,-0.47523,0.02501,5,1D2U,1.0,True,0.259,0,False,left,0.45022,2.4294,2.7375,0.3081,0.0042,1.2375,1.2333,A,0.2835
3,0.50024,0.1,2,0.24178,0.24178,0.50858,3,1.60077,-0.79,-0.39185,0.10839,5,2D1U,1.0,True,0.983,0,False,left,-0.45022,1.024,1.4157,0.3917,0.3239,0.6576,0.3337,A,0.2835
4,0.50024,0.1,1,0.30848,0.39185,1.19224,4,2.41782,-0.95,-0.47523,0.02501,5,lapse_rate,2.0,True,0.184,0,False,right,0.45022,0.1633,0.4719,0.3086,1.2969,2.5387,1.2419,A,0.2835
5,0.50024,1.2,2,0.20843,0.39185,0.78371,5,2.06765,-0.63,-0.31682,0.18342,5,2D1U,1.0,True,0.458,0,False,left,-0.45022,1.2617,1.7289,0.4672,0.2868,0.6202,0.3334,A,0.2795
6,0.50024,1.2,1,0.36684,0.32516,1.03383,6,2.25108,-0.95,-0.47523,0.02501,5,1D2U,2.0,True,0.266,0,False,right,0.45022,0.2234,0.5317,0.3083,1.1986,2.4319,1.2333,A,0.2795
7,0.50024,1.2,2,0.31682,0.37518,0.76704,7,2.90974,0.9,0.45022,0.95046,5,lapse_rate,2.0,True,0.625,0,False,right,-0.45022,1.3606,2.5936,1.233,0.402,0.7353,0.3334,A,0.2795
8,0.50024,0.1,2,0.40019,0.40019,0.45022,8,1.77585,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.158,0,False,left,0.45022,1.5712,1.8795,0.3083,0.0297,1.263,1.2333,A,0.2835
9,0.50024,0.1,1,0.34183,0.44188,0.73369,9,2.08434,-0.87,-0.43354,0.0667,5,1D2U,2.0,True,0.575,1,True,right,-0.45022,0.1948,0.5457,0.3509,1.3617,1.6951,0.3334,A,0.2835
10,0.50024,0.1,1,0.4252,0.57528,1.33397,10,3.10148,-0.47,-0.23345,0.26679,5,2D1U,2.0,True,0.342,0,False,right,0.45022,0.2859,0.8365,0.5507,1.8026,3.0361,1.2335,A,0.2835
11,0.50024,1.2,1,0.41687,0.25012,0.76704,11,2.00097,-0.87,-0.43354,0.0667,5,1D2U,2.0,True,0.741,1,True,right,-0.45022,0.2717,0.6215,0.3498,1.4713,1.8047,0.3334,A,0.2795
12,0.50024,1.2,1,0.50858,0.4252,1.33397,12,3.10982,-0.31,-0.15841,0.34183,5,2D1U,2.0,True,0.774,0,False,right,0.45022,0.3654,0.9905,0.6251,1.9567,3.1899,1.2332,A,0.2795
13,0.50024,0.1,2,0.4252,0.30014,0.60863,13,1.85922,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.574,0,False,left,-0.45022,1.3104,1.6186,0.3083,0.5103,0.8437,0.3335,A,0.2835
14,0.50024,0.1,2,0.48357,0.52525,1.14222,14,3.60174,0.9,0.45022,0.95046,5,lapse_rate,2.0,True,0.191,0,False,right,0.45022,2.35,3.5829,1.2329,0.1167,1.35,1.2333,A,0.2835
15,0.50024,0.1,1,0.37518,0.27513,0.84207,15,2.10101,-0.79,-0.39185,0.10839,5,1D2U,2.0,True,0.725,1,False,right,-0.45022,0.2367,0.6279,0.3912,1.553,1.8858,0.3329,A,0.2835
16,0.50024,0.1,2,0.5586,0.35017,0.88376,16,2.71797,-0.15,-0.07504,0.4252,5,2D1U,1.0,True,0.533,0,False,left,0.45022,2.1655,2.8823,0.7168,0.1909,1.4237,1.2328,A,0.2835
17,0.50024,1.2,1,0.27513,0.39185,0.5586,17,1.83421,-0.79,-0.39185,0.10839,5,1D2U,2.0,True,0.583,1,False,right,-0.45022,0.1348,0.5266,0.3917,1.1684,1.5016,0.3332,A,0.2795
18,0.50024,1.2,1,0.40853,0.41687,0.6253,18,2.45952,0.01,0.00834,0.50858,5,2D1U,2.0,False,0.392,0,False,right,0.45022,0.2635,1.0553,0.7918,1.3139,2.5552,1.2414,A,0.2795
19,0.50024,1.2,2,0.30848,0.40019,0.47523,19,2.6346,0.9,0.45022,0.95046,5,lapse_rate,1.0,False,0.509,0,False,left,-0.45022,1.0583,2.2917,1.2333,0.3916,0.7252,0.3336,A,0.2795
20,0.50024,0.1,1,0.44188,0.38352,0.85041,20,2.31778,-0.71,-0.35851,0.14173,5,1D2U,2.0,True,0.292,1,False,right,0.45022,0.2984,0.7232,0.4248,1.2064,2.4402,1.2337,A,0.2835
21,0.50024,0.1,1,0.20843,0.37518,0.44188,21,2.10934,0.17,0.08337,0.58361,5,2D1U,2.0,False,0.667,0,False,right,-0.45022,0.0647,0.9309,0.8663,1.4563,1.7899,0.3336,A,0.2835
22,0.50024,1.2,2,0.38352,0.56694,0.85875,22,2.33446,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.217,0,False,left,0.45022,1.9659,2.2738,0.308,0.016,1.2491,1.2331,A,0.2795
23,0.50024,1.2,1,0.21677,0.37518,0.87542,23,2.10934,-0.71,-0.35851,0.14173,5,1D2U,2.0,True,0.625,1,False,right,-0.45022,0.0776,0.5026,0.425,1.4607,1.7946,0.3339,A,0.2795
24,0.50024,1.2,1,0.36684,0.36684,0.66699,24,2.5679,0.33,0.16675,0.66699,5,2D1U,1.0,True,0.516,0,False,left,0.45022,0.2242,1.1746,0.9504,1.4745,2.7159,1.2414,A,0.2795
25,0.50024,1.2,1,0.38352,0.44188,0.60029,25,2.87639,0.9,0.45022,0.95046,5,lapse_rate,1.0,True,0.725,0,False,left,-0.45022,0.2438,1.4771,1.2333,2.1602,2.494,0.3338,A,0.2795
26,0.50024,1.2,1,0.48357,0.4252,0.94212,26,2.37614,-0.95,-0.47523,0.02501,5,lapse_rate,2.0,True,0.113,0,False,right,0.45022,0.344,0.6523,0.3083,1.2272,2.4606,1.2333,A,0.2795
27,0.50024,0.1,2,0.21677,0.20843,0.44188,27,1.55074,-0.63,-0.31682,0.18342,5,1D2U,1.0,True,0.499,1,False,left,-0.45022,0.9324,1.3987,0.4663,0.2985,0.6318,0.3333,A,0.2835
28,0.50024,0.1,2,0.35851,0.66699,0.99214,28,3.18487,0.33,0.16675,0.66699,5,2D1U,2.0,True,0.466,0,False,right,0.45022,2.0743,3.0239,0.9497,999,1.2242,-997.7758,A,0.2835
29,0.50024,1.2,2,0.45022,0.43354,0.55026,29,1.95927,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.541,0,False,left,-0.45022,1.2708,1.5787,0.3079,0.5283,0.862,0.3337,A,0.2795
30,0.50024,1.2,2,0.55026,0.37518,0.90043,30,2.50953,-0.63,-0.31682,0.18342,5,1D2U,1.0,True,0.5,1,False,left,0.45022,2.1738,2.6482,0.4744,0.1814,1.4145,1.2331,A,0.2795
31,0.50024,1.2,2,0.34183,0.20843,0.60863,31,2.28443,0.25,0.12506,0.6253,5,2D1U,2.0,True,0.617,1,True,right,-0.45022,1.2234,2.1317,0.9083,0.424,0.7568,0.3327,A,0.2795
32,0.50024,0.1,2,0.6253,0.38352,1.29229,32,3.42665,0.25,0.12506,0.6253,5,2D1U,2.0,True,0.441,1,True,right,0.45022,2.6394,3.5558,0.9165,0.2559,1.4892,1.2333,A,0.2835
33,0.50024,0.1,1,0.23345,0.44188,0.67532,33,2.076,-0.55,-0.27513,0.22511,5,1D2U,2.0,True,0.55,1,False,right,-0.45022,0.0923,0.6001,0.5078,1.3584,1.6918,0.3334,A,0.2835
34,0.50024,0.1,1,0.60029,0.46689,1.04217,34,3.56005,0.9,0.45022,0.95046,5,lapse_rate,1.0,True,0.441,0,False,left,0.45022,0.46,1.6931,1.2331,2.3684,3.6016,1.2331,A,0.2835
35,0.50024,1.2,1,0.25846,0.28347,0.81706,35,2.08434,-0.55,-0.27513,0.22511,5,1D2U,1.0,False,0.508,1,False,left,-0.45022,0.116,0.624,0.5081,1.5242,1.8572,0.333,A,0.2795
36,0.50024,0.1,2,0.30848,0.63364,1.30063,36,2.768,-0.95,-0.47523,0.02501,5,lapse_rate,1.0,True,0.533,0,False,left,0.45022,2.3309,2.6395,0.3086,999,1.1727,-997.8273,A,0.2835
