,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.50017,1.2,1,0.21674,0.35012,0.75026,0,1.86731,-0.9,-0.45016,0.05002,5,3D1U,1.0,False,0.568,0,False,left,0.0,0.2209,0.2714,0.0505,1.0205,1.5205,0.5,V
1,1,0.50017,0.1,1,0.41681,0.3918,0.79194,1,2.15074,-0.9,-0.45016,0.05002,5,1D2U,2.0,True,0.339,0,False,right,0.0,0.4183,0.4682,0.0499,1.2601,1.7597,0.4996,A
2,2,0.50017,1.2,2,0.30844,0.36679,0.42515,2,1.65057,-0.9,-0.45016,0.05002,5,3D1U,1.0,True,1.157,0,False,left,0.0,1.2313,1.2818,0.0505,0.3068,0.8057,0.4989,V
3,3,0.50017,0.1,1,0.3918,0.27509,0.51685,3,1.73393,-0.9,-0.45016,0.05002,5,1D2U,2.0,True,0.365,0,False,right,0.0,0.3895,0.4393,0.0498,0.9548,1.4567,0.5018,A
4,4,0.50017,1.2,2,0.27509,0.27509,0.71691,4,1.81728,-0.9,-0.45016,0.05002,5,2D1U,1.0,True,0.775,0,False,left,0.0,1.4893,1.538,0.0487,0.2719,0.7718,0.4999,A
5,5,0.50017,0.1,2,0.34178,0.44182,0.56686,5,1.90065,-0.9,-0.45016,0.05002,5,1D3U,1.0,True,0.307,0,False,left,0.0,1.4062,1.4561,0.05,0.3387,0.8386,0.4999,V
6,6,0.50017,1.2,1,0.40014,0.20841,0.50851,6,2.56756,0.9,0.45016,0.95033,5,lapse_rate,2.0,False,0.388,0,False,right,0.0,0.4006,1.3505,0.9498,1.8585,2.3581,0.4997,A
7,7,0.50017,1.2,2,0.25842,0.37513,0.67523,7,1.94233,-0.74,-0.36679,0.13338,5,3D1U,1.0,True,0.433,0,False,left,0.0,1.4285,1.5623,0.1339,0.254,0.7542,0.5002,A
8,8,0.50017,0.1,2,0.33345,0.33345,0.71691,8,2.01736,-0.74,-0.36679,0.13338,5,2D1U,1.0,True,0.352,0,False,left,0.0,1.5464,1.6796,0.1333,0.3296,0.8298,0.5002,V
9,9,0.50017,1.2,1,0.40847,0.37513,0.8753,9,2.29245,-0.74,-0.36679,0.13338,5,1D2U,2.0,True,0.37,0,False,right,0.0,0.4101,0.5447,0.1346,1.4184,1.9203,0.5019,A
10,10,0.50017,0.1,2,0.35846,0.25842,0.77527,10,1.94234,-0.9,-0.45016,0.05002,5,1D3U,1.0,True,0.524,0,False,left,0.0,1.6324,1.6827,0.0503,0.3571,0.8581,0.5009,A
11,11,0.50017,0.1,2,0.24175,0.25009,0.56686,11,2.5092,0.9,0.45016,0.95033,5,lapse_rate,2.0,True,0.342,0,False,right,0.0,1.3049,2.2545,0.9496,0.2386,0.7373,0.4987,A
12,12,0.50017,1.2,1,0.35012,0.34178,0.40847,12,1.80895,-0.58,-0.29177,0.20841,5,3D1U,2.0,True,0.546,0,False,right,0.0,0.3452,0.5539,0.2087,0.9619,1.463,0.5011,A
13,13,0.50017,0.1,1,0.30844,0.42515,0.43348,13,1.87565,-0.58,-0.29177,0.20841,5,2D1U,2.0,True,0.349,0,False,right,0.0,0.3095,0.5181,0.2085,0.9515,1.4518,0.5003,V
14,14,0.50017,1.2,1,0.3918,0.26676,0.68357,14,1.97568,-0.74,-0.36679,0.13338,5,1D2U,2.0,True,0.255,0,False,right,0.0,0.389,0.5218,0.1328,1.2052,1.7054,0.5002,A
15,15,0.50017,0.1,1,0.37513,0.25009,0.41681,15,1.59222,-0.9,-0.45016,0.05002,5,1D3U,2.0,True,0.326,0,False,right,0.0,0.374,0.4241,0.0502,0.8414,1.3411,0.4997,A
16,16,0.50017,0.1,2,0.22508,0.33345,0.68357,16,1.79229,-0.9,-0.45016,0.05002,5,lapse_rate,1.0,True,0.369,0,False,left,0.0,1.4082,1.4577,0.0495,0.2239,0.7238,0.4999,V
17,17,0.50017,1.2,2,0.30844,0.33345,0.65856,17,2.00903,-0.58,-0.29177,0.20841,5,1D2U,1.0,True,0.568,0,False,left,0.0,1.4688,1.6768,0.208,0.3097,0.811,0.5013,A
18,18,0.50017,0.1,2,0.41681,0.38347,0.40847,18,2.00069,-0.42,-0.20841,0.29177,5,3D1U,1.0,True,0.322,0,False,left,0.0,1.3251,1.6165,0.2914,0.4159,0.9166,0.5007,V
19,19,0.50017,1.2,1,0.20841,0.3918,0.83362,19,2.22577,-0.42,-0.20841,0.29177,5,2D1U,2.0,True,0.269,0,False,right,0.0,0.208,0.4991,0.2911,1.332,1.832,0.5,A
20,20,0.50017,0.1,2,0.26676,0.43348,0.59187,20,1.92566,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,0.279,0,False,left,0.0,1.3541,1.4864,0.1322,0.2616,0.7621,0.5005,V
