,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.3667,0.3,0.8833,0,2.1,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.172,0,False,right
1,1,0.5,0.1,2,0.2,0.4333,0.4167,1,2.45,0.8,0.4,0.9,5,lapse_rate,1.0,False,0.161,0,False,left
2,2,0.5,0.1,2,0.2833,0.4167,0.4833,2,1.7333,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.615,0,False,left
3,3,0.5,0.1,2,0.2333,0.2667,0.9,3,2.0333,-0.74,-0.3667,0.1333,5,3D1U,1.0,True,0.384,0,False,left
4,4,0.5,0.1,2,0.3833,0.35,0.5167,4,1.85,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.392,0,False,left
5,5,0.5,0.1,2,0.3667,0.4,0.7,5,2.0167,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.309,0,False,left
6,6,0.5,0.1,2,0.4333,0.3667,0.7167,6,2.0667,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.416,0,False,left
7,7,0.5,0.1,1,0.25,0.3333,0.8833,7,2.0999,-0.74,-0.3667,0.1333,5,2D1U,2.0,True,0.258,0,False,right
8,8,0.5,0.1,1,0.3333,0.4167,0.45,8,1.75,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.301,0,False,right
9,9,0.5,0.1,1,0.3167,0.4167,0.8833,9,2.1667,-0.9,-0.45,0.05,5,1D3U,1.0,False,0.334,0,False,left
10,10,0.5,0.1,1,0.2333,0.35,0.5,10,2.4833,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.408,0,False,left
11,11,0.5,0.1,2,0.3167,0.35,0.4667,11,1.8501,-0.58,-0.2833,0.2167,5,3D1U,1.0,True,0.459,0,False,left
12,12,0.5,0.1,2,0.2667,0.3167,0.8833,12,2.25,-0.42,-0.2167,0.2833,5,3D1U,1.0,True,0.516,0,False,left
13,13,0.5,0.1,1,0.3833,0.2167,0.6167,13,1.85,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.2,0,False,right
14,14,0.5,0.1,1,0.3833,0.2167,0.5333,14,1.85,-0.58,-0.2833,0.2167,5,2D1U,2.0,True,0.283,0,False,right
15,15,0.5,0.1,1,0.3667,0.2167,0.6667,15,1.8001,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.267,0,False,right
16,16,0.5,0.1,1,0.3833,0.2333,0.8667,16,2.0833,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.232,0,False,right
17,17,0.5,0.1,1,0.3333,0.4167,0.45,17,2.0667,-0.26,-0.1333,0.3667,5,3D1U,2.0,True,0.259,0,False,right
18,18,0.5,0.1,1,0.3833,0.4333,0.4833,18,1.8499,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.242,0,False,right
19,19,0.5,0.1,2,0.2833,0.4333,0.8667,19,2.9833,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.274,0,False,right
20,20,0.5,0.1,2,0.3333,0.4333,0.7333,20,2.2832,-0.42,-0.2167,0.2833,5,2D1U,1.0,True,0.374,0,False,left
21,21,0.5,0.1,1,0.35,0.3833,0.65,21,2.0166,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.241,0,False,right
22,22,0.5,0.1,1,0.4167,0.2833,0.6,22,1.85,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.284,0,False,right
23,23,0.5,0.1,2,0.2667,0.3667,0.65,23,2.1501,-0.26,-0.1333,0.3667,5,2D1U,2.0,False,0.382,0,False,right
24,24,0.5,0.1,2,0.3333,0.2667,0.4833,24,2.0333,-0.1,-0.05,0.45,5,3D1U,2.0,False,0.333,0,False,right
25,25,0.5,0.1,2,0.3,0.3,0.7167,25,2.7167,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.334,0,False,right
26,26,0.5,0.1,1,0.2333,0.45,0.8667,26,2.2667,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.307,0,False,right
27,27,0.5,0.1,2,0.2667,0.35,0.5667,27,1.7834,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.4,0,False,left
28,28,0.5,0.1,1,0.3667,0.3,0.45,28,1.8334,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.334,0,False,right
29,29,0.5,0.1,1,0.3667,0.3667,0.5167,29,2.2001,-0.1,-0.05,0.45,5,3D1U,2.0,True,0.391,0,False,right
30,30,0.5,0.1,1,0.3667,0.4167,0.6333,30,2.2834,-0.26,-0.1333,0.3667,5,2D1U,2.0,True,0.383,0,False,right
31,31,0.5,0.1,1,0.4,0.25,0.6667,31,1.9,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.278,1,True,right
32,32,0.5,0.1,2,0.3333,0.2333,0.4333,32,1.9499,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.35,0,False,right
33,33,0.5,0.1,2,0.2333,0.45,0.4667,33,1.9333,-0.42,-0.2167,0.2833,5,1D2U,1.0,True,0.31,0,False,left
34,34,0.5,0.1,2,0.2333,0.3333,0.85,34,2.0166,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.407,0,False,left
35,35,0.5,0.1,2,0.45,0.4333,0.7167,35,2.1833,-0.82,-0.4167,0.0833,5,1D3U,1.0,True,0.326,1,True,left
36,36,0.5,0.1,2,0.4333,0.2833,0.7833,36,2.5332,0.06,0.0333,0.5333,5,3D1U,2.0,True,0.308,0,False,right
37,37,0.5,0.1,1,0.3833,0.4333,0.7667,37,2.3666,-0.42,-0.2167,0.2833,5,1D2U,2.0,True,0.258,0,False,right
38,38,0.5,0.1,1,0.2833,0.2667,0.5333,38,1.6666,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.301,1,True,right
39,39,0.5,0.1,2,0.2833,0.3167,0.7167,39,2.2667,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.302,0,False,right
40,40,0.5,0.1,2,0.45,0.4167,0.5667,40,2.4667,0.06,0.0333,0.5333,5,3D1U,2.0,True,0.232,0,False,right
41,41,0.5,0.1,2,0.3,0.3667,0.4,41,1.6667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.391,0,False,left
42,42,0.5,0.1,2,0.35,0.3,0.8,42,2.4833,0.06,0.0333,0.5333,5,3D1U,2.0,True,0.282,0,False,right
43,43,0.5,0.1,2,0.2167,0.3,0.5833,43,1.7333,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.375,1,False,left
44,44,0.5,0.1,1,0.2667,0.25,0.6167,44,2.5334,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.292,0,False,left
45,45,0.5,0.1,2,0.25,0.3833,0.4667,45,2.0167,-0.18,-0.0833,0.4167,5,2D1U,1.0,True,0.399,1,True,left
46,46,0.5,0.1,1,0.25,0.45,0.5,46,2.0667,-0.26,-0.1333,0.3667,5,1D2U,2.0,True,0.292,0,False,right
