,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.49853,1.2,2,0.24096,0.44868,0.72287,0,1.96089,-0.9,-0.44868,0.04985,5,2D1U,1.0,True,3.005,0,False,left,0.0,1.465,1.5153,0.0503,0.2396,0.7398,0.5002,A
1,1,0.49853,0.1,1,0.34066,0.32405,0.87243,1,2.08552,-0.9,-0.44868,0.04985,5,1D2U,2.0,True,0.592,0,False,right,0.0,0.3381,0.3879,0.0498,1.2627,1.7632,0.5005,A
2,2,0.49853,1.2,2,0.38221,0.27419,0.6564,2,1.94427,-0.74,-0.3739,0.13294,5,2D1U,1.0,True,1.154,0,False,left,0.0,1.5453,1.6781,0.1328,0.3857,0.8865,0.5008,A
3,3,0.49853,0.1,1,0.27419,0.21603,0.4653,3,1.5039,-0.9,-0.44868,0.04985,5,3D1U,2.0,True,0.605,0,False,right,0.0,0.2742,0.3243,0.0501,0.791,1.2907,0.4997,V
4,4,0.49853,1.2,2,0.36559,0.32405,0.49853,4,1.73655,-0.9,-0.44868,0.04985,5,lapse_rate,1.0,True,0.578,0,False,left,0.0,1.3659,1.4163,0.0504,0.3659,0.8658,0.4999,A
5,5,0.49853,1.2,2,0.30743,0.27419,0.83919,5,1.96919,-0.9,-0.44868,0.04985,5,1D2U,1.0,True,0.458,0,False,left,0.0,1.6526,1.7032,0.0505,0.3115,0.8112,0.4996,V
6,6,0.49853,0.1,2,0.44037,0.44037,0.78103,6,2.21015,-0.9,-0.44868,0.04985,5,1D3U,1.0,True,0.51,0,False,left,0.0,1.7272,1.7772,0.05,0.4437,0.9439,0.5002,V
7,7,0.49853,1.2,2,0.3739,0.2825,0.54838,7,1.91103,-0.58,-0.29081,0.20772,5,2D1U,1.0,True,0.639,0,False,left,0.0,1.4254,1.6337,0.2083,0.3756,0.8755,0.4999,A
8,8,0.49853,0.1,1,0.39883,0.39052,0.77272,8,2.19354,-0.74,-0.3739,0.13294,5,3D1U,2.0,True,0.486,0,False,right,0.0,0.4022,0.536,0.1338,1.311,1.8114,0.5004,V
9,9,0.49853,1.2,1,0.25757,0.30743,0.68133,9,1.8778,-0.74,-0.3739,0.13294,5,1D2U,1.0,False,1.327,0,False,left,0.0,0.26,0.394,0.134,1.0767,1.5767,0.5,V
