,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.2167,0.2667,0.4,0,1.4334,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.865,0,False,right
1,1,0.5,0.1,1,0.3,0.2833,0.45,1,1.5833,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.55,0,False,right
2,2,0.5,0.1,2,0.2333,0.4333,0.45,2,1.6666,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.492,0,False,left
3,3,0.5,0.1,2,0.2667,0.4167,0.7333,3,2.8167,0.8,0.4,0.9,5,lapse_rate,2.0,True,1.1,0,False,right
4,4,0.5,0.1,2,0.2167,0.3333,0.65,4,1.75,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.55,0,False,left
5,5,0.5,0.1,1,0.4333,0.2667,0.4,5,1.65,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.592,0,False,right
6,6,0.5,0.1,1,0.3,0.35,0.4667,6,1.6667,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.65,0,False,right
7,7,0.5,0.1,1,0.35,0.2167,0.6333,7,1.75,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.525,0,False,right
8,8,0.5,0.1,1,0.3333,0.4,0.6833,8,1.9666,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.6,0,False,right
9,9,0.5,0.1,1,0.2,0.2333,0.8667,9,2.7,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.534,0,False,left
10,10,0.5,0.1,2,0.3,0.2833,0.65,10,1.7833,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.625,0,False,left
11,11,0.5,0.1,2,0.25,0.3,0.4333,11,1.5333,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.642,0,False,left
12,12,0.5,0.1,2,0.3167,0.2333,0.5167,12,1.6167,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.658,0,False,left
13,13,0.5,0.1,1,0.3833,0.2667,0.4,13,1.6,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.609,0,False,right
14,14,0.5,0.1,1,0.4333,0.3833,0.5833,14,1.9499,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.583,0,False,right
15,15,0.5,0.1,2,0.2333,0.2667,0.4833,15,1.5333,-0.9,-0.45,0.05,5,3D1U,1.0,True,1.041,0,False,left
16,16,0.5,0.1,2,0.2667,0.35,0.55,16,2.5667,0.8,0.4,0.9,5,lapse_rate,2.0,True,1.833,0,False,right
17,17,0.5,0.1,2,0.25,0.2,0.5833,17,1.5833,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.617,0,False,left
18,18,0.5,0.1,1,0.3,0.3833,0.5833,18,1.8166,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.558,0,False,right
19,19,0.5,0.1,2,0.2,0.25,0.7,19,1.7,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.6,0,False,left
20,20,0.5,0.1,2,0.35,0.25,0.7667,20,1.9667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.634,0,False,left
21,21,0.5,0.1,1,0.3,0.3833,0.8667,21,2.1,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.576,0,False,right
22,22,0.5,0.1,2,0.4,0.4167,0.6,22,2.0167,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,1.232,0,False,left
23,23,0.5,0.1,1,0.3167,0.4167,0.8333,23,2.1167,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.708,0,False,right
24,24,0.5,0.1,1,0.4167,0.2333,0.8333,24,2.0333,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.775,0,False,right
25,25,0.5,0.1,1,0.25,0.2667,0.5333,25,1.6,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.633,0,False,right
26,26,0.5,0.1,1,0.25,0.4,0.4333,26,1.6333,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.683,0,False,right
27,27,0.5,0.1,2,0.2667,0.2167,0.45,27,1.4834,-0.9,-0.45,0.05,5,2D1U,2.0,False,0.908,0,False,right
28,28,0.5,0.1,2,0.2667,0.3667,0.85,28,2.0334,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.624,0,False,left
29,29,0.5,0.1,1,0.2167,0.25,0.75,29,1.8167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.6,0,False,right
30,30,0.5,0.1,2,0.3167,0.2833,0.6333,30,1.7833,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.608,0,False,left
31,31,0.5,0.1,1,0.2,0.3167,0.4667,31,1.5334,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.567,0,False,right
32,32,0.5,0.1,1,0.2833,0.4333,0.7167,32,2.8333,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.65,0,False,left
33,33,0.5,0.1,1,0.35,0.25,0.4667,33,1.6167,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.675,0,False,right
34,34,0.5,0.1,1,0.2667,0.35,0.5,34,1.6667,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.584,0,False,right
35,35,0.5,0.1,2,0.35,0.3,0.6167,35,1.85,-0.82,-0.4167,0.0833,5,2D1U,1.0,True,1.216,1,True,left
36,36,0.5,0.1,1,0.2833,0.35,0.7,36,1.8833,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.583,0,False,right
37,37,0.5,0.1,2,0.3667,0.3833,0.6333,37,1.9666,-0.82,-0.4167,0.0833,5,2D1U,1.0,True,0.576,1,True,left
38,38,0.5,0.1,2,0.25,0.4333,0.7667,38,2.0,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.717,0,False,left
39,39,0.5,0.1,2,0.35,0.4,0.8333,39,2.1833,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.583,0,False,left
