,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.49813,1.2,1,0.44001,0.42341,0.73058,0,2.14194,-0.9,-0.44831,0.04981,5,1D2U,2.0,True,0.727,0,False,right,0.0,0.4453,0.4952,0.0499,1.2284,1.7286,0.5002,A
1,1,0.49813,0.1,1,0.28227,0.3819,0.76379,1,1.9759,-0.9,-0.44831,0.04981,5,1D3U,1.0,False,0.484,0,False,left,0.0,0.2855,0.3356,0.0501,1.1023,1.6024,0.5001,A
2,2,0.49813,0.1,1,0.25737,0.30718,0.48152,2,2.49064,0.9,0.44831,0.94644,5,lapse_rate,1.0,True,1.874,0,False,left,0.0,0.2567,1.2065,0.9498,1.6901,2.1902,0.5001,A
3,3,0.49813,1.2,1,0.26567,0.24906,0.70568,3,1.76835,-0.9,-0.44831,0.04981,5,2D1U,2.0,True,0.871,0,False,right,0.0,0.268,0.3182,0.0501,1.0261,1.5268,0.5006,V
4,4,0.49813,0.1,2,0.43171,0.36529,0.4068,4,1.75174,-0.9,-0.44831,0.04981,5,3D1U,1.0,True,1.888,0,False,left,0.0,1.3434,1.394,0.0506,0.4353,0.9356,0.5004,A
5,5,0.49813,1.2,2,0.29057,0.21585,0.53133,5,1.58569,-0.9,-0.44831,0.04981,5,1D3U,2.0,False,0.873,0,False,right,0.0,1.3241,1.3741,0.0501,0.2908,0.791,0.5002,V
6,6,0.49813,0.1,2,0.22416,0.22416,0.68077,6,1.67703,-0.9,-0.44831,0.04981,5,1D2U,1.0,True,0.622,0,False,left,0.0,1.4081,1.4583,0.0501,0.2245,0.7247,0.5002,A
7,7,0.49813,1.2,2,0.44001,0.31548,0.54794,7,1.93439,-0.74,-0.37359,0.13283,5,3D1U,2.0,False,0.604,0,False,right,0.0,1.4906,1.6234,0.1328,0.4401,0.9403,0.5002,A
8,8,0.49813,0.1,2,0.26567,0.35699,0.53964,8,1.79326,-0.74,-0.37359,0.13283,5,2D1U,1.0,True,0.687,0,False,left,0.0,1.306,1.4394,0.1333,0.2645,0.7645,0.5,A
9,9,0.49813,1.2,1,0.4068,0.32378,0.89663,9,2.17515,-0.9,-0.44831,0.04981,5,lapse_rate,2.0,True,0.996,0,False,right,0.0,0.4118,0.4619,0.0501,1.3616,1.8619,0.5002,A
10,10,0.49813,1.2,1,0.3985,0.23246,0.68907,10,1.95099,-0.74,-0.37359,0.13283,5,1D2U,2.0,True,2.768,0,False,right,0.0,0.3955,0.5289,0.1335,1.2201,1.7207,0.5006,V
11,11,0.49813,0.1,2,0.24906,0.3902,0.81361,11,2.00081,-0.9,-0.44831,0.04981,5,1D3U,1.0,True,0.597,0,False,left,0.0,1.5639,1.6137,0.0498,0.2468,0.7468,0.5001,V
12,12,0.49813,1.2,1,0.32378,0.33208,0.81361,12,2.01741,-0.9,-0.44831,0.04981,5,1D3U,2.0,True,1.793,0,False,right,0.0,0.3285,0.3785,0.05,1.1951,1.695,0.4998,V
