,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.2667,0.2,0.8833,0,1.9,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.365,0,False,right
1,1,0.5,0.1,2,0.2333,0.3833,0.5833,1,1.7499,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.491,0,False,left
2,2,0.5,0.1,1,0.25,0.4167,0.75,2,1.9667,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.275,0,False,right
3,3,0.5,0.1,2,0.4333,0.4,0.5167,3,1.9,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.417,0,False,left
4,4,0.5,0.1,1,0.3,0.2333,0.5,4,2.4333,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.734,0,False,left
5,5,0.5,0.1,2,0.3167,0.4333,0.6167,5,1.9167,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.366,0,False,left
6,6,0.5,0.1,1,0.2167,0.2833,0.8667,6,1.9167,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.209,0,False,right
7,7,0.5,0.1,2,0.2667,0.25,0.5333,7,1.6,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.616,0,False,left
8,8,0.5,0.1,1,0.4167,0.3833,0.75,8,2.1833,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.375,0,False,right
9,9,0.5,0.1,1,0.2333,0.2833,0.5833,9,1.6999,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.441,0,False,right
10,10,0.5,0.1,2,0.3833,0.3833,0.6167,10,2.0166,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.459,0,False,left
11,11,0.5,0.1,2,0.3333,0.45,0.85,11,2.2666,-0.74,-0.3667,0.1333,5,3D1U,1.0,True,0.432,0,False,left
12,12,0.5,0.1,2,0.2167,0.2333,0.4333,12,1.5166,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.567,0,False,left
13,13,0.5,0.1,1,0.2667,0.4167,0.6667,13,2.0668,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.301,0,False,right
14,14,0.5,0.1,1,0.3833,0.3833,0.5667,14,2.05,-0.58,-0.2833,0.2167,5,2D1U,2.0,True,0.392,0,False,right
15,15,0.5,0.1,1,0.45,0.3,0.8667,15,2.25,-0.74,-0.3667,0.1333,5,1D3U,1.0,False,0.517,0,False,left
16,16,0.5,0.1,2,0.45,0.4,0.7,16,2.15,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.55,0,False,left
17,17,0.5,0.1,2,0.35,0.2667,0.5,17,1.7,-0.82,-0.4167,0.0833,5,1D3U,1.0,True,0.617,1,True,left
18,18,0.5,0.1,2,0.3167,0.3,0.5833,18,1.8,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.383,0,False,left
19,19,0.5,0.1,1,0.3167,0.4333,0.4333,19,1.9,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.359,0,False,right
20,20,0.5,0.1,2,0.3667,0.2333,0.5833,20,1.9666,-0.42,-0.2167,0.2833,5,3D1U,1.0,True,1.534,0,False,left
21,21,0.5,0.1,1,0.2667,0.3667,0.9,21,2.3167,-0.42,-0.2167,0.2833,5,2D1U,2.0,True,0.325,0,False,right
22,22,0.5,0.1,2,0.4,0.2,0.8,22,2.0,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.525,0,False,left
23,23,0.5,0.1,1,0.25,0.4167,0.5333,23,2.0667,-0.26,-0.1333,0.3667,5,3D1U,2.0,True,1.099,0,False,right
24,24,0.5,0.1,2,0.3667,0.3667,0.45,24,2.0501,-0.26,-0.1333,0.3667,5,2D1U,1.0,True,0.4,0,False,left
25,25,0.5,0.1,2,0.45,0.25,0.5,25,1.9167,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.416,0,False,left
26,26,0.5,0.1,1,0.3167,0.2167,0.8833,26,2.0,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.325,1,True,right
27,27,0.5,0.1,2,0.25,0.4333,0.7833,27,2.2499,-0.42,-0.2167,0.2833,5,1D2U,1.0,True,0.599,0,False,left
28,28,0.5,0.1,1,0.3333,0.3833,0.5333,28,1.8332,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.233,1,True,right
29,29,0.5,0.1,1,0.2167,0.2167,0.7667,29,2.1501,-0.1,-0.05,0.45,5,3D1U,2.0,True,0.358,0,False,right
30,30,0.5,0.1,2,0.3833,0.35,0.5167,30,2.2,-0.1,-0.05,0.45,5,2D1U,1.0,True,0.674,0,False,left
31,31,0.5,0.1,2,0.25,0.3667,0.5667,31,2.5834,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.317,0,False,right
32,32,0.5,0.1,2,0.3333,0.3333,0.4667,32,2.5333,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.484,0,False,right
33,33,0.5,0.1,1,0.3,0.3333,0.9,33,2.15,-0.78,-0.3833,0.1167,5,1D3U,2.0,True,0.158,2,True,right
34,34,0.5,0.1,2,0.4,0.35,0.5667,34,2.35,0.06,0.0333,0.5333,5,3D1U,1.0,False,0.434,0,False,left
35,35,0.5,0.1,2,0.4,0.25,0.4333,35,2.1166,0.06,0.0333,0.5333,5,2D1U,1.0,False,0.491,0,False,left
36,36,0.5,0.1,1,0.25,0.2833,0.85,36,2.1666,-0.42,-0.2167,0.2833,5,1D2U,2.0,True,0.308,0,False,right
37,37,0.5,0.1,1,0.4,0.35,0.55,37,1.9167,-0.78,-0.3833,0.1167,5,1D3U,2.0,True,0.351,2,True,right
38,38,0.5,0.1,2,0.3667,0.45,0.75,38,2.6834,0.22,0.1167,0.6167,5,3D1U,2.0,True,0.458,0,False,right
39,39,0.5,0.1,1,0.35,0.4,0.5,39,2.1167,-0.26,-0.1333,0.3667,5,1D2U,1.0,False,1.376,0,False,left
40,40,0.5,0.1,1,0.4,0.2667,0.8833,40,2.6667,0.22,0.1167,0.6167,5,2D1U,2.0,False,0.449,0,False,right
41,41,0.5,0.1,1,0.2333,0.3667,0.8167,41,2.0167,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.375,0,False,right
42,42,0.5,0.1,1,0.25,0.2333,0.4833,42,2.0833,0.22,0.1167,0.6167,5,3D1U,2.0,False,0.542,0,False,right
43,43,0.5,0.1,2,0.3667,0.4,0.4,43,2.0,-0.34,-0.1667,0.3333,5,1D2U,1.0,True,0.425,1,True,left
44,44,0.5,0.1,1,0.3333,0.35,0.7,44,2.0,-0.78,-0.3833,0.1167,5,1D3U,2.0,True,0.35,2,True,right
45,45,0.5,0.1,2,0.4333,0.3667,0.85,45,2.8333,0.38,0.1833,0.6833,5,2D1U,2.0,True,0.483,0,False,right
