,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,2,0.3833,0.2667,0.5833,0,1.7833,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.789,0,False,left
1,1,0.5,0.1,1,0.25,0.3667,0.75,1,1.9167,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.433,0,False,right
2,2,0.5,0.1,2,0.3833,0.2833,0.8333,2,2.0499,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.7,0,False,left
3,3,0.5,0.1,1,0.3333,0.25,0.5,3,1.6333,-0.9,-0.45,0.05,5,1D2U,1.0,False,0.725,0,False,left
4,4,0.5,0.1,2,0.35,0.4167,0.7333,4,2.05,-0.9,-0.45,0.05,5,1D3U,2.0,False,0.556,0,False,right
5,5,0.5,0.1,2,0.2333,0.2333,0.5667,5,1.6666,-0.74,-0.3667,0.1333,5,3D1U,1.0,True,0.817,0,False,left
6,6,0.5,0.1,1,0.2667,0.25,0.6667,6,2.5834,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.492,0,False,left
7,7,0.5,0.1,1,0.45,0.4333,0.5167,7,2.0333,-0.74,-0.3667,0.1333,5,2D1U,2.0,True,0.5,0,False,right
8,8,0.5,0.1,2,0.2833,0.35,0.5,8,1.7333,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.649,0,False,left
9,9,0.5,0.1,2,0.25,0.2333,0.7833,9,1.9833,-0.58,-0.2833,0.2167,5,3D1U,1.0,True,0.634,0,False,left
10,10,0.5,0.1,1,0.3,0.25,0.5167,10,1.6167,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.458,0,False,right
11,11,0.5,0.1,2,0.2167,0.2833,0.75,11,1.8,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.575,0,False,left
12,12,0.5,0.1,2,0.4167,0.35,0.8333,12,2.15,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.641,0,False,left
13,13,0.5,0.1,2,0.3667,0.2667,0.45,13,1.8667,-0.42,-0.2167,0.2833,5,3D1U,1.0,True,0.725,0,False,left
14,14,0.5,0.1,2,0.4167,0.2833,0.6167,14,1.8667,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.575,0,False,left
15,15,0.5,0.1,2,0.2167,0.2,0.7167,15,1.8501,-0.58,-0.2833,0.2167,5,2D1U,1.0,True,0.949,0,False,left
16,16,0.5,0.1,2,0.3,0.3667,0.5167,16,2.5834,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.616,0,False,right
17,17,0.5,0.1,1,0.35,0.45,0.7667,17,2.4334,-0.26,-0.1333,0.3667,5,3D1U,2.0,True,0.983,0,False,right
18,18,0.5,0.1,1,0.3167,0.3667,0.7,18,1.9334,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.791,0,False,right
19,19,0.5,0.1,1,0.3,0.2333,0.8,19,2.1166,-0.42,-0.2167,0.2833,5,2D1U,2.0,True,0.425,0,False,right
20,20,0.5,0.1,1,0.4333,0.3667,0.5333,20,2.7333,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.225,0,False,left
21,21,0.5,0.1,1,0.2667,0.35,0.7833,21,1.9833,-0.82,-0.4167,0.0833,5,1D2U,1.0,False,0.933,1,True,left
22,22,0.5,0.1,2,0.3333,0.4167,0.4833,22,1.8,-0.86,-0.4333,0.0667,5,1D2U,1.0,True,0.7,2,True,left
23,23,0.5,0.1,2,0.3333,0.3167,0.8833,23,2.4,-0.26,-0.1333,0.3667,5,2D1U,2.0,False,0.575,0,False,right
24,24,0.5,0.1,1,0.3833,0.4,0.65,24,2.0333,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.626,0,False,right
25,25,0.5,0.1,2,0.4333,0.25,0.8667,25,2.5,-0.1,-0.05,0.45,5,3D1U,2.0,False,0.716,0,False,right
26,26,0.5,0.1,1,0.4167,0.2667,0.6833,26,1.95,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,0.818,1,True,right
27,27,0.5,0.1,1,0.2333,0.35,0.45,27,2.4333,0.8,0.4,0.9,5,lapse_rate,1.0,True,1.558,0,False,left
28,28,0.5,0.1,1,0.2667,0.4167,0.4,28,1.9501,-0.26,-0.1333,0.3667,5,2D1U,1.0,False,1.333,0,False,left
29,29,0.5,0.1,1,0.2,0.3333,0.4667,29,1.5833,-0.82,-0.4167,0.0833,5,1D3U,2.0,True,1.325,1,True,right
30,30,0.5,0.1,2,0.4,0.3333,0.65,30,1.95,-0.86,-0.4333,0.0667,5,1D2U,1.0,True,0.608,2,True,left
31,31,0.5,0.1,1,0.2167,0.2167,0.5333,31,1.9167,-0.1,-0.05,0.45,5,3D1U,2.0,True,0.607,0,False,right
32,32,0.5,0.1,2,0.3167,0.4333,0.8,32,2.95,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.233,0,False,right
33,33,0.5,0.1,1,0.3667,0.4333,0.5833,33,2.4166,0.06,0.0333,0.5333,5,3D1U,1.0,True,0.899,0,False,left
34,34,0.5,0.1,1,0.35,0.4,0.9,34,2.2333,-0.82,-0.4167,0.0833,5,1D2U,2.0,True,0.384,3,True,right
35,35,0.5,0.1,2,0.3833,0.2167,0.7833,35,2.2166,-0.34,-0.1667,0.3333,5,2D1U,1.0,True,0.55,1,True,left
36,36,0.5,0.1,2,0.3,0.4333,0.8333,36,2.1499,-0.82,-0.4167,0.0833,5,1D3U,1.0,True,0.866,1,True,left
37,37,0.5,0.1,1,0.2167,0.2667,0.7167,37,2.0501,-0.3,-0.15,0.35,5,2D1U,1.0,False,0.899,2,True,left
38,38,0.5,0.1,2,0.4167,0.35,0.6333,38,1.9833,-0.82,-0.4167,0.0833,5,1D2U,1.0,True,0.608,3,True,left
39,39,0.5,0.1,1,0.3,0.3333,0.7167,39,1.9833,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.392,1,False,right
40,40,0.5,0.1,1,0.3167,0.4333,0.8833,40,3.0333,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.55,0,False,left
41,41,0.5,0.1,2,0.45,0.25,0.5667,41,2.3,0.06,0.0333,0.5333,5,3D1U,1.0,False,0.617,0,False,left
42,42,0.5,0.1,1,0.4,0.2333,0.8,42,2.2833,-0.3,-0.15,0.35,5,2D1U,1.0,False,0.741,2,True,left
43,43,0.5,0.1,2,0.2833,0.4167,0.4833,43,2.5833,0.8,0.4,0.9,5,lapse_rate,1.0,False,1.318,0,False,left
44,44,0.5,0.1,2,0.4167,0.2167,0.5667,44,2.3168,0.22,0.1167,0.6167,5,3D1U,1.0,False,0.959,0,False,left
45,45,0.5,0.1,2,0.4333,0.4,0.4667,45,1.9333,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.625,1,False,left
46,46,0.5,0.1,1,0.4167,0.35,0.5333,46,1.9167,-0.78,-0.3833,0.1167,5,1D2U,1.0,False,0.785,3,False,left
47,47,0.5,0.1,2,0.2667,0.3167,0.7833,47,1.95,-0.82,-0.4167,0.0833,5,1D2U,1.0,True,0.674,4,True,left
48,48,0.5,0.1,1,0.4167,0.3,0.4167,48,2.3167,0.38,0.1833,0.6833,5,3D1U,1.0,True,1.25,0,False,left
49,49,0.5,0.1,1,0.35,0.3833,0.5833,49,1.9166,-0.8,-0.4,0.1,5,lapse_rate,1.0,False,3.016,0,False,left
50,50,0.5,0.1,1,0.2833,0.25,0.5667,50,1.7333,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,2.643,1,False,right
51,51,0.5,0.1,1,0.2667,0.3,0.45,51,1.85,-0.34,-0.1667,0.3333,5,2D1U,2.0,True,1.383,3,True,right
52,52,0.5,0.1,2,0.3833,0.2833,0.4667,52,1.7166,-0.82,-0.4167,0.0833,5,1D2U,1.0,True,0.666,4,True,left
53,53,0.5,0.1,2,0.2333,0.25,0.6,53,2.2666,0.38,0.1833,0.6833,5,3D1U,1.0,False,1.441,0,False,left
54,54,0.5,0.1,2,0.45,0.3833,0.6833,54,2.3666,-0.3,-0.15,0.35,5,2D1U,1.0,True,0.416,4,True,left
55,55,0.5,0.1,2,0.3333,0.2333,0.4333,55,1.5999,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.491,0,False,left
56,56,0.5,0.1,1,0.3,0.25,0.8,56,2.0167,-0.66,-0.3333,0.1667,5,1D3U,2.0,True,0.391,1,False,right
57,57,0.5,0.1,2,0.2667,0.3667,0.5833,57,2.4834,0.54,0.2667,0.7667,5,3D1U,1.0,False,1.042,0,False,left
58,58,0.5,0.1,2,0.2167,0.3833,0.7667,58,2.0334,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.617,1,False,left
59,59,0.5,0.1,2,0.2333,0.4167,0.85,59,2.1,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.891,0,False,left
60,60,0.5,0.1,2,0.25,0.3333,0.7667,60,1.9667,-0.78,-0.3833,0.1167,5,1D2U,1.0,True,0.667,5,True,left
61,61,0.5,0.1,2,0.2667,0.2167,0.7167,61,2.0668,-0.26,-0.1333,0.3667,5,2D1U,1.0,True,0.642,4,False,left
62,62,0.5,0.1,2,0.2667,0.2167,0.7167,62,1.8168,-0.78,-0.3833,0.1167,5,1D2U,1.0,True,0.675,5,True,left
63,63,0.5,0.1,2,0.3833,0.35,0.4833,63,2.5666,0.7,0.35,0.85,5,3D1U,2.0,True,0.417,0,False,right
64,64,0.5,0.1,1,0.3833,0.4,0.8,64,2.25,-0.66,-0.3333,0.1667,5,1D3U,2.0,True,0.841,1,False,right
65,65,0.5,0.1,2,0.25,0.3667,0.6833,65,1.9,-0.8,-0.4,0.1,5,lapse_rate,2.0,False,1.641,0,False,right
66,66,0.5,0.1,2,0.2,0.3167,0.65,66,2.05,-0.22,-0.1167,0.3833,5,2D1U,1.0,True,1.05,4,False,left
67,67,0.5,0.1,2,0.2833,0.3833,0.4667,67,2.05,-0.18,-0.0833,0.4167,5,2D1U,2.0,False,0.592,4,False,right
68,68,0.5,0.1,2,0.2167,0.3167,0.4333,68,1.5667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,1.059,0,False,left
69,69,0.5,0.1,1,0.3667,0.4167,0.8333,69,2.9667,0.7,0.35,0.85,5,3D1U,1.0,True,0.534,0,False,left
70,70,0.5,0.1,1,0.3,0.3667,0.5,70,1.8,-0.74,-0.3667,0.1333,5,1D2U,1.0,False,0.808,5,False,left
71,71,0.5,0.1,1,0.2167,0.4167,0.4667,71,1.8168,-0.58,-0.2833,0.2167,5,1D3U,1.0,False,0.4,1,False,left
72,72,0.5,0.1,1,0.3,0.2333,0.65,72,1.8,-0.78,-0.3833,0.1167,5,1D2U,1.0,False,0.483,6,True,left
73,73,0.5,0.1,1,0.3667,0.35,0.6667,73,2.3001,-0.18,-0.0833,0.4167,5,2D1U,2.0,True,1.333,4,False,right
74,74,0.5,0.1,2,0.3833,0.3,0.5833,74,2.1999,-0.14,-0.0667,0.4333,5,2D1U,1.0,True,0.575,4,False,left
75,75,0.5,0.1,1,0.2833,0.45,0.8833,75,2.9666,0.7,0.35,0.85,5,3D1U,1.0,True,0.658,0,False,left
76,76,0.5,0.1,2,0.4,0.2667,0.7167,76,2.0667,-0.62,-0.3167,0.1833,5,1D3U,1.0,True,1.267,2,True,left
77,77,0.5,0.1,2,0.45,0.4333,0.4833,77,2.6833,0.62,0.3167,0.8167,5,3D1U,1.0,False,0.393,1,True,left
78,78,0.5,0.1,1,0.35,0.2833,0.5,78,1.8166,-0.62,-0.3167,0.1833,5,1D3U,1.0,False,0.8,2,True,left
79,79,0.5,0.1,1,0.2667,0.3167,0.6667,79,2.2001,-0.1,-0.05,0.45,5,2D1U,2.0,True,0.476,4,False,right
80,80,0.5,0.1,1,0.2667,0.35,0.6,80,2.1834,-0.06,-0.0333,0.4667,5,2D1U,2.0,True,0.95,4,False,right
81,81,0.5,0.1,2,0.25,0.4333,0.5167,81,1.7833,-0.82,-0.4167,0.0833,5,1D2U,1.0,True,0.483,6,False,left
82,82,0.5,0.1,1,0.4167,0.2667,0.8833,82,2.55,-0.02,-0.0167,0.4833,5,2D1U,2.0,True,1.008,4,False,right
83,83,0.5,0.1,2,0.3333,0.4167,0.6667,83,2.0834,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.566,2,False,left
84,84,0.5,0.1,1,0.3667,0.3167,0.7167,84,1.9834,-0.82,-0.4167,0.0833,5,1D2U,2.0,True,0.949,6,False,right
85,85,0.5,0.1,2,0.35,0.25,0.4833,85,2.4166,0.66,0.3333,0.8333,5,3D1U,2.0,True,0.417,2,True,right
86,86,0.5,0.1,2,0.3833,0.35,0.7167,86,2.4667,0.02,0.0167,0.5167,5,2D1U,2.0,True,0.775,4,False,right
87,87,0.5,0.1,2,0.3,0.3667,0.5333,87,1.8167,-0.78,-0.3833,0.1167,5,1D2U,1.0,True,0.667,7,True,left
88,88,0.5,0.1,1,0.4167,0.2333,0.5667,88,1.8834,-0.66,-0.3333,0.1667,5,1D3U,1.0,False,1.492,2,False,left
89,89,0.5,0.1,2,0.3,0.3333,0.8333,89,2.4833,0.02,0.0167,0.5167,5,2D1U,2.0,True,1.55,4,False,right
90,90,0.5,0.1,2,0.2667,0.25,0.8333,90,2.6833,0.66,0.3333,0.8333,5,3D1U,2.0,True,0.233,2,True,right
91,91,0.5,0.1,1,0.2333,0.2333,0.85,91,1.9333,-0.78,-0.3833,0.1167,5,1D2U,2.0,True,1.292,7,True,right
92,92,0.5,0.1,1,0.3833,0.2667,0.6667,92,2.65,0.66,0.3333,0.8333,5,3D1U,2.0,False,0.849,2,True,right
93,93,0.5,0.1,2,0.35,0.3667,0.7167,93,2.7834,0.7,0.35,0.85,5,3D1U,2.0,True,1.109,2,False,right
94,94,0.5,0.1,1,0.3667,0.4167,0.5833,94,2.0,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.591,7,False,right
95,95,0.5,0.1,1,0.3,0.25,0.5167,95,2.05,-0.02,-0.0167,0.4833,5,2D1U,2.0,True,0.85,5,True,right
96,96,0.5,0.1,1,0.35,0.4167,0.7833,96,2.2,-0.7,-0.35,0.15,5,1D3U,1.0,False,0.575,2,False,left
97,97,0.5,0.1,1,0.3667,0.3167,0.5,97,2.5334,0.7,0.35,0.85,5,3D1U,1.0,True,0.334,2,False,left
98,98,0.5,0.1,2,0.4167,0.3,0.7167,98,2.0667,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.717,7,False,left
99,99,0.5,0.1,2,0.2333,0.35,0.8667,99,2.1,-0.7,-0.35,0.15,5,1D2U,1.0,True,0.85,7,False,left
100,100,0.5,0.1,1,0.2167,0.3,0.75,100,1.9,-0.74,-0.3667,0.1333,5,1D3U,1.0,False,1.308,2,False,left
101,101,0.5,0.1,2,0.35,0.3667,0.6667,101,2.4001,0.02,0.0167,0.5167,5,2D1U,1.0,False,0.55,6,True,left
102,102,0.5,0.1,1,0.3833,0.2,0.6833,102,1.9166,-0.7,-0.35,0.15,5,1D2U,1.0,False,0.6,7,False,left
103,103,0.5,0.1,2,0.25,0.3,0.6667,103,2.25,0.06,0.0333,0.5333,5,2D1U,1.0,False,0.767,6,False,left
104,104,0.5,0.1,1,0.4,0.25,0.8667,104,2.1334,-0.78,-0.3833,0.1167,5,1D3U,2.0,True,0.324,2,False,right
105,105,0.5,0.1,2,0.35,0.3667,0.6667,105,2.0001,-0.78,-0.3833,0.1167,5,1D3U,1.0,True,0.766,2,False,left
106,106,0.5,0.1,2,0.2167,0.4167,0.7,106,2.6834,0.7,0.35,0.85,5,3D1U,2.0,True,0.342,2,False,right
