,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,2,0.4167,0.3167,0.4167,0,1.7001,-0.9,-0.45,0.05,5,2D1U,1.0,True,0.554,0,False,left
1,1,0.5,0.1,1,0.45,0.3333,0.55,1,1.8833,-0.9,-0.45,0.05,5,3D1U,2.0,True,0.418,0,False,right
2,2,0.5,0.1,2,0.3,0.4,0.7833,2,2.1166,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.467,0,False,left
3,3,0.5,0.1,1,0.2833,0.2333,0.8333,3,1.8999,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.333,0,False,right
4,4,0.5,0.1,1,0.4333,0.2333,0.4833,4,2.5499,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.735,0,False,left
5,5,0.5,0.1,2,0.4167,0.2833,0.6833,5,1.9333,-0.9,-0.45,0.05,5,1D3U,1.0,True,1.081,0,False,left
6,6,0.5,0.1,1,0.3833,0.3167,0.4,6,1.7333,-0.74,-0.3667,0.1333,5,3D1U,2.0,True,0.425,0,False,right
7,7,0.5,0.1,1,0.2833,0.25,0.4833,7,1.7333,-0.58,-0.2833,0.2167,5,2D1U,2.0,True,1.343,0,False,right
8,8,0.5,0.1,1,0.3833,0.35,0.8,8,2.9333,0.8,0.4,0.9,5,lapse_rate,1.0,True,1.094,0,False,left
9,9,0.5,0.1,2,0.2333,0.3167,0.6167,9,1.8834,-0.58,-0.2833,0.2167,5,3D1U,1.0,True,0.658,0,False,left
10,10,0.5,0.1,1,0.2,0.4,0.8667,10,2.0167,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.398,0,False,right
11,11,0.5,0.1,2,0.2833,0.4,0.45,11,1.6833,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.592,0,False,left
12,12,0.5,0.1,1,0.3667,0.35,0.5833,12,1.9333,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.417,0,False,right
13,13,0.5,0.1,2,0.3,0.3833,0.4333,13,1.6666,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.692,0,False,left
14,14,0.5,0.1,2,0.2167,0.3667,0.4833,14,1.6667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.599,0,False,left
15,15,0.5,0.1,1,0.35,0.4333,0.5,15,2.0666,-0.42,-0.2167,0.2833,5,2D1U,2.0,True,1.399,0,False,right
16,16,0.5,0.1,1,0.2667,0.2167,0.5167,16,1.7834,-0.42,-0.2167,0.2833,5,3D1U,2.0,True,0.516,0,False,right
17,17,0.5,0.1,1,0.25,0.4167,0.4167,17,1.7167,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.291,0,False,right
18,18,0.5,0.1,1,0.25,0.3,0.4167,18,1.8334,-0.26,-0.1333,0.3667,5,2D1U,2.0,True,0.892,0,False,right
19,19,0.5,0.1,1,0.3833,0.4,0.8333,19,3.0166,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.974,0,False,left
20,20,0.5,0.1,2,0.2667,0.4,0.7333,20,2.2667,-0.26,-0.1333,0.3667,5,3D1U,1.0,True,0.575,0,False,left
21,21,0.5,0.1,1,0.2833,0.3333,0.8833,21,2.1332,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.267,0,False,right
22,22,0.5,0.1,1,0.2333,0.25,0.4667,22,1.9,-0.1,-0.05,0.45,5,2D1U,1.0,False,0.542,0,False,left
23,23,0.5,0.1,2,0.2667,0.2167,0.5,23,1.9334,-0.1,-0.05,0.45,5,3D1U,1.0,True,1.875,0,False,left
24,24,0.5,0.1,1,0.3833,0.2833,0.5333,24,1.8332,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.341,0,False,right
25,25,0.5,0.1,2,0.2167,0.2333,0.6333,25,1.8,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.584,0,False,left
26,26,0.5,0.1,2,0.3167,0.4333,0.7667,26,2.1167,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.66,0,False,left
27,27,0.5,0.1,2,0.2167,0.4333,0.7667,27,2.45,0.06,0.0333,0.5333,5,3D1U,1.0,False,0.617,0,False,left
28,28,0.5,0.1,2,0.35,0.3,0.6167,28,2.6667,0.8,0.4,0.9,5,lapse_rate,1.0,False,0.907,0,False,left
29,29,0.5,0.1,2,0.3333,0.2833,0.4833,29,1.8166,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.708,0,False,left
30,30,0.5,0.1,2,0.2667,0.3167,0.5667,30,2.1001,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.633,0,False,right
31,31,0.5,0.1,2,0.3167,0.2833,0.8,31,2.0333,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.466,0,False,left
32,32,0.5,0.1,2,0.4,0.2667,0.8667,32,2.9334,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.592,0,False,right
33,33,0.5,0.1,2,0.2667,0.3667,0.8667,33,2.6168,0.22,0.1167,0.6167,5,3D1U,1.0,False,0.459,0,False,left
34,34,0.5,0.1,1,0.3833,0.2667,0.5333,34,1.9,-0.58,-0.2833,0.2167,5,1D3U,2.0,True,0.358,0,False,right
35,35,0.5,0.1,2,0.3,0.4167,0.6,35,2.2334,-0.18,-0.0833,0.4167,5,2D1U,1.0,True,0.408,1,True,left
36,36,0.5,0.1,2,0.4333,0.3667,0.4167,36,2.0,-0.42,-0.2167,0.2833,5,1D2U,1.0,True,0.683,0,False,left
37,37,0.5,0.1,1,0.3167,0.3667,0.8167,37,2.2168,-0.58,-0.2833,0.2167,5,1D3U,2.0,True,0.441,0,False,right
