,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0,0.50196,1.2,2,0.32628,0.28445,0.71948,0,1.88237,-0.9,-0.45177,0.0502,5,2D1U,1.0,True,0.56,0,False,left,0.0,1.5362,1.5861,0.0498,0.3196,0.8196,0.5,V
1,1,0.50196,0.1,1,0.25098,0.27608,0.85334,1,1.93256,-0.9,-0.45177,0.0502,5,3D1U,2.0,True,18.258,0,False,right,0.0,0.2461,0.2963,0.0502,1.146,1.6468,0.5008,V
2,2,0.50196,0.1,1,0.24262,0.25935,0.76968,2,2.72734,0.9,0.45177,0.95373,5,lapse_rate,1.0,True,0.34,0,False,left,0.0,0.243,1.1928,0.9498,1.9606,2.4601,0.4996,A
3,3,0.50196,1.2,1,0.33464,0.26771,0.56052,3,1.79869,-0.74,-0.36811,0.13386,5,3D1U,2.0,True,1.132,0,False,right,0.0,0.3287,0.4628,0.1341,1.0203,1.521,0.5008,V
4,4,0.50196,0.1,2,0.21752,0.4434,0.75294,4,1.96602,-0.9,-0.45177,0.0502,5,1D2U,1.0,True,0.743,0,False,left,0.0,1.4618,1.5117,0.0499,0.2126,0.7127,0.5001,V
5,5,0.50196,1.2,1,0.32628,0.28445,0.42667,5,1.58956,-0.9,-0.45177,0.0502,5,1D3U,2.0,True,0.985,0,False,right,0.0,0.3244,0.3737,0.0492,0.7985,1.2991,0.5006,V
6,6,0.50196,0.1,1,0.32628,0.34301,0.66092,6,1.96603,-0.74,-0.36811,0.13386,5,2D1U,2.0,True,0.403,0,False,right,0.0,0.3292,0.4616,0.1324,1.1194,1.6197,0.5003,A
7,7,0.50196,0.1,2,0.35137,0.4434,0.73621,7,2.98667,0.9,0.45177,0.95373,5,lapse_rate,2.0,True,0.108,0,False,right,0.0,1.5789,2.5284,0.9495,0.3458,0.8452,0.4993,A
8,8,0.50196,1.2,1,0.34301,0.40157,0.66928,8,1.96602,-0.9,-0.45177,0.0502,5,1D3U,2.0,True,0.454,0,False,right,0.0,0.3445,0.3953,0.0508,1.0613,1.5614,0.5001,V
9,9,0.50196,0.1,2,0.29281,0.36811,0.79477,9,2.1668,-0.58,-0.29281,0.20915,5,3D1U,1.0,True,0.364,0,False,left,0.0,1.5858,1.7942,0.2084,0.2939,0.7944,0.5005,V
10,10,0.50196,1.2,2,0.45177,0.21752,0.66092,10,2.04132,-0.58,-0.29281,0.20915,5,2D1U,2.0,False,0.44,0,False,right,0.0,1.6053,1.8138,0.2085,0.4474,0.9478,0.5004,V
