,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
0,0,0.5,0.1,1,0.3333,0.4,0.9,0,2.1833,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.489,0,False,right
1,1,0.5,0.1,1,0.4333,0.45,0.8333,1,2.2666,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.3,0,False,right
2,2,0.5,0.1,1,0.3,0.2,0.8833,2,1.9333,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.392,0,False,right
3,3,0.5,0.1,1,0.3833,0.25,0.45,3,1.6333,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.708,0,False,right
4,4,0.5,0.1,2,0.3,0.4167,0.6667,4,2.0167,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.424,0,False,left
5,5,0.5,0.1,1,0.3333,0.2667,0.5833,5,1.7833,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.351,0,False,right
6,6,0.5,0.1,1,0.4,0.45,0.4833,6,1.8833,-0.9,-0.45,0.05,5,3D1U,2.0,True,1.258,0,False,right
7,7,0.5,0.1,2,0.2667,0.3167,0.6833,7,1.8667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.499,0,False,left
8,8,0.5,0.1,2,0.4333,0.3333,0.5333,8,1.8499,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.482,0,False,left
9,9,0.5,0.1,2,0.2167,0.4167,0.4833,9,1.8334,-0.58,-0.2833,0.2167,5,2D1U,1.0,True,0.667,0,False,left
10,10,0.5,0.1,1,0.3333,0.3167,0.65,10,1.9333,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.426,0,False,right
11,11,0.5,0.1,2,0.4333,0.3833,0.8333,11,2.2832,-0.74,-0.3667,0.1333,5,3D1U,1.0,True,0.474,0,False,left
12,12,0.5,0.1,1,0.2833,0.2,0.7833,12,2.0499,-0.42,-0.2167,0.2833,5,2D1U,2.0,True,0.415,0,False,right
13,13,0.5,0.1,2,0.3333,0.3,0.7833,13,2.0499,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.433,0,False,left
14,14,0.5,0.1,2,0.2667,0.2667,0.7,14,1.7834,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.566,0,False,left
15,15,0.5,0.1,2,0.3667,0.4,0.5,15,1.8667,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.416,0,False,left
16,16,0.5,0.1,1,0.2167,0.2333,0.6833,16,1.85,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.35,0,False,right
17,17,0.5,0.1,2,0.4167,0.4333,0.6167,17,2.3334,-0.26,-0.1333,0.3667,5,2D1U,1.0,True,4.232,0,False,left
18,18,0.5,0.1,1,0.3667,0.3333,0.5167,18,2.6167,0.8,0.4,0.9,5,lapse_rate,1.0,True,0.351,0,False,left
19,19,0.5,0.1,1,0.4,0.4333,0.4833,19,2.0333,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.349,0,False,right
20,20,0.5,0.1,2,0.3333,0.3833,0.5833,20,1.9332,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.475,0,False,left
21,21,0.5,0.1,2,0.4333,0.4,0.5833,21,2.1999,-0.42,-0.2167,0.2833,5,3D1U,1.0,True,0.368,0,False,left
22,22,0.5,0.1,1,0.4,0.3333,0.7,22,2.0666,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.351,0,False,right
23,23,0.5,0.1,2,0.3667,0.3667,0.8333,23,2.4334,-0.26,-0.1333,0.3667,5,3D1U,2.0,False,0.374,0,False,right
24,24,0.5,0.1,1,0.3,0.4,0.8,24,2.2167,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.449,0,False,right
25,25,0.5,0.1,2,0.4333,0.3333,0.6333,25,2.3499,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.506,0,False,right
26,26,0.5,0.1,2,0.4333,0.4333,0.6833,26,2.1499,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.434,0,False,left
27,27,0.5,0.1,2,0.2833,0.25,0.6,27,1.7666,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.525,0,False,left
28,28,0.5,0.1,1,0.3833,0.4,0.5,28,2.2333,-0.1,-0.05,0.45,5,2D1U,1.0,False,1.434,0,False,left
29,29,0.5,0.1,2,0.2333,0.3833,0.7833,29,2.2666,-0.26,-0.1333,0.3667,5,3D1U,2.0,False,0.391,0,False,right
30,30,0.5,0.1,1,0.2333,0.3167,0.8167,30,2.15,-0.42,-0.2167,0.2833,5,1D2U,2.0,True,0.35,0,False,right
