,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.50179,1.2,1,0.24253,0.30108,0.65233,0,1.87336,-0.65,-0.32616,0.17563,5,2U1D,1.0,False,1.582,0,False,left,0.08363,0.1592,0.5091,0.3499,1.0342,1.7926,0.7584,A
1,0.50179,1.2,2,0.22581,0.32616,0.81123,1,1.91517,-0.9,-0.45161,0.05018,5,lapse_rate,1.0,True,0.395,0,False,left,-0.2509,1.5822,1.5405,-0.0416,0.2655,0.6906,0.425,A
2,0.50179,1.2,1,0.24253,0.30944,0.45161,2,1.63082,-0.75,-0.37634,0.12545,5,2U1D,2.0,True,0.181,0,False,right,0.08363,0.155,0.4559,0.3009,0.7808,1.5392,0.7584,A
3,0.50179,1.2,2,0.28435,0.40143,0.81123,3,2.9522,0.9,0.45161,0.9534,5,lapse_rate,2.0,True,0.206,0,False,right,-0.2509,1.639,2.4973,0.8583,0.3218,0.747,0.4252,A
4,0.50179,0.1,1,0.30108,0.21744,0.84468,4,2.69295,0.65,0.32616,0.82796,5,2D1U,1.0,True,0.24,0,False,left,0.08363,0.2842,1.1425,0.8583,1.925,2.5417,0.6167,A
5,0.50179,0.1,1,0.2509,0.20908,0.86977,5,2.6595,0.65,0.32616,0.82796,5,2D1U,1.0,True,0.256,0,False,left,-0.2509,0.2304,1.0887,0.8583,2.0636,2.3462,0.2826,A
6,0.50179,1.2,2,0.21744,0.32616,0.77778,6,1.87335,-0.9,-0.45161,0.05018,5,lapse_rate,1.0,True,0.456,0,False,left,0.08363,1.7061,1.6647,-0.0414,0.0897,0.8472,0.7575,A
7,0.50179,1.2,2,0.44325,0.20072,0.51016,7,1.78137,-0.75,-0.37634,0.12545,5,2U1D,1.0,True,0.309,0,False,left,-0.2509,1.5029,1.5368,0.0339,0.4865,0.9119,0.4254,A
8,0.50179,0.1,1,0.26762,0.20072,0.68578,8,1.70609,-0.9,-0.45161,0.05018,5,lapse_rate,2.0,True,0.113,0,False,right,0.08363,0.2471,0.3312,0.084,0.9562,1.5727,0.6165,A
9,0.50179,1.2,2,0.20908,0.37634,0.51852,9,1.76463,-0.69,-0.34289,0.1589,5,2U1D,1.0,True,0.112,1,True,left,-0.2509,1.2719,1.3389,0.067,0.2478,0.6726,0.4248,A
10,0.50179,0.1,1,0.43489,0.36798,0.58542,10,2.66786,0.55,0.27599,0.77778,5,2D1U,1.0,True,0.211,0,False,left,0.08363,0.4189,1.2273,0.8083,1.7524,2.3692,0.6168,A
