,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.5076,0.8515,1,0.4421,0.5568,0.7697,0,3.226,0.9,0.4421,0.9498,5,1D1U,1.0,True,0.638,0,False,left,0.0655,0.241,0.7101,0.4691,1.1067,1.3724,0.2657,V
1,0.5076,0.0983,2,0.6386,0.524,0.655,1,3.275,0.9,0.4421,0.9498,5,2D1U,2.0,True,0.157,0,False,right,0.0655,1.3759,2.2604,0.8845,0.3574,0.7106,0.3532,V
2,0.5076,0.8515,1,0.5731,0.4585,0.5568,2,3.0458,0.9,0.4421,0.9498,5,2U1D,1.0,True,0.813,0,False,left,0.0655,0.305,0.7738,0.4688,1.058,1.3181,0.2601,V
3,0.5076,0.0983,2,0.5568,0.6223,0.7205,3,3.357,0.9,0.4421,0.9498,5,1U1D,2.0,True,0.836,0,False,right,0.0655,0.9304,1.3987,0.4683,0.28,0.5461,0.2661,A
4,0.5076,0.8515,1,0.5568,0.6223,0.5568,4,3.1933,0.9,0.4421,0.9498,5,2D1U,2.0,False,0.966,0,False,right,0.0655,0.2934,0.7598,0.4664,1.0473,1.3093,0.262,V
5,0.5076,0.0983,2,0.5568,0.4749,0.6386,5,3.0294,0.7,0.3439,0.8515,5,1D1U,2.0,True,0.954,0,False,right,0.0655,0.9098,1.3266,0.4168,0.2792,0.5447,0.2655,V
6,0.5076,0.0983,2,0.4749,0.5568,0.8188,6,2.8821,0.05,0.0328,0.524,5,lapse_rate,2.0,True,1.137,0,False,right,0.0655,1.4338,1.9352,0.5014,0.2818,0.6356,0.3539,V
7,0.5076,0.8515,1,0.4258,0.6223,0.7697,7,2.8494,0.05,0.0328,0.524,5,lapse_rate,1.0,True,0.159,0,False,left,0.0655,0.235,0.4849,0.2499,0.8742,1.135,0.2609,V
8,0.5076,0.8515,1,0.5895,0.4913,0.7205,8,3.1604,0.7,0.3439,0.8515,5,1U1D,1.0,True,0.78,0,False,left,0.0655,0.3181,0.735,0.4169,1.1044,1.367,0.2626,V
9,0.5076,0.0983,1,0.5076,0.5076,0.6386,9,3.1112,0.9,0.4421,0.9498,5,2U1D,2.0,False,0.85,0,False,right,0.0655,0.281,0.7469,0.4659,1.0798,1.3514,0.2716,A
10,0.5076,0.8515,2,0.4258,0.5076,0.6223,10,3.1113,1.1,0.5568,1.048,5,2D1U,1.0,False,1.218,0,False,left,0.0655,0.8093,1.3261,0.5167,0.2112,0.4746,0.2634,A
