,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.5,0.85,1,0.4,0.59167,0.68333,0,2.975,0.6,0.3,0.8,5,1D1U,1.0,True,0.937,0,False,left,0.3,0.406,1.4175,1.0115,2.1842,3.2512,1.067,A
1,0.5,0.1,1,0.55,0.40833,0.74167,1,2.3,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,1.658,0,False,right,-0.3,0.5794,0.713,0.1337,1.3744,2.2411,0.8667,A
2,0.5,0.85,2,0.50833,0.50833,0.66667,2,3.08333,0.8,0.4,0.9,5,lapse_rate,1.0,False,6.915,0,False,left,0.05,1.8657,2.8475,0.9818,0.5147,1.131,0.6163,A
3,0.5,0.85,1,0.575,0.625,0.81667,3,3.24167,0.45,0.225,0.725,5,1D1U,2.0,False,0.127,0,False,right,0.0,0.6024,1.4989,0.8965,2.437,2.9814,0.5444,A
4,0.5,0.85,1,0.58333,0.46667,0.625,4,2.975,0.6,0.3,0.8,5,2D1U,1.0,True,0.184,0,False,left,-0.05,0.6551,1.5195,0.8644,2.2494,2.9164,0.667,A
5,0.5,0.85,2,0.45,0.53333,0.55,5,2.23333,-0.6,-0.3,0.2,5,2U1D,1.0,True,4.185,0,False,left,0.3,2.0248,2.241,0.2162,0.3244,1.3352,1.0107,A
6,0.5,0.85,2,0.60833,0.60833,0.8,6,2.71666,-0.6,-0.3,0.2,5,1U1D,2.0,False,0.333,0,False,right,-0.3,2.4366,2.666,0.2294,0.4691,1.485,1.016,A
7,0.5,0.1,1,0.6,0.50833,0.56667,7,2.94167,0.54,0.26667,0.76667,5,1D1U,2.0,False,1.558,1,True,right,0.05,0.8165,1.9157,1.0993,2.5996,3.5161,0.9165,A
8,0.5,0.1,1,0.55,0.6,0.9,8,3.35,0.6,0.3,0.8,5,2D1U,1.0,True,0.947,0,False,left,0.0,0.7322,1.8678,1.1355,2.8482,3.371,0.5228,A
9,0.5,0.1,2,0.40833,0.55833,0.6,9,2.19166,-0.75,-0.375,0.125,5,1U1D,2.0,False,0.428,0,False,right,-0.05,1.9693,2.0967,0.1274,0.3797,1.1643,0.7846,A
10,0.5,0.1,2,0.6,0.425,0.7,10,2.425,-0.6,-0.3,0.2,5,2U1D,2.0,False,0.699,0,False,right,0.3,2.55,2.754,0.204,0.5171,1.6191,1.102,A
