,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.49851,1.2,1,0.38219,0.1994,0.84747,0,2.10205,-0.65,-0.32403,0.17448,5,2U1D,2.0,True,5.541,0,False,right,0.08309,0.3113,0.6286,0.3173,1.3703,2.0943,0.7239,A
1,0.49851,1.2,1,0.36558,0.44035,0.89732,1,3.0243,0.65,0.32403,0.82254,5,2D1U,1.0,True,4.441,0,False,left,-0.24926,0.2977,1.2643,0.9667,2.2225,2.6141,0.3916,A
2,0.49851,0.1,1,0.22433,0.32403,0.54005,2,1.7614,-0.65,-0.32403,0.17448,5,2U1D,2.0,True,2.897,0,False,right,0.08309,0.1371,0.4788,0.3417,0.8954,1.6453,0.7499,A
3,0.49851,0.1,2,0.36558,0.34065,0.63145,3,2.65873,0.65,0.32403,0.82254,5,2D1U,2.0,True,1.593,0,False,right,-0.24926,1.5382,2.28,0.7418,0.4049,0.8219,0.417,A
4,0.49851,1.2,1,0.20771,0.32403,0.88901,4,2.86643,0.9,0.44866,0.94717,5,lapse_rate,1.0,True,1.171,0,False,left,0.08309,0.1439,1.2358,1.0919,2.0185,2.7436,0.7251,A
5,0.49851,1.2,1,0.42374,0.24095,0.86409,5,2.25162,-0.55,-0.27418,0.22433,5,2U1D,2.0,True,20.187,0,False,right,-0.24926,0.3549,0.7213,0.3664,1.6466,2.0384,0.3918,A
6,0.49851,1.2,2,0.35727,0.21602,0.4902,6,2.50917,0.9,0.44866,0.94717,5,lapse_rate,1.0,False,1.046,0,False,left,0.08309,1.5281,2.4027,0.8746,0.2449,0.9698,0.7249,A
7,0.49851,1.2,1,0.34065,0.30742,0.45697,7,2.37624,0.55,0.27418,0.77269,5,2D1U,1.0,True,0.811,0,False,left,-0.24926,0.2714,1.1881,0.9167,1.7045,2.0963,0.3918,A
8,0.49851,0.1,1,0.41543,0.39881,0.4902,8,2.57564,0.55,0.27418,0.77269,5,2D1U,1.0,True,1.795,0,False,left,0.08309,0.3307,1.2725,0.9418,1.6396,2.3895,0.7499,A
9,0.49851,1.2,2,0.25756,0.31572,0.83085,9,1.95249,-0.9,-0.44866,0.04985,5,lapse_rate,1.0,True,0.68,0,False,left,-0.24926,1.6066,1.5826,-0.024,0.3153,0.7073,0.392,A
10,0.49851,0.1,1,0.33234,0.42374,0.70623,10,2.18515,-0.55,-0.27418,0.22433,5,2U1D,2.0,True,0.109,0,False,right,0.08309,0.2463,0.638,0.3917,1.2213,1.9711,0.7498,A
