,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.49886,1.2,1,0.34921,0.64021,1.01436,0,2.52758,-0.95,-0.47392,0.02494,5,1D2U,1.0,False,0.123,0,False,left,0.44898,0.2479,0.4728,0.2249,1.1649,2.3148,1.1499,A,0.2
1,0.49886,0.1,1,0.21617,0.28269,0.65684,1,1.6795,-0.95,-0.47392,0.02494,5,lapse_rate,2.0,True,6.745,0,False,right,-0.44898,0.1064,0.3488,0.2424,1.1238,1.3904,0.2666,A,0.22
2,0.49886,1.2,2,0.43235,0.43235,1.18896,2,3.50036,0.9,0.44898,0.94784,5,lapse_rate,2.0,True,0.825,0,False,right,0.44898,2.3464,3.4968,1.1504,0.1049,1.2548,1.15,A,0.2
3,0.49886,1.2,1,0.25775,0.24943,0.54044,3,1.57142,-0.95,-0.47392,0.02494,5,1D2U,2.0,True,2.873,0,False,right,-0.44898,0.1607,0.386,0.2253,1.0525,1.3027,0.2501,A,0.2
4,0.49886,0.1,1,0.49055,0.39909,0.83976,4,2.2532,-0.95,-0.47392,0.02494,5,2D1U,2.0,True,0.65,0,False,right,0.44898,0.3793,0.6212,0.2419,1.1298,2.2964,1.1666,A,0.22
5,0.49886,0.1,2,0.31595,0.37415,0.51549,5,1.72939,-0.95,-0.47392,0.02494,5,lapse_rate,1.0,True,0.452,0,False,left,-0.44898,1.1041,1.3463,0.2422,0.4299,0.696,0.2661,A,0.22
6,0.49886,0.1,2,0.38246,0.56538,1.33862,6,2.81026,-0.95,-0.47392,0.02494,5,1D2U,1.0,True,0.441,0,False,left,0.44898,2.4475,2.6889,0.2414,0.0476,1.214,1.1664,A,0.22
7,0.49886,1.2,1,0.43235,0.25775,0.77324,7,2.07029,-0.79,-0.39909,0.10809,5,2D1U,2.0,True,0.359,0,False,right,-0.44898,0.3303,0.6385,0.3081,1.5382,1.7887,0.2504,A,0.2
8,0.49886,1.2,2,0.67347,0.38246,0.88964,8,2.62735,-0.63,-0.31595,0.18292,5,2D1U,2.0,False,17.891,0,False,right,0.44898,2.2891,2.6722,0.3831,0.3479,1.4975,1.1495,A,0.2
9,0.49886,0.1,2,0.34921,0.20786,0.64021,9,1.72108,-0.95,-0.47392,0.02494,5,lapse_rate,2.0,False,0.613,0,False,right,-0.44898,1.2701,1.5111,0.241,0.4702,0.7368,0.2666,A,0.22
10,0.49886,0.1,2,0.62358,0.32426,0.9811,10,2.49432,-0.87,-0.43235,0.06652,5,1D2U,1.0,True,24.258,1,True,left,0.44898,2.335,2.6265,0.2915,0.2934,1.4602,1.1667,A,0.22
11,0.49886,0.1,2,0.29932,0.27438,0.8647,11,2.00378,-0.87,-0.43235,0.06652,5,1D2U,1.0,True,2.96,1,True,left,-0.44898,1.4453,1.728,0.2827,0.42,0.687,0.267,A,0.22
12,0.49886,1.2,2,0.43235,0.47392,0.96447,12,3.31744,0.9,0.44898,0.94784,5,lapse_rate,1.0,False,4.1,0,False,left,0.44898,2.127,3.277,1.15,0.1104,1.2601,1.1497,A,0.2
13,0.49886,1.2,2,0.2328,0.37415,0.6901,13,1.97883,-0.63,-0.31595,0.18292,5,2D1U,1.0,True,1.818,0,False,left,-0.44898,1.199,1.5826,0.3836,0.3576,0.6071,0.2495,A,0.2
14,0.49886,1.2,2,0.48224,0.49886,1.04762,14,2.55252,-0.95,-0.47392,0.02494,5,lapse_rate,2.0,False,0.616,0,False,right,0.44898,2.2568,2.4816,0.2248,0.1568,1.3067,1.15,A,0.2
