,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard
0,0.5003,0.7504,2,0.5753,0.6504,0.8838,0,2.7853,-0.65,-0.3252,0.1755,5,3U1D,1.0,True,2.743,0,False,left,0.05,1.955,2.1302,0.1752,0.5717,1.0714,0.4997
1,0.5003,0.7504,2,0.4419,0.6504,0.8005,1,2.4427,-0.9,-0.4503,0.0496,5,lapse_rate,1.0,True,3.217,0,False,left,-0.05,1.7412,1.791,0.0499,0.4406,0.9409,0.5004
2,0.5003,0.7504,1,0.4919,0.4919,0.6254,2,2.935,0.65,0.3252,0.8255,5,3D1U,1.0,True,2.908,0,False,left,0.0,0.4855,1.3107,0.8252,1.9355,2.4358,0.5003
3,0.5003,0.7504,1,0.6254,0.5003,0.5837,3,2.3852,-0.65,-0.3252,0.1755,5,3U1D,2.0,True,0.685,0,False,right,0.05,0.6195,0.7946,0.1751,1.3773,1.8777,0.5004
4,0.5003,0.1001,1,0.542,0.6003,0.6254,4,3.0931,0.65,0.3252,0.8251,5,2D1U,2.0,False,0.733,0,False,right,-0.05,0.535,1.36,0.825,1.985,2.4851,0.5001
5,0.5003,0.1001,2,0.5336,0.4002,0.6504,5,2.2596,-0.65,-0.3252,0.1751,5,2U1D,1.0,True,1.853,0,False,left,0.0,1.6827,1.8578,0.175,0.5328,1.0324,0.4996
6,0.5003,0.7504,1,0.4586,0.4252,0.5003,6,2.8354,0.9,0.4503,0.951,5,lapse_rate,2.0,False,0.158,0,False,right,0.05,0.4552,1.4051,0.9499,1.9049,2.4053,0.5004
7,0.5003,0.1001,2,0.642,0.6254,0.7004,7,3.2932,0.65,0.3252,0.8251,5,3D1U,2.0,True,0.944,0,False,right,-0.05,1.8378,2.6631,0.8253,0.638,1.1379,0.4999
8,0.5003,0.7504,2,0.592,0.4336,0.7671,8,3.2185,0.85,0.4252,0.9255,5,2D1U,2.0,True,0.62,0,False,right,0.0,1.8592,2.7844,0.9252,0.5927,1.0925,0.4999
9,0.5003,0.7504,2,0.4669,0.5587,0.6254,9,2.3268,-0.65,-0.3252,0.1755,5,2U1D,1.0,True,0.255,0,False,left,0.05,1.5911,1.7663,0.1752,0.4661,0.9661,0.4999
10,0.5003,0.1001,1,0.5336,0.5086,0.6754,10,3.168,0.9,0.4503,0.9501,5,lapse_rate,1.0,True,0.441,0,False,left,-0.05,0.5308,1.4809,0.9501,2.1557,2.656,0.5003
11,0.5003,0.7504,1,0.4252,0.4669,0.5086,11,2.0761,-0.65,-0.3252,0.1751,5,3U1D,2.0,True,0.161,0,False,right,0.0,0.4205,0.5956,0.175,1.1037,1.6038,0.5001
12,0.5003,0.1001,2,0.4753,0.4252,0.8255,12,3.0522,0.65,0.3252,0.8259,5,3D1U,2.0,True,1.147,0,False,right,0.05,1.7976,2.6227,0.825,0.4725,0.9726,0.5001
13,0.5003,0.1001,2,0.4919,0.542,0.542,13,2.1258,-0.9,-0.4503,0.0496,5,lapse_rate,1.0,True,0.604,0,False,left,-0.05,1.5308,1.581,0.0501,0.4893,0.9889,0.4997
14,0.5003,0.1001,2,0.4419,0.5837,0.592,14,3.0434,0.85,0.4252,0.9255,5,2D1U,2.0,True,0.511,0,False,right,0.0,1.5303,2.4551,0.9248,0.4386,0.9384,0.4998
15,0.5003,0.1001,1,0.4836,0.517,0.7171,15,2.4936,-0.45,-0.2251,0.2756,5,3U1D,2.0,True,0.5,0,False,right,0.05,0.4835,0.7582,0.2747,1.4752,1.9752,0.5
16,0.5003,0.7504,2,0.5086,0.4586,0.8755,16,2.6177,-0.45,-0.2251,0.2747,5,2U1D,1.0,True,1.265,0,False,left,-0.05,1.8768,2.1515,0.2747,0.502,1.0016,0.4996
17,0.5003,0.7504,1,0.5837,0.4169,0.5003,17,2.9517,0.9,0.4503,0.9505,5,lapse_rate,1.0,True,0.663,0,False,left,0.0,0.5834,1.5338,0.9504,2.0334,2.5339,0.5005
18,0.5003,0.7504,1,0.4586,0.4419,0.7921,18,2.9187,0.45,0.2251,0.7258,5,3D1U,1.0,True,0.298,0,False,left,0.05,0.4577,1.1821,0.7243,1.9739,2.474,0.5001
19,0.5003,0.7504,2,0.6087,0.567,0.7921,19,3.3265,0.716,0.3585,0.8584,5,2D1U,1.0,False,0.931,1,True,left,-0.05,1.8968,2.7557,0.8589,0.6055,1.1058,0.5004
20,0.5003,0.1001,1,0.6504,0.4753,0.7087,20,2.6099,-0.45,-0.2251,0.2752,5,2U1D,1.0,False,0.744,0,False,left,0.0,0.6483,0.9234,0.2751,1.6317,2.1317,0.5
21,0.5003,0.1001,1,0.592,0.5837,0.7004,21,2.652,-0.45,-0.2251,0.2756,5,3U1D,2.0,True,0.159,0,False,right,0.05,0.5914,0.8664,0.275,1.5664,2.0665,0.5001
22,0.5003,0.1001,1,0.642,0.6504,0.7754,22,3.4682,0.8058,0.4002,0.9001,5,2D1U,1.0,True,0.996,2,True,left,-0.05,0.6381,1.5381,0.9,2.3133,2.8133,0.5
23,0.5003,0.7504,1,0.517,0.6254,0.667,23,2.5849,-0.45,-0.2251,0.2752,5,3U1D,2.0,True,1.197,0,False,right,0.0,0.5138,0.789,0.2752,1.4555,1.9559,0.5004
24,0.5003,0.7504,2,0.5003,0.6003,0.8005,24,3.1272,0.45,0.2251,0.7258,5,3D1U,2.0,True,0.632,0,False,right,0.05,1.7947,2.5197,0.725,0.4947,0.9948,0.5
25,0.5003,0.7504,2,0.542,0.4919,0.5253,25,3.0096,0.9,0.4503,0.9501,5,lapse_rate,2.0,True,0.217,0,False,right,-0.05,1.564,2.514,0.9501,0.539,1.0389,0.4999
26,0.5003,0.7504,2,0.5336,0.5503,0.7754,26,2.5681,-0.584,-0.2918,0.2085,5,2U1D,1.0,True,0.162,1,True,left,0.0,1.8076,2.0161,0.2085,0.5324,1.0326,0.5002
27,0.5003,0.1001,2,0.5086,0.4586,0.5086,27,2.7019,0.45,0.2251,0.7258,5,3D1U,2.0,True,0.991,0,False,right,0.05,1.5175,2.2425,0.7249,0.5091,1.0093,0.5002
28,0.5003,0.1001,2,0.6087,0.5336,0.7338,28,3.2765,0.8058,0.4002,0.9001,5,2D1U,2.0,True,0.449,2,True,right,-0.05,1.8366,2.7375,0.9009,0.6039,1.1035,0.4997
29,0.5003,0.1001,1,0.4169,0.4503,0.8588,29,2.6015,-0.25,-0.1251,0.3752,5,3U1D,2.0,True,2.571,0,False,right,0.0,0.4159,0.7907,0.3748,1.6489,2.1492,0.5003
30,0.5003,0.7504,2,0.6087,0.4836,0.7421,30,2.5436,-0.584,-0.2918,0.2089,5,2U1D,1.0,True,0.483,1,True,left,0.05,1.8488,2.057,0.2082,0.607,1.1071,0.5
31,0.5003,0.1001,1,0.5003,0.5503,0.567,31,2.1675,-0.9,-0.4503,0.0496,5,lapse_rate,1.0,False,0.605,0,False,left,-0.05,0.4954,0.5454,0.05,1.1122,1.6121,0.4999
32,0.5003,0.7504,2,0.6003,0.5753,0.8421,32,3.1434,0.25,0.1251,0.6254,5,3D1U,1.0,False,0.349,0,False,left,0.0,1.9382,2.5633,0.6251,0.5966,1.0966,0.5
33,0.5003,0.7504,2,0.542,0.4753,0.7504,33,2.5186,-0.4942,-0.2501,0.2506,5,2U1D,1.0,True,0.682,2,True,left,0.05,1.7866,2.0369,0.2502,0.5367,1.0366,0.4999
34,0.5003,0.1001,2,0.592,0.5086,0.6003,34,2.576,-0.25,-0.1251,0.3748,5,3U1D,1.0,True,0.507,0,False,left,-0.05,1.6856,2.0607,0.3751,0.5855,1.0856,0.5001
35,0.5003,0.7504,2,0.4086,0.567,0.5587,35,2.9851,0.9,0.4503,0.9505,5,lapse_rate,1.0,False,0.872,0,False,left,0.0,1.4639,2.414,0.9501,0.4054,0.9059,0.5005
36,0.5003,0.1001,1,0.592,0.4169,0.8338,36,3.2022,0.716,0.3585,0.8592,5,2D1U,1.0,True,1.85,3,True,left,0.05,0.5917,1.4499,0.8582,2.2831,2.7833,0.5002
37,0.5003,0.1001,1,0.6337,0.4919,0.8922,37,2.7678,-0.4942,-0.2501,0.2497,5,2U1D,2.0,True,0.497,2,True,right,-0.05,0.6268,0.8767,0.25,1.7686,2.2683,0.4997
38,0.5003,0.7504,1,0.4503,0.5753,0.6504,38,3.0351,0.716,0.3585,0.8588,5,2D1U,1.0,True,1.707,3,True,left,0.0,0.4484,1.3066,0.8582,1.9566,2.4569,0.5003
39,0.5003,0.7504,2,0.4669,0.6337,0.8755,39,3.1689,0.384,0.1918,0.6925,5,3D1U,2.0,True,0.686,1,True,right,0.05,1.8401,2.5319,0.6918,0.4651,0.9648,0.4997
40,0.5003,0.1001,2,0.4336,0.6337,0.5253,40,3.043,0.9,0.4503,0.9501,5,lapse_rate,2.0,True,0.16,0,False,right,-0.05,1.4565,2.4066,0.9501,0.4313,0.9309,0.4996
41,0.5003,0.7504,2,0.5253,0.4419,0.7838,41,2.6265,-0.25,-0.1251,0.3752,5,3U1D,1.0,True,0.158,0,False,left,0.0,1.806,2.181,0.375,0.5224,1.0228,0.5005
42,0.5003,0.1001,1,0.4419,0.4919,0.5086,42,2.6352,0.384,0.1918,0.6925,5,3D1U,1.0,True,0.317,1,True,left,0.05,0.4399,1.1315,0.6915,1.6398,2.1397,0.4999
43,0.5003,0.1001,1,0.6003,0.4669,0.6587,43,3.0429,0.6262,0.3168,0.8167,5,2D1U,1.0,True,0.561,3,False,left,-0.05,0.5936,1.4105,0.8169,2.0685,2.5687,0.5002
44,0.5003,0.1001,2,0.617,0.5587,0.592,44,2.5682,-0.4044,-0.2001,0.3002,5,2U1D,1.0,True,0.161,2,False,left,0.0,1.7064,2.0063,0.2999,0.6148,1.1147,0.4999
45,0.5003,0.7504,1,0.6254,0.542,0.8838,45,3.0272,-0.05,-0.025,0.4757,5,3U1D,2.0,True,0.25,0,False,right,0.05,0.6214,1.0965,0.4751,1.9797,2.4796,0.4999
46,0.5003,0.1001,1,0.4919,0.4086,0.7004,46,3.0513,0.9,0.4503,0.9501,5,lapse_rate,2.0,False,0.381,0,False,right,-0.05,0.4924,1.4424,0.95,2.142,2.6424,0.5004
47,0.5003,0.1001,2,0.4086,0.4086,0.5753,47,1.9428,-0.9,-0.4503,0.05,5,lapse_rate,1.0,True,0.236,0,False,left,0.0,1.4807,1.5307,0.05,0.4057,0.9057,0.5
48,0.5003,0.7504,1,0.5086,0.4586,0.642,48,2.802,0.384,0.1918,0.6925,5,3D1U,1.0,True,0.355,1,True,left,0.05,0.5063,1.1979,0.6916,1.8397,2.3396,0.4999
49,0.5003,0.7504,1,0.642,0.5587,0.7087,49,2.7095,-0.4044,-0.2001,0.2998,5,2U1D,1.0,False,0.87,2,False,left,-0.05,0.6408,0.9406,0.2998,1.649,2.1488,0.4998
50,0.5003,0.1001,1,0.5503,0.6337,0.517,50,2.6766,-0.05,-0.025,0.4753,5,3U1D,1.0,False,0.673,0,False,left,0.0,0.5501,1.025,0.4749,1.5417,2.0419,0.5002
