,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.50119,1.2,2,0.23389,0.22554,0.66826,0,1.77924,-0.7,-0.35083,0.15036,5,2U1D,1.0,True,0.389,0,False,left,0.2506,1.6017,1.7092,0.1075,0.0758,0.9009,0.8251,A
1,0.50119,1.2,2,0.20883,0.32577,0.58472,1,2.47254,0.7,0.35083,0.85203,5,2D1U,2.0,True,0.297,0,False,right,-0.2506,1.2444,2.0519,0.8075,0.3021,0.6264,0.3242,A
2,0.50119,1.2,1,0.42601,0.40095,0.77685,2,2.95703,0.7,0.35083,0.85203,5,2D1U,1.0,True,0.335,0,False,left,0.0,0.3927,1.3186,0.9259,2.0603,2.6344,0.5741,A
3,0.50119,1.2,2,0.20883,0.42601,0.70167,3,1.98806,-0.7,-0.35083,0.15036,5,2U1D,1.0,True,0.269,0,False,left,-0.16706,1.3979,1.5067,0.1087,0.2563,0.6653,0.409,A
4,0.50119,1.2,2,0.31742,0.3926,0.45107,4,1.76252,-0.8,-0.40095,0.10024,5,lapse_rate,1.0,True,0.371,0,False,left,0.2506,1.4639,1.5221,0.0581,0.1553,0.9798,0.8245,A
5,0.50119,0.1,1,0.34248,0.41766,0.50119,5,1.98806,-0.55,-0.27566,0.22554,5,2U1D,2.0,True,0.746,0,False,right,-0.2506,0.4059,0.4887,0.0828,1.1803,1.2894,0.1091,A
6,0.50119,1.2,1,0.36754,0.28401,0.80191,6,2.8568,0.8,0.40095,0.90215,5,lapse_rate,1.0,True,0.288,0,False,left,0.0,0.3357,1.3103,0.9746,2.0773,2.6518,0.5746,A
7,0.50119,0.1,1,0.38425,0.32577,0.76849,7,2.75655,0.55,0.27566,0.77685,5,2D1U,1.0,True,0.495,0,False,left,-0.16706,0.4521,1.0858,0.6337,2.0023,2.1937,0.1914,A
8,0.50119,1.2,2,0.23389,0.2506,0.79355,8,1.87947,-0.8,-0.40095,0.10024,5,lapse_rate,1.0,True,0.401,0,False,left,0.2506,1.7232,1.7815,0.0582,0.0727,0.8977,0.825,A
9,0.50119,0.1,2,0.36754,0.34248,0.7852,9,2.77326,0.55,0.27566,0.77685,5,2D1U,2.0,True,2.825,0,False,right,-0.2506,1.5197,2.2201,0.7005,0.5614,0.6697,0.1083,A
10,0.50119,0.1,2,0.2673,0.3926,0.71838,10,2.10501,-0.55,-0.27566,0.22554,5,2U1D,1.0,True,7.008,0,False,left,0.0,1.4713,1.6218,0.1505,0.33,0.6882,0.3582,A
11,0.50119,1.2,2,0.31742,0.22554,0.68496,11,2.02983,-0.4,-0.20048,0.30072,5,2U1D,1.0,True,0.333,0,False,left,-0.16706,1.4916,1.7504,0.2587,0.3672,0.775,0.4078,A
12,0.50119,0.1,2,0.38425,0.23389,0.52625,12,2.54773,0.8,0.40095,0.90215,5,lapse_rate,2.0,True,2.062,0,False,right,0.2506,1.522,2.3466,0.8246,0.3227,0.9304,0.6077,A
13,0.50119,1.2,2,0.35919,0.44272,0.85203,13,2.8568,0.4,0.20048,0.70167,5,2D1U,2.0,True,1.313,0,False,right,-0.2506,1.6568,2.3154,0.6586,0.4481,0.7734,0.3253,A
