,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.49721,1.2,1,0.20717,0.28175,0.46406,0,2.25401,0.6,0.29832,0.80382,5,2D1U,1.0,True,0.26,0,False,left,0.2486,0.1703,1.0452,0.8749,1.3543,2.1703,0.8161,A
1,0.49721,1.2,2,0.28175,0.36462,0.48063,1,1.82309,-0.6,-0.29832,0.19888,5,2U1D,1.0,True,0.32,0,False,left,0.0,1.3315,1.4982,0.1667,0.2484,0.8153,0.5669,A
2,0.49721,1.2,2,0.3149,0.4392,0.69609,2,2.85066,0.8,0.39776,0.90326,5,lapse_rate,2.0,True,0.225,0,False,right,-0.16574,1.5012,2.3761,0.8749,0.3681,0.7674,0.3994,A
3,0.49721,1.2,2,0.21546,0.27346,0.77896,3,2.56891,0.6,0.29832,0.80382,5,2D1U,2.0,True,0.226,0,False,right,0.2486,1.6947,2.4706,0.7759,0.0614,0.8781,0.8166,A
4,0.49721,0.1,2,0.40605,0.34804,0.89497,4,2.34515,-0.6,-0.29832,0.19888,5,2U1D,1.0,True,0.325,0,False,left,0.0,1.7951,1.8545,0.0594,0.5366,0.7622,0.2256,A
5,0.49721,0.1,1,0.39776,0.4392,0.45577,5,2.0634,-0.45,-0.22374,0.27346,5,2U1D,2.0,True,0.114,0,False,right,-0.16574,0.5366,0.5366,0.0,1.2116,1.2699,0.0583,A
6,0.49721,0.1,2,0.2486,0.22374,0.41434,6,2.10484,0.45,0.22374,0.72095,5,2D1U,2.0,True,0.11,0,False,right,0.2486,1.2822,1.8654,0.5832,0.2572,0.7321,0.4749,A
7,0.49721,1.2,1,0.41434,0.29832,0.47235,7,1.78166,-0.8,-0.39776,0.09944,5,lapse_rate,2.0,True,0.14,0,False,right,0.0,0.382,0.548,0.166,0.9886,1.556,0.5674,A
8,0.49721,0.1,2,0.32318,0.28175,0.6878,8,1.88938,-0.8,-0.39776,0.09944,5,lapse_rate,1.0,True,0.266,0,False,left,-0.16574,1.4204,1.3789,-0.0415,0.5379,0.596,0.0581,A
9,0.49721,1.2,2,0.24032,0.43091,0.85354,9,2.74293,0.45,0.22374,0.72095,5,2D1U,2.0,True,0.112,0,False,right,0.2486,1.7927,2.485,0.6923,0.0845,0.9019,0.8174,A
10,0.49721,1.2,2,0.32318,0.23203,0.82039,10,2.14627,-0.45,-0.22374,0.27346,5,2U1D,1.0,True,0.183,0,False,left,0.0,1.7181,1.9596,0.2414,0.2935,0.859,0.5655,A
11,0.49721,1.2,1,0.22374,0.22374,0.83696,11,2.68491,0.8,0.39776,0.90326,5,lapse_rate,1.0,True,0.266,0,False,left,-0.16574,0.1873,1.1622,0.9748,2.0537,2.4536,0.3999,A
12,0.49721,1.2,2,0.41434,0.38119,0.60493,12,2.54404,0.3,0.14916,0.64637,5,2D1U,2.0,True,0.393,0,False,right,0.2486,1.7148,2.3315,0.6167,0.2557,1.0729,0.8172,A
13,0.49721,0.1,2,0.24032,0.29004,0.61322,13,1.98883,-0.3,-0.14916,0.34804,5,2U1D,2.0,False,1.1,0,False,right,0.0,1.3518,1.5604,0.2086,0.377,0.6017,0.2248,A
14,0.49721,1.2,2,0.21546,0.3729,0.78724,14,1.97225,-0.8,-0.39776,0.09944,5,lapse_rate,1.0,True,0.426,0,False,left,-0.16574,1.4929,1.5595,0.0666,0.2675,0.668,0.4005,A
15,0.49721,0.1,1,0.33976,0.33147,0.77067,15,2.58548,0.3,0.14916,0.64637,5,2D1U,2.0,False,0.267,0,False,right,0.2486,0.4771,0.8526,0.3756,1.6362,2.1111,0.4748,A
16,0.49721,0.1,1,0.20717,0.28175,0.61322,16,1.90596,-0.39,-0.19888,0.30661,5,2U1D,2.0,True,0.221,1,True,right,0.0,0.3402,0.3734,0.0332,1.1247,1.3485,0.2238,A
17,0.49721,0.1,1,0.27346,0.28175,0.80382,17,2.7595,0.8,0.39776,0.90326,5,lapse_rate,1.0,True,0.113,0,False,left,-0.16574,0.4097,1.0425,0.6328,2.0675,2.126,0.0585,A
