,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.49781,1.2,1,0.29869,0.35677,0.82139,0,2.02444,-0.9,-0.44803,0.04978,5,lapse_rate,2.0,True,3.318,0,False,right,0.16594,0.2137,0.4389,0.2252,1.0972,1.9387,0.8416,A
1,0.49781,1.2,1,0.34847,0.29039,0.71353,1,2.67159,0.65,0.32358,0.82139,5,2D1U,1.0,True,0.618,0,False,left,-0.08297,0.2651,1.2653,1.0002,1.9401,2.5318,0.5917,A
2,0.49781,1.2,2,0.33188,0.34017,0.73013,2,2.07423,-0.65,-0.32358,0.17424,5,2U1D,1.0,True,0.519,0,False,left,0.16594,1.8223,1.9055,0.0832,0.1642,1.0057,0.8415,A
3,0.49781,0.1,2,0.22402,0.2655,0.77991,3,2.72138,0.9,0.44803,0.95414,5,lapse_rate,2.0,True,0.109,0,False,right,-0.08297,1.4979,2.4403,0.9424,0.2487,0.698,0.4493,A
4,0.49781,0.1,1,0.31528,0.21572,0.7965,4,2.6467,0.65,0.32358,0.82139,5,2D1U,1.0,True,0.483,0,False,left,0.16594,0.3013,1.1594,0.858,1.8598,2.5596,0.6998,A
5,0.49781,0.1,2,0.43144,0.44803,0.43974,5,1.99126,-0.65,-0.32358,0.17424,5,2U1D,1.0,True,0.282,0,False,left,-0.08297,1.362,1.5212,0.1591,0.4536,0.9034,0.4498,A
6,0.49781,1.2,1,0.35677,0.20742,0.58908,6,2.42269,0.55,0.2738,0.77161,5,2D1U,1.0,True,0.337,0,False,left,0.16594,0.2739,1.224,0.9501,1.6492,999,997.3508,A
7,0.49781,1.2,2,0.41485,0.40655,0.87118,7,2.24017,-0.9,-0.44803,0.04978,5,lapse_rate,1.0,True,0.342,0,False,left,-0.08297,1.9223,1.8801,-0.0422,0.3722,0.9636,0.5914,A
8,0.49781,0.1,2,0.43144,0.43974,0.43974,8,1.85851,-0.9,-0.44803,0.04978,5,lapse_rate,1.0,True,0.276,0,False,left,0.16594,1.4895,1.5213,0.0319,0.3304,1.0294,0.699,A
9,0.49781,1.2,2,0.43974,0.36506,0.68035,9,2.20698,-0.55,-0.2738,0.22402,5,2U1D,1.0,True,0.242,0,False,left,-0.08297,1.7604,1.8938,0.1334,0.4015,0.9933,0.5918,A
10,0.49781,0.1,1,0.31528,0.2572,0.70524,10,2.54714,0.55,0.2738,0.77161,5,2D1U,1.0,True,0.277,0,False,left,0.16594,0.2964,1.1039,0.8075,1.7129,2.4123,0.6994,A
11,0.49781,0.1,1,0.2572,0.40655,0.58078,11,1.79212,-0.9,-0.44803,0.04978,5,lapse_rate,2.0,True,1.092,0,False,right,-0.08297,0.2375,0.3211,0.0836,0.9289,1.3788,0.4499,A
12,0.49781,0.1,1,0.32358,0.2572,0.69694,12,1.99955,-0.55,-0.2738,0.22402,5,2U1D,2.0,True,0.225,0,False,right,0.16594,0.3103,0.5685,0.2582,1.1691,1.8685,0.6993,A
13,0.49781,1.2,2,0.34847,0.2655,0.70524,13,2.53885,0.45,0.22402,0.72183,5,2D1U,2.0,True,0.242,0,False,right,-0.08297,1.6896,2.3228,0.6332,0.3062,0.898,0.5919,A
14,0.49781,1.2,2,0.20742,0.20742,0.72183,14,2.35631,0.45,0.22402,0.72183,5,2D1U,1.0,False,0.368,0,False,left,0.16594,1.6896,2.3228,0.6332,0.0397,0.8816,0.842,A
15,0.49781,0.1,2,0.36506,0.37336,0.55589,15,2.06592,-0.45,-0.22402,0.2738,5,2U1D,1.0,True,0.267,0,False,left,-0.08297,1.4135,1.6718,0.2582,0.3884,0.839,0.4506,A
16,0.49781,1.2,2,0.2738,0.21572,0.43974,16,1.47685,-0.9,-0.44803,0.04978,5,lapse_rate,1.0,True,0.439,0,False,left,0.16594,1.4712,1.4296,-0.0416,0.1048,0.9475,0.8427,A
17,0.49781,0.1,2,0.43974,0.35677,0.48952,17,2.53886,0.51,0.2572,0.75502,5,2D1U,2.0,True,0.225,1,True,right,-0.08297,1.4232,2.1648,0.7416,0.465,0.9149,0.4499,A
18,0.49781,1.2,1,0.2738,0.36506,0.58908,18,1.99955,-0.45,-0.22402,0.2738,5,2U1D,2.0,True,0.375,0,False,right,0.16594,0.1894,0.6393,0.4499,1.0643,1.9061,0.8418,A
19,0.49781,1.2,2,0.29869,0.34017,0.59738,19,1.78383,-0.9,-0.44803,0.04978,5,lapse_rate,1.0,True,0.359,0,False,left,-0.08297,1.5314,1.4899,-0.0415,0.2566,0.8482,0.5916,A
