,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.50129,0.1,1,0.40939,0.41774,0.82713,0,3.10801,0.9,0.45116,0.95246,5,lapse_rate,1.0,True,0.41,0,False,left,0.08355,0.2729,1.4977,1.2248,2.1478,3.0061,0.8584,A,0.275
1,0.50129,1.2,2,0.29242,0.27571,0.41774,1,1.83807,-0.3,-0.15039,0.35091,5,1D2U,1.0,True,0.416,0,False,left,-0.25065,1.0816,1.6984,0.6167,0.2817,0.7982,0.5165,A,0.27
2,0.50129,1.2,1,0.21723,0.259,0.66004,2,1.98847,-0.3,-0.15039,0.35091,5,1D2U,2.0,True,0.4,0,False,right,0.08355,0.0838,0.7011,0.6173,1.1836,2.0425,0.8589,A,0.27
3,0.50129,0.1,2,0.26736,0.4261,0.5932,3,2.3895,0.2,0.10026,0.60155,5,2D1U,2.0,True,0.4,0,False,right,-0.25065,1.2407,2.1158,0.8751,0.2577,0.7822,0.5246,A,0.275
4,0.50129,0.1,2,0.20887,0.24229,0.79371,4,1.77122,-0.95,-0.47623,0.02506,5,lapse_rate,1.0,True,0.409,0,False,left,0.08355,1.5523,1.8532,0.3009,0.036,0.8938,0.8579,A,0.275
5,0.50129,0.1,2,0.40939,0.44281,0.65168,5,2.60672,0.2,0.10026,0.60155,5,2D1U,2.0,True,0.358,0,False,right,-0.25065,1.4417,2.3166,0.8749,0.4002,0.925,0.5247,A,0.275
6,0.50129,0.1,1,0.30913,0.26736,0.72688,6,2.75712,0.9,0.45116,0.95246,5,lapse_rate,1.0,True,0.366,0,False,left,0.08355,0.1735,1.3983,1.2248,1.9484,2.8152,0.8667,A,0.275
7,0.50129,1.2,1,0.23394,0.20887,0.89397,7,2.26417,-0.14,-0.06684,0.4261,5,1D2U,2.0,True,0.442,0,False,right,-0.25065,0.101,0.7927,0.6917,1.6755,2.1927,0.5172,A,0.27
8,0.50129,1.2,1,0.23394,0.43445,0.86891,8,2.55659,0.04,0.01671,0.518,5,2D1U,2.0,False,0.334,0,False,right,0.08355,0.0965,0.8787,0.7822,1.571,2.421,0.85,A,0.27
9,0.50129,0.1,2,0.35091,0.20887,0.80207,9,2.8156,0.9,0.45116,0.95246,5,lapse_rate,2.0,True,0.342,0,False,right,-0.25065,1.5301,2.7556,1.2256,0.339,0.8632,0.5242,A,0.275
10,0.50129,0.1,1,0.38432,0.27571,0.83549,10,2.42291,-0.14,-0.06684,0.4261,5,1D2U,1.0,False,0.334,0,False,left,0.08355,0.2489,0.949,0.7001,1.6073,2.4657,0.8584,A,0.275
11,0.50129,0.1,2,0.23394,0.30913,0.75194,11,2.18898,-0.22,-0.10861,0.39268,5,1D2U,1.0,True,0.308,1,True,left,-0.25065,1.3649,2.0319,0.667,0.2232,0.7485,0.5253,A,0.275
12,0.50129,1.2,1,0.35926,0.3342,0.80207,12,2.5566,0.12,0.05848,0.55978,5,2D1U,2.0,False,0.113,1,True,right,0.08355,0.2259,1.0509,0.825,1.6757,2.5257,0.85,A,0.27
13,0.50129,1.2,1,0.44281,0.3342,0.45116,13,1.75452,-0.95,-0.47623,0.02506,5,lapse_rate,2.0,True,0.525,0,False,right,-0.25065,0.3094,0.601,0.2915,1.0431,1.5593,0.5162,A,0.27
14,0.50129,1.2,2,0.40939,0.45116,0.5932,14,2.34772,-0.22,-0.10861,0.39268,5,1D2U,2.0,False,0.392,1,True,right,0.08355,1.5371,2.196,0.6588,0.2294,1.0789,0.8495,A,0.27
15,0.50129,0.1,1,0.259,0.37597,0.65168,15,1.813,-0.95,-0.47623,0.02506,5,lapse_rate,2.0,True,0.35,0,False,right,-0.25065,0.1266,0.4262,0.2996,1.0687,1.5938,0.5251,A,0.275
16,0.50129,0.1,1,0.35091,0.29242,0.72688,16,2.47305,0.2,0.10026,0.60155,5,2D1U,1.0,True,0.65,1,False,left,0.08355,0.216,1.091,0.8751,1.6408,2.4987,0.8579,A,0.275
17,0.50129,0.1,2,0.21723,0.37597,0.4261,17,2.12214,0.2,0.10026,0.60155,5,2D1U,2.0,True,0.316,1,False,right,-0.25065,1.0281,1.9032,0.875,0.2117,0.7365,0.5248,A,0.275
18,0.50129,0.1,1,0.39268,0.26736,0.50129,18,2.61508,0.9,0.45116,0.95246,5,lapse_rate,1.0,True,0.383,0,False,left,0.08355,0.2593,1.4843,1.225,1.8093,2.668,0.8587,A,0.275
19,0.50129,1.2,2,0.259,0.30078,0.41774,19,1.82972,-0.3,-0.15039,0.35091,5,1D2U,1.0,True,0.433,1,False,left,-0.25065,1.0488,1.6656,0.6168,0.2489,0.7658,0.5169,A,0.27
20,0.50129,1.2,1,0.22558,0.35091,0.71017,20,2.13886,-0.3,-0.15039,0.35091,5,1D2U,1.0,False,0.325,1,False,left,0.08355,0.0872,0.7042,0.6169,1.2375,2.0867,0.8493,A,0.27
21,0.50129,1.2,1,0.23394,0.39268,0.82713,21,1.9801,-0.95,-0.47623,0.02506,5,lapse_rate,2.0,True,0.351,0,False,right,-0.25065,0.0996,0.3916,0.292,1.2083,1.7251,0.5168,A,0.27
22,0.50129,0.1,1,0.24229,0.43445,0.49294,22,2.24746,0.16,0.08355,0.57649,5,2D1U,1.0,True,0.41,2,True,left,0.08355,0.1049,0.9551,0.8502,1.2721,2.1299,0.8577,A,0.275
23,0.50129,1.2,1,0.25065,0.39268,0.76029,23,2.85737,0.9,0.45116,0.95246,5,lapse_rate,1.0,True,0.366,0,False,left,-0.25065,0.1155,1.3324,1.217,2.082,2.598,0.516,A,0.27
24,0.50129,0.1,1,0.29242,0.30913,0.71017,24,2.12214,-0.38,-0.19216,0.30913,5,1D2U,2.0,True,0.417,1,False,right,0.08355,0.1566,0.7394,0.5828,1.2733,2.1316,0.8583,A,0.275
25,0.50129,1.2,1,0.34255,0.20887,0.54307,25,2.17227,0.16,0.08355,0.57649,5,2D1U,2.0,False,0.4,2,True,right,-0.25065,0.2055,1.0464,0.8409,1.5802,2.0968,0.5166,A,0.27
26,0.50129,1.2,1,0.35926,0.20052,0.4261,26,2.08872,0.2,0.10026,0.60155,5,2D1U,1.0,True,0.15,3,True,left,0.08355,0.2281,1.0943,0.8661,1.3443,2.2027,0.8584,A,0.27
27,0.50129,0.1,2,0.40939,0.41774,0.55978,27,2.19733,-0.38,-0.19216,0.30913,5,1D2U,1.0,True,0.292,1,False,left,-0.25065,1.3457,1.9292,0.5835,0.3958,0.9208,0.525,A,0.275
28,0.50129,1.2,1,0.41774,0.28407,0.62662,28,1.85478,-0.95,-0.47623,0.02506,5,lapse_rate,2.0,True,0.183,0,False,right,0.08355,0.2812,0.5726,0.2914,1.0232,1.8736,0.8504,A,0.27
29,0.50129,0.1,1,0.34255,0.34255,0.74359,29,2.25582,-0.34,-0.1671,0.32584,5,1D2U,2.0,True,0.383,2,True,right,-0.25065,0.2067,0.8063,0.5996,1.54,2.0652,0.5252,A,0.275
