,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.50002,1.2,1,0.39168,0.33335,0.52502,0,2.60011,0.7,0.35002,0.85004,5,2D1U,1.0,True,8.721,0,False,left,0.08334,0.3589,1.2765,0.9176,1.7257,2.3758,0.6501,A
1,0.50002,1.2,2,0.43335,0.44169,0.8167,1,2.34177,-0.7,-0.35002,0.15001,5,2U1D,1.0,True,1.357,0,False,left,-0.25001,1.6938,1.8107,0.1169,0.5275,0.8439,0.3164,A
2,0.50002,0.1,2,0.23334,0.42502,0.68336,2,1.94174,-0.8,-0.40002,0.1,5,lapse_rate,2.0,False,4.13,0,False,right,0.08334,1.4611,1.4275,-0.0336,0.3274,0.6441,0.3168,A
3,0.50002,0.1,2,0.33335,0.40002,0.82504,3,2.90847,0.7,0.35002,0.85004,5,2D1U,2.0,True,0.632,0,False,right,-0.25001,1.5319,2.2487,0.7168,0.5902,0.5736,-0.0166,A
4,0.50002,0.1,2,0.28335,0.42502,0.65836,4,2.01676,-0.7,-0.35002,0.15001,5,2U1D,1.0,True,1.615,0,False,left,0.08334,1.4833,1.4998,0.0165,0.3753,0.6916,0.3163,A
5,0.50002,1.2,2,0.35002,0.35835,0.45002,5,2.55845,0.8,0.40002,0.90004,5,lapse_rate,1.0,False,3.461,0,False,left,-0.25001,1.2396,2.1061,0.8666,0.4398,0.7561,0.3163,A
6,0.50002,1.2,2,0.29168,0.25001,0.52502,6,1.79174,-0.55,-0.27501,0.22501,5,2U1D,1.0,True,0.897,0,False,left,0.08334,1.4219,1.6135,0.1916,0.2136,0.8635,0.6499,A
7,0.50002,1.2,2,0.26668,0.20001,0.72503,7,2.46677,0.55,0.27501,0.77503,5,2D1U,2.0,True,1.342,0,False,right,-0.25001,1.4315,2.1734,0.7419,0.3567,0.6732,0.3166,A
8,0.50002,0.1,1,0.20001,0.32501,0.42502,8,1.55006,-0.8,-0.40002,0.1,5,lapse_rate,2.0,True,1.419,0,False,right,0.08334,0.3333,0.1668,-0.1664,0.6834,1.0004,0.317,A
9,0.50002,0.1,2,0.20834,0.21668,0.7417,9,1.89175,-0.55,-0.27501,0.22501,5,2U1D,1.0,True,0.35,0,False,left,-0.25001,1.3218,1.4133,0.0916,0.4634,0.4468,-0.0166,A
10,0.50002,0.1,2,0.26668,0.36668,0.50836,10,2.41677,0.55,0.27501,0.77503,5,2D1U,2.0,True,0.298,0,False,right,0.08334,1.3148,1.9564,0.6416,0.3564,0.6731,0.3167,A
11,0.50002,1.2,2,0.42502,0.37502,0.56669,11,2.16676,-0.4,-0.20001,0.30001,5,2U1D,1.0,True,0.464,0,False,left,-0.25001,1.4316,1.6983,0.2668,0.5151,0.8317,0.3167,A
12,0.50002,1.2,1,0.40002,0.44169,0.85837,12,2.90013,0.4,0.20001,0.70003,5,2D1U,2.0,False,3.118,0,False,right,0.08334,0.3624,1.1294,0.767,1.9124,2.5623,0.6499,A
13,0.50002,1.2,1,0.25834,0.45002,0.8667,13,2.17508,-0.8,-0.40002,0.1,5,lapse_rate,1.0,False,4.184,0,False,left,-0.25001,0.2241,0.3912,0.1671,1.349,1.6659,0.3169,A
14,0.50002,0.1,2,0.25001,0.37502,0.8167,14,2.24176,-0.4,-0.20001,0.30001,5,2U1D,1.0,True,0.396,0,False,left,0.08334,1.6055,1.7722,0.1667,0.3387,0.6556,0.3168,A
15,0.50002,0.1,2,0.26668,0.25834,0.59169,15,2.51677,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.411,0,False,right,-0.25001,1.2286,1.9952,0.7667,0.5202,0.5037,-0.0165,A
16,0.50002,0.1,2,0.38335,0.35002,0.8667,16,2.84179,0.49,0.24168,0.7417,5,2D1U,1.0,False,1.25,1,True,left,0.08334,1.7923,2.4006,0.6083,0.4757,0.7923,0.3167,A
17,0.50002,1.2,1,0.25001,0.20001,0.40835,17,2.15009,0.58,0.29168,0.7917,5,2D1U,1.0,True,0.395,1,False,left,-0.25001,0.2153,1.074,0.8587,1.5736,1.8903,0.3166,A
18,0.50002,1.2,2,0.29168,0.25001,0.7417,18,2.68345,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,2.563,0,False,right,0.08334,1.6378,2.5047,0.8669,0.213,0.863,0.65,A
19,0.50002,1.2,2,0.21668,0.41669,0.80837,19,2.31678,-0.25,-0.12501,0.37502,5,2U1D,1.0,True,1.431,0,False,left,-0.25001,1.4655,1.8075,0.3421,0.3071,0.624,0.3169,A
20,0.50002,0.1,2,0.29168,0.32501,0.51669,20,2.4251,0.58,0.29168,0.7917,5,2D1U,2.0,True,0.337,1,False,right,0.08334,1.3454,2.0031,0.6576,0.3787,0.6956,0.3169,A
21,0.50002,1.2,1,0.30001,0.20834,0.51669,21,1.62506,-0.8,-0.40002,0.1,5,lapse_rate,2.0,True,1.456,0,False,right,-0.25001,0.2644,0.4311,0.1667,1.0394,1.3561,0.3167,A
22,0.50002,0.1,2,0.36668,0.35002,0.8667,22,2.45844,-0.25,-0.12501,0.37502,5,2U1D,1.0,True,0.454,0,False,left,0.08334,1.7756,2.0172,0.2416,0.4589,0.7759,0.317,A
23,0.50002,1.2,2,0.39168,0.38335,0.60836,23,2.65011,0.526,0.26668,0.7667,5,2D1U,2.0,True,0.268,2,True,right,-0.25001,1.4389,2.1722,0.7333,0.4806,0.7971,0.3165,A
24,0.50002,1.2,1,0.40002,0.20001,0.46669,24,2.01676,-0.1,-0.05,0.45002,5,2U1D,2.0,True,0.5,0,False,right,0.08334,0.3685,0.8852,0.5167,1.2771,1.9268,0.6497,A
25,0.50002,0.1,2,0.20834,0.40835,0.44169,25,1.6584,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.498,0,False,left,-0.25001,1.0275,0.9946,-0.0329,0.4691,0.4524,-0.0167,A
26,0.50002,0.1,2,0.43335,0.31668,0.49169,26,2.19176,-0.1,-0.05,0.45002,5,2U1D,2.0,False,0.331,0,False,right,0.08334,1.4641,1.7806,0.3165,0.5227,0.8389,0.3162,A
27,0.50002,1.2,2,0.38335,0.34168,0.62503,27,1.95008,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.841,0,False,left,-0.25001,1.4472,1.5136,0.0664,0.4719,0.7889,0.317,A
28,0.50002,0.1,2,0.43335,0.40835,0.7167,28,2.82512,0.526,0.26668,0.7667,5,2D1U,2.0,True,0.319,2,True,right,0.08334,1.6934,2.3264,0.633,0.5263,0.8434,0.3171,A
29,0.50002,1.2,2,0.35002,0.38335,0.53336,29,2.50012,0.472,0.23334,0.73337,5,2D1U,2.0,True,0.214,2,False,right,-0.25001,1.3211,2.0209,0.6998,0.4376,0.7542,0.3166,A
30,0.50002,0.1,1,0.34168,0.39168,0.60003,30,2.73345,0.8,0.40002,0.90004,5,lapse_rate,1.0,True,0.22,0,False,left,0.08334,0.4752,1.1094,0.6342,1.8013,2.1171,0.3158,A
31,0.50002,1.2,1,0.21668,0.35835,0.52502,31,2.00842,-0.19,-0.09167,0.40835,5,2U1D,1.0,False,0.416,1,True,left,-0.25001,0.1802,0.6562,0.4761,1.2724,1.5896,0.3172,A
32,0.50002,0.1,2,0.30001,0.20834,0.44169,32,1.55006,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.344,0,False,left,0.08334,1.2782,1.2461,-0.0321,0.3878,0.7037,0.3159,A
33,0.50002,0.1,1,0.20834,0.26668,0.54169,33,1.87508,-0.28,-0.14167,0.35835,5,2U1D,2.0,True,0.242,1,False,right,-0.25001,0.3431,0.4348,0.0917,1.2348,1.218,-0.0168,A
34,0.50002,0.1,2,0.37502,0.40002,0.7917,34,2.80013,0.472,0.23334,0.73337,5,2D1U,2.0,True,0.459,2,False,right,0.08334,1.7044,2.3049,0.6005,0.464,0.7806,0.3166,A
35,0.50002,1.2,2,0.23334,0.22501,0.80004,35,2.65845,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.112,0,False,right,-0.25001,1.4727,2.3401,0.8674,0.3234,0.64,0.3166,A
36,0.50002,1.2,1,0.28335,0.30001,0.65836,36,2.4501,0.418,0.20834,0.70836,5,2D1U,1.0,True,0.224,2,False,left,0.08334,0.2532,1.0277,0.7745,1.6109,2.2608,0.65,A
37,0.50002,1.2,1,0.40835,0.20834,0.44169,37,1.91675,-0.28,-0.14167,0.35835,5,2U1D,2.0,True,0.57,1,False,right,-0.25001,0.3782,0.8038,0.4255,1.3367,1.6537,0.3169,A
38,0.50002,0.1,1,0.42502,0.40002,0.77503,38,2.80845,0.418,0.20834,0.70836,5,2D1U,1.0,True,0.363,2,False,left,0.08334,0.5546,0.9963,0.4418,1.8625,2.1795,0.317,A
39,0.50002,0.1,1,0.35835,0.43335,0.63336,39,2.30843,-0.226,-0.11667,0.38335,5,2U1D,2.0,True,0.365,2,True,right,-0.25001,0.4878,0.6055,0.1177,1.496,1.4797,-0.0163,A
40,0.50002,0.1,2,0.28335,0.43335,0.60836,40,1.92508,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.314,0,False,left,0.08334,1.4301,1.3969,-0.0332,0.3727,0.6888,0.3161,A
41,0.50002,1.2,1,0.30001,0.30001,0.80004,41,2.28343,-0.226,-0.11667,0.38335,5,2U1D,2.0,True,0.316,2,True,right,-0.25001,0.2691,0.7189,0.4498,1.6102,1.927,0.3168,A
42,0.50002,0.1,1,0.36668,0.30001,0.62503,42,1.89174,-0.8,-0.40002,0.1,5,lapse_rate,2.0,True,0.17,0,False,right,0.08334,0.4978,0.3308,-0.167,1.0469,1.3642,0.3172,A
43,0.50002,1.2,2,0.20834,0.34168,0.59169,43,2.32509,0.364,0.18334,0.68336,5,2D1U,1.0,False,0.12,2,False,left,-0.25001,1.2388,1.8884,0.6497,0.2965,0.613,0.3164,A
44,0.50002,0.1,1,0.26668,0.44169,0.44169,44,2.06677,-0.172,-0.08334,0.41669,5,2U1D,2.0,True,0.167,2,False,right,0.08334,0.3995,0.5495,0.15,1.0828,1.399,0.3162,A
45,0.50002,0.1,2,0.31668,0.35002,0.45002,45,2.3251,0.418,0.20834,0.70836,5,2D1U,2.0,True,0.62,3,True,right,-0.25001,1.1436,1.7178,0.5742,0.5765,0.56,-0.0165,A
46,0.50002,0.1,2,0.26668,0.33335,0.48335,46,2.48344,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.332,0,False,right,0.08334,1.2935,2.06,0.7664,0.3602,0.6768,0.3167,A
47,0.50002,1.2,2,0.36668,0.21668,0.52502,47,2.02509,-0.172,-0.08334,0.41669,5,2U1D,1.0,True,0.656,2,False,left,-0.25001,1.3288,1.7119,0.3831,0.453,0.7702,0.3172,A
48,0.50002,1.2,2,0.22501,0.24168,0.75837,48,2.62512,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.192,0,False,right,0.08334,1.5881,2.4549,0.8668,0.1465,0.797,0.6505,A
49,0.50002,1.2,2,0.45002,0.25001,0.49169,49,2.4001,0.418,0.20834,0.70836,5,2D1U,2.0,True,0.235,3,True,right,-0.25001,1.3827,2.057,0.6743,0.5406,0.8577,0.3171,A
50,0.50002,0.1,1,0.44169,0.20834,0.75837,50,2.35011,-0.118,-0.05834,0.44169,5,2U1D,1.0,False,1.348,2,False,left,0.08334,0.5781,0.7529,0.1747,1.603,1.9196,0.3166,A
51,0.50002,0.1,1,0.43335,0.23334,0.56669,51,2.41676,0.364,0.18334,0.68336,5,2D1U,2.0,False,1.174,4,True,right,-0.25001,0.5648,0.9804,0.4156,1.8065,1.7897,-0.0169,A
52,0.50002,0.1,1,0.24168,0.37502,0.8167,52,2.83346,0.8,0.40002,0.90004,5,lapse_rate,1.0,True,0.647,0,False,left,0.08334,0.3718,1.0063,0.6345,1.9142,2.2305,0.3163,A
53,0.50002,1.2,2,0.41669,0.37502,0.90004,53,2.90013,0.418,0.20834,0.70836,5,2D1U,2.0,True,0.243,5,True,right,-0.25001,1.757,2.4316,0.6746,0.5069,0.8237,0.3168,A
54,0.50002,1.2,1,0.40002,0.21668,0.49169,54,2.0251,-0.172,-0.08334,0.41669,5,2U1D,1.0,False,0.498,3,True,left,0.08334,0.3643,0.848,0.4838,1.2639,1.9143,0.6504,A
55,0.50002,1.2,2,0.30835,0.25001,0.75003,55,2.70845,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.455,0,False,right,-0.25001,1.4952,2.3618,0.8666,0.3951,0.7121,0.317,A
56,0.50002,0.1,1,0.44169,0.27501,0.53336,56,2.45844,0.418,0.20834,0.70836,5,2D1U,1.0,True,0.289,5,True,left,0.08334,0.5737,1.0158,0.442,1.6405,1.9573,0.3168,A
57,0.50002,0.1,1,0.30001,0.27501,0.60003,57,2.05842,-0.226,-0.11667,0.38335,5,2U1D,2.0,True,0.35,3,False,right,-0.25001,0.4318,0.5485,0.1167,1.407,1.3896,-0.0174,A
58,0.50002,1.2,2,0.24168,0.39168,0.59169,58,1.82507,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.348,0,False,left,0.08334,1.437,1.504,0.0669,0.1622,0.8118,0.6496,A
59,0.50002,1.2,1,0.35002,0.41669,0.52502,59,2.1751,-0.226,-0.11667,0.38335,5,2U1D,2.0,True,1.589,3,False,right,-0.25001,0.3159,0.766,0.4501,1.3825,1.6987,0.3162,A
60,0.50002,1.2,2,0.38335,0.25001,0.60836,60,2.4251,0.364,0.18334,0.68336,5,2D1U,2.0,True,0.862,6,True,right,0.08334,1.5988,2.2492,0.6504,0.3073,0.957,0.6498,A
61,0.50002,1.2,2,0.22501,0.25001,0.89171,61,1.96675,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,1.567,0,False,left,-0.25001,1.5537,1.6206,0.0669,0.3116,0.6292,0.3175,A
62,0.50002,0.1,1,0.39168,0.43335,0.73337,62,2.47511,-0.172,-0.08334,0.41669,5,2U1D,2.0,True,0.224,4,True,right,0.08334,0.5284,0.6779,0.1496,1.5037,1.82,0.3163,A
63,0.50002,1.2,2,0.27501,0.43335,0.72503,63,2.83345,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.217,0,False,right,-0.25001,1.4386,2.3052,0.8667,0.363,0.6807,0.3177,A
64,0.50002,0.1,1,0.27501,0.39168,0.48335,64,2.33342,0.364,0.18334,0.68336,5,2D1U,2.0,False,1.047,6,True,right,0.08334,0.4078,0.8241,0.4164,1.3997,1.7164,0.3167,A
65,0.50002,1.2,1,0.22501,0.40835,0.70003,65,2.54177,0.418,0.20834,0.70836,5,2D1U,1.0,True,0.289,7,True,left,-0.25001,0.1901,0.9656,0.7755,1.7572,2.0743,0.317,A
66,0.50002,1.2,2,0.20001,0.30001,0.59169,66,2.00842,-0.172,-0.08334,0.41669,5,2U1D,2.0,False,0.308,4,True,right,0.08334,1.3953,1.7786,0.3833,0.1205,0.7702,0.6497,A
67,0.50002,1.2,2,0.41669,0.44169,0.82504,67,2.28344,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.512,0,False,left,-0.25001,1.687,1.7538,0.0668,0.5117,0.8289,0.3172,A
68,0.50002,0.1,2,0.22501,0.39168,0.45835,68,1.95841,-0.226,-0.11667,0.38335,5,2U1D,1.0,True,0.8,5,True,left,0.08334,1.2235,1.4737,0.2502,0.3155,0.6321,0.3166,A
69,0.50002,0.1,2,0.27501,0.22501,0.85004,69,2.55844,0.418,0.20834,0.70836,5,2D1U,2.0,True,0.391,7,True,right,-0.25001,1.4982,2.0736,0.5754,0.532,0.5154,-0.0166,A
70,0.50002,1.2,1,0.40835,0.27501,0.46669,70,1.75007,-0.8,-0.40002,0.1,5,lapse_rate,2.0,True,0.516,0,False,right,0.08334,0.3768,0.5429,0.1661,0.935,1.5849,0.6499,A
71,0.50002,1.2,2,0.44169,0.25001,0.42502,71,2.3001,0.364,0.18334,0.68336,5,2D1U,2.0,True,0.725,8,True,right,-0.25001,1.3047,1.9544,0.6497,0.5298,0.8454,0.3156,A
72,0.50002,1.2,2,0.33335,0.41669,0.8417,72,2.9918,0.8,0.40002,0.90004,5,lapse_rate,2.0,True,0.108,0,False,right,0.08334,1.7836,2.6502,0.8666,0.2585,0.9078,0.6493,A
73,0.50002,1.2,1,0.37502,0.20834,0.65003,73,2.11676,-0.226,-0.11667,0.38335,5,2U1D,1.0,False,0.499,5,True,left,-0.25001,0.3424,0.7921,0.4497,1.5341,1.8499,0.3159,A
74,0.50002,0.1,1,0.33335,0.25001,0.42502,74,1.86675,-0.28,-0.14167,0.35835,5,2U1D,2.0,True,0.315,5,False,right,0.08334,0.4671,0.5592,0.0922,1.0763,1.3925,0.3162,A
75,0.50002,0.1,1,0.33335,0.42502,0.40002,75,1.75841,-0.8,-0.40002,0.1,5,lapse_rate,2.0,True,0.239,0,False,right,-0.25001,0.4646,0.2983,-0.1663,0.9565,0.9404,-0.0162,A
76,0.50002,0.1,1,0.27501,0.31668,0.8417,76,2.61677,0.364,0.18334,0.68336,5,2D1U,1.0,True,0.307,8,True,left,0.08334,0.4118,0.8279,0.4162,1.7613,2.0781,0.3168,A
77,0.50002,1.2,2,0.43335,0.20834,0.7917,77,2.03341,-0.8,-0.40002,0.1,5,lapse_rate,1.0,True,0.4,0,False,left,-0.25001,1.6647,1.7314,0.0667,0.5233,0.8402,0.317,A
78,0.50002,1.2,2,0.27501,0.27501,0.6917,78,2.10009,-0.28,-0.14167,0.35835,5,2U1D,2.0,False,0.347,5,False,right,0.08334,1.5727,1.8975,0.3248,0.198,0.8483,0.6503,A
79,0.50002,1.2,1,0.26668,0.25001,0.70836,79,2.38343,0.31,0.15834,0.65836,5,2D1U,2.0,False,0.421,8,False,right,-0.25001,0.2346,0.9594,0.7248,1.7593,2.0766,0.3173,A
80,0.50002,0.1,1,0.34168,0.40002,0.58336,80,2.15843,-0.334,-0.16667,0.33335,5,2U1D,2.0,True,0.262,5,False,right,0.08334,0.4719,0.5374,0.0655,1.212,1.5291,0.3171,A
81,0.50002,0.1,2,0.31668,0.20834,0.45835,81,2.16675,0.364,0.18334,0.68336,5,2D1U,2.0,True,0.315,9,True,right,-0.25001,1.1515,1.7015,0.55,0.577,0.5598,-0.0172,A
82,0.50002,0.1,1,0.43335,0.40835,0.52502,82,2.76678,0.8,0.40002,0.90004,5,lapse_rate,2.0,False,0.254,0,False,right,0.08334,0.5648,1.1975,0.6326,1.8148,2.1309,0.3161,A
83,0.50002,1.2,2,0.38335,0.25001,0.49169,83,2.30843,0.364,0.18334,0.68336,5,2D1U,2.0,True,0.18,9,True,right,-0.25001,1.3187,1.9689,0.6502,0.477,0.7938,0.3167,A
