,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
0,0.49979,1.2,1,0.20825,0.34153,0.53311,0,1.75761,-0.65,-0.32487,0.17493,5,2U1D,1.0,False,5.681,0,False,left,0.1666,0.1372,0.4539,0.3168,0.8372,1.6457,0.8085,A
1,0.49979,1.2,1,0.31654,0.23324,0.808,1,2.70722,0.7,0.34986,0.84965,5,lapse_rate,1.0,True,1.452,0,False,left,-0.0833,0.2521,1.2439,0.9918,2.0272,2.5859,0.5586,A
2,0.49979,1.2,1,0.38318,0.24157,0.40817,2,1.68265,-0.7,-0.34986,0.14994,5,2U1D,2.0,True,0.501,0,False,right,0.1666,0.3183,0.6108,0.2925,0.8684,1.6767,0.8084,A
3,0.49979,1.2,1,0.34153,0.34986,0.79967,3,2.14079,-0.7,-0.34986,0.14994,5,lapse_rate,2.0,True,0.109,0,False,right,-0.0833,0.2708,0.5624,0.2915,1.337,1.8954,0.5584,A
4,0.49979,0.1,2,0.27489,0.2499,0.54144,4,2.39068,0.65,0.32487,0.82466,5,2D1U,2.0,True,1.247,0,False,right,0.1666,1.5666,2.3083,0.7417,0.1086,0.9417,0.8331,A
5,0.49979,1.2,2,0.34153,0.42482,0.66639,5,2.78218,0.7,0.34986,0.84965,5,lapse_rate,2.0,True,0.74,0,False,right,-0.0833,1.6059,2.3804,0.7745,0.3139,0.8722,0.5582,A
6,0.49979,0.1,1,0.39151,0.41649,0.58309,6,2.04082,-0.7,-0.34986,0.14994,5,2U1D,1.0,False,52.175,0,False,left,0.1666,0.3066,0.6234,0.3169,1.0404,1.8736,0.8332,A
7,0.49979,1.2,2,0.28322,0.30821,0.59142,7,2.5073,0.65,0.32487,0.82466,5,2D1U,2.0,True,1.204,0,False,right,-0.0833,1.4714,2.2215,0.75,0.2546,0.8135,0.5589,A
8,0.49979,0.1,2,0.21658,0.32487,0.8913,8,2.78219,0.7,0.34986,0.84965,5,lapse_rate,2.0,True,1.183,0,False,right,0.1666,1.8552,2.6219,0.7667,0.047,0.8798,0.8328,A
9,0.49979,1.2,1,0.27489,0.28322,0.41649,9,1.62433,-0.7,-0.34986,0.14994,5,2U1D,2.0,True,1.239,0,False,right,-0.0833,0.2107,0.5027,0.292,0.894,1.4527,0.5587,A
10,0.49979,0.1,1,0.41649,0.34153,0.88297,10,2.91546,0.55,0.27489,0.77468,5,2D1U,1.0,True,0.717,0,False,left,0.1666,0.3317,1.274,0.9423,1.9903,2.8242,0.8339,A
11,0.49979,0.1,2,0.31654,0.29988,0.64973,11,2.54062,0.55,0.27489,0.77468,5,2D1U,2.0,True,1.565,0,False,right,-0.0833,1.5884,2.2794,0.691,0.271,0.8549,0.5838,A
12,0.49979,0.1,2,0.22491,0.43315,0.59975,12,1.90754,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.429,0,False,left,0.1666,1.5744,1.6407,0.0663,0.0576,0.8908,0.8332,A
13,0.49979,1.2,2,0.30821,0.43315,0.808,13,2.19909,-0.7,-0.34986,0.14994,5,2U1D,1.0,True,0.385,0,False,left,-0.0833,1.7166,1.7922,0.0756,0.2832,0.842,0.5588,A
14,0.49979,1.2,2,0.39151,0.37485,0.57476,14,2.02417,-0.64,-0.31654,0.18326,5,2U1D,2.0,False,0.485,1,True,right,0.1666,1.6933,1.8016,0.1083,0.2439,1.0525,0.8086,A
15,0.49979,0.1,1,0.31654,0.26656,0.54144,15,2.34903,0.45,0.22491,0.7247,5,2D1U,1.0,True,0.86,0,False,left,-0.0833,0.2356,1.1268,0.8912,1.6285,2.2102,0.5818,A
16,0.49979,1.2,1,0.2499,0.29988,0.75802,16,2.65724,0.7,0.34986,0.84965,5,lapse_rate,2.0,False,0.229,0,False,right,0.1666,0.1861,1.1771,0.9911,1.7855,2.5943,0.8088,A
17,0.49979,0.1,1,0.30821,0.3332,0.44148,17,2.43233,0.7,0.34986,0.84965,5,lapse_rate,1.0,True,0.809,0,False,left,-0.0833,0.227,1.2441,1.017,1.6431,2.2268,0.5837,A
18,0.49979,0.1,1,0.42482,0.23324,0.63307,18,1.94919,-0.676,-0.34153,0.15827,5,2U1D,2.0,True,0.863,2,True,right,0.1666,0.3391,0.6639,0.3249,1.1313,999,997.8687,A
19,0.49979,1.2,2,0.38318,0.28322,0.69138,19,2.58227,0.45,0.22491,0.7247,5,2D1U,2.0,True,0.121,0,False,right,-0.0833,1.6767,2.326,0.6493,0.3596,0.9176,0.558,A
20,0.49979,1.2,2,0.38318,0.43315,0.64973,20,2.11579,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.338,0,False,left,0.1666,1.7566,1.8317,0.0751,0.2311,1.0393,0.8082,A
21,0.49979,1.2,1,0.29988,0.32487,0.43315,21,1.71596,-0.676,-0.34153,0.15827,5,2U1D,2.0,True,0.463,2,True,right,-0.0833,0.235,0.5353,0.3003,0.9438,1.5026,0.5588,A
22,0.49979,0.1,2,0.40817,0.29988,0.87464,22,2.7572,0.35,0.17493,0.67472,5,2D1U,2.0,True,0.725,0,False,right,0.1666,2.0308,2.623,0.5922,0.2392,1.0726,0.8334,A
23,0.49979,0.1,1,0.21658,0.26656,0.78301,23,1.9492,-0.64,-0.31654,0.18326,5,2U1D,2.0,True,1.078,3,True,right,-0.0833,0.1297,0.4797,0.35,1.2213,1.8051,0.5838,A
24,0.49979,1.2,2,0.29155,0.23324,0.74969,24,2.44899,0.35,0.17493,0.67472,5,2D1U,2.0,True,0.748,0,False,right,0.1666,1.764,2.3637,0.5997,0.1386,0.947,0.8084,A
25,0.49979,1.2,2,0.34986,0.21658,0.40817,25,1.62434,-0.7,-0.34986,0.14994,5,lapse_rate,1.0,True,0.373,0,False,left,-0.0833,1.3536,1.4287,0.0751,0.3208,0.8787,0.5579,A
26,0.49979,0.1,2,0.28322,0.35819,0.54977,26,2.54062,0.7,0.34986,0.84965,5,lapse_rate,2.0,True,0.673,0,False,right,0.1666,1.5776,2.3447,0.7671,0.1111,0.9446,0.8335,A
27,0.49979,1.2,1,0.39151,0.42482,0.73303,27,2.67389,0.25,0.12495,0.62474,5,2D1U,2.0,False,0.268,0,False,right,-0.0833,0.3205,1.087,0.7665,1.7959,2.3539,0.558,A
28,0.49979,0.1,1,0.44981,0.28322,0.46647,28,1.88255,-0.64,-0.31654,0.18326,5,2U1D,2.0,True,2.499,3,True,right,0.1666,0.3619,0.712,0.3501,1.0118,1.8454,0.8335,A
29,0.49979,0.1,1,0.21658,0.42482,0.86631,29,2.66556,0.31,0.15827,0.65806,5,2D1U,1.0,True,0.699,1,True,left,-0.0833,0.1297,0.9546,0.8249,1.7803,2.3631,0.5829,A
30,0.49979,1.2,1,0.39984,0.29155,0.6414,30,2.68223,0.7,0.34986,0.84965,5,lapse_rate,2.0,False,0.325,0,False,right,0.1666,0.3346,1.3261,0.9915,1.8184,2.6267,0.8083,A
31,0.49979,1.2,2,0.34986,0.25823,0.808,31,2.1158,-0.604,-0.29988,0.19992,5,2U1D,2.0,False,0.612,3,False,right,-0.0833,1.755,1.8792,0.1242,0.3216,0.8795,0.5579,A
32,0.49979,1.2,1,0.40817,0.22491,0.6414,32,2.43233,0.31,0.15827,0.65806,5,2D1U,2.0,False,0.416,1,True,right,0.1666,0.3391,1.1392,0.8002,1.6317,2.4402,0.8085,A
33,0.49979,1.2,1,0.19992,0.2499,0.54144,33,2.3407,0.7,0.34986,0.84965,5,lapse_rate,1.0,True,0.401,0,False,left,-0.0833,0.1296,1.1217,0.9922,1.639,2.1968,0.5578,A
34,0.49979,0.1,2,0.38318,0.20825,0.76635,34,2.04083,-0.64,-0.31654,0.18326,5,2U1D,1.0,True,0.967,4,True,left,0.1666,1.8965,1.9959,0.0994,0.2128,1.046,0.8332,A
35,0.49979,0.1,2,0.32487,0.29988,0.77468,35,2.08248,-0.64,-0.31654,0.18326,5,2U1D,1.0,True,0.334,4,True,left,-0.0833,1.7253,1.8257,0.1004,0.2845,0.8672,0.5827,A
36,0.49979,0.1,2,0.34986,0.3332,0.73303,36,2.76553,0.7,0.34986,0.84965,5,lapse_rate,2.0,True,0.557,0,False,right,0.1666,1.8366,2.6031,0.7665,0.1862,1.0197,0.8336,A
37,0.49979,1.2,2,0.31654,0.44981,0.50812,37,2.45731,0.37,0.18326,0.68305,5,2D1U,2.0,True,0.182,1,False,right,-0.0833,1.4292,2.0378,0.6086,0.2967,0.854,0.5572,A
