,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.49798,1.2,2,0.62248,0.30709,0.95447,0,2.40692,-0.95,-0.47309,0.0249,5,2D1U,1.0,True,0.639,0,False,left,0.44819,2.3118,2.5367,0.2249,0.3028,1.4535,1.1507,A,0.2
1,0.49798,0.1,1,0.25729,0.29879,0.39839,1,2.39862,0.9,0.44819,0.94617,5,lapse_rate,1.0,True,0.75,0,False,left,-0.44819,0.1522,1.3269,1.1747,1.8432,2.1185,0.2753,A,0.22
2,0.49798,1.2,1,0.43159,0.48968,0.71378,2,2.15793,-0.95,-0.47309,0.0249,5,1D2U,2.0,True,1.142,0,False,right,0.44819,0.3341,0.5587,0.2246,0.9502,2.1001,1.1499,A,0.2
3,0.49798,0.1,1,0.33199,0.34029,0.49798,3,1.69314,-0.95,-0.47309,0.0249,5,lapse_rate,2.0,True,2.641,0,False,right,-0.44819,0.2249,0.4752,0.2503,1.0916,1.367,0.2754,A,0.22
4,0.49798,0.1,2,0.34029,0.44819,0.68888,4,2.08324,-0.79,-0.39839,0.1079,5,2D1U,1.0,True,1.333,0,False,left,0.44819,1.7627,2.0961,0.3334,0.0062,1.1795,1.1733,A,0.22
5,0.49798,1.2,1,0.40669,0.33199,0.48968,5,2.67251,0.9,0.44819,0.94617,5,lapse_rate,1.0,True,0.225,0,False,left,-0.44819,0.3043,1.4537,1.1495,2.0704,2.3208,0.2503,A,0.2
6,0.49798,0.1,2,0.57268,0.34029,0.70548,6,2.14133,-0.95,-0.47309,0.0249,5,1D2U,1.0,True,0.925,0,False,left,0.44819,2.0131,2.2629,0.2498,0.2382,1.4132,1.1749,A,0.22
7,0.49798,1.2,1,0.34029,0.32369,0.70548,7,2.05003,-0.63,-0.31539,0.18259,5,2D1U,2.0,True,0.134,0,False,right,-0.44819,0.2398,0.624,0.3842,1.4567,1.7067,0.25,A,0.2
8,0.49798,1.2,2,0.45649,0.61418,1.19516,8,2.78871,-0.95,-0.47309,0.0249,5,lapse_rate,1.0,True,0.8,0,False,left,0.44819,2.3844,2.6097,0.2253,0.1349,1.2848,1.1499,A,0.2
9,0.49798,1.2,1,0.38179,0.44819,0.88807,9,2.48162,-0.47,-0.23239,0.26559,5,2D1U,2.0,True,1.005,0,False,right,-0.44819,0.2798,0.7466,0.4668,1.7633,2.0135,0.2502,A,0.2
10,0.49798,0.1,1,0.41499,0.51458,1.09557,10,2.63102,-0.79,-0.39839,0.1079,5,1D2U,2.0,True,0.767,0,False,right,0.44819,0.3058,0.6394,0.3336,1.4058,2.5812,1.1754,A,0.22
11,0.49798,1.2,1,0.36519,0.39839,0.60588,11,2.81361,0.9,0.44819,0.94617,5,lapse_rate,1.0,True,0.483,0,False,left,-0.44819,0.2679,1.4176,1.1497,2.151,2.4009,0.2499,A,0.2
12,0.49798,0.1,1,0.39009,0.66398,0.78848,12,2.44843,-0.79,-0.39839,0.1079,5,1D2U,2.0,True,0.65,0,False,right,0.44819,0.2793,0.6125,0.3332,1.0706,2.2463,1.1758,A,0.22
13,0.49798,1.2,2,0.21579,0.31539,0.71378,13,2.09153,-0.31,-0.1577,0.34859,5,2D1U,2.0,False,0.456,0,False,right,-0.44819,1.2113,1.7611,0.5498,0.3448,0.5949,0.2501,A,0.2
14,0.49798,1.2,2,0.34859,0.54778,1.04577,14,2.78871,-0.31,-0.1577,0.34859,5,2D1U,1.0,True,1.95,0,False,left,0.44819,2.1264,2.6763,0.5499,0.0263,1.1762,1.1499,A,0.2
15,0.49798,1.2,2,0.31539,0.39009,0.74698,15,1.97534,-0.95,-0.47309,0.0249,5,lapse_rate,1.0,True,0.242,0,False,left,-0.44819,1.3363,1.5618,0.2255,0.4366,0.6863,0.2497,A,0.2
16,0.49798,0.1,2,0.62248,0.41499,1.12876,16,2.8468,-0.63,-0.31539,0.18259,5,1D2U,1.0,True,2.166,0,False,left,0.44819,2.4905,2.9073,0.4168,0.2908,1.4654,1.1746,A,0.22
17,0.49798,0.1,1,0.39839,0.34859,0.63908,17,1.90894,-0.95,-0.47309,0.0249,5,lapse_rate,2.0,True,0.6,0,False,right,-0.44819,0.294,0.544,0.25,1.302,1.5772,0.2752,A,0.22
18,0.49798,0.1,1,0.43989,0.43989,0.82997,18,2.63102,-0.15,-0.0747,0.42329,5,2D1U,2.0,True,0.391,0,False,right,0.44819,0.3304,0.9803,0.6499,1.4799,2.6549,1.175,A,0.22
19,0.49798,1.2,1,0.24899,0.25729,0.56438,19,1.75123,-0.63,-0.31539,0.18259,5,1D2U,1.0,False,1.033,0,False,left,-0.44819,0.1475,0.53,0.3825,1.2215,1.4715,0.25,A,0.2
20,0.49798,1.2,2,0.45649,0.30709,0.87147,20,2.27413,-0.71,-0.35689,0.1411,5,1D2U,1.0,True,14.734,1,True,left,0.44819,2.0584,2.3999,0.3415,0.1329,1.2829,1.15,A,0.2
