,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
0,0.49958,0.1,1,0.34138,0.43297,1.07409,0,3.29722,0.9,0.44962,0.9492,5,lapse_rate,1.0,True,0.581,0,False,left,0.44962,0.2313,1.3979,1.1665,2.1393,3.3124,1.173,A,0.22
1,0.49958,1.2,2,0.43297,0.24146,0.55786,1,1.75685,-0.95,-0.4746,0.02498,5,1D2U,1.0,True,0.634,0,False,left,-0.44962,1.264,1.4891,0.2251,0.5559,0.8056,0.2497,A,0.2
2,0.49958,1.2,1,0.37468,0.33305,0.44129,2,1.67358,-0.95,-0.4746,0.02498,5,1D2U,2.0,True,0.541,0,False,right,0.44962,0.2784,0.5031,0.2246,0.6195,1.7699,1.1504,A,0.2
3,0.49958,0.1,2,0.3497,0.35803,0.5079,3,1.74019,-0.95,-0.4746,0.02498,5,2D1U,1.0,True,0.492,0,False,left,-0.44962,1.1311,1.3723,0.2412,0.4638,0.7304,0.2666,A,0.22
4,0.49958,0.1,2,0.44962,0.52456,1.00748,4,2.50622,-0.95,-0.4746,0.02498,5,lapse_rate,1.0,True,0.425,0,False,left,0.44962,2.179,2.4211,0.242,0.1131,1.2789,1.1658,A,0.22
5,0.49958,0.1,1,0.37468,0.30807,0.57451,5,1.86508,-0.79,-0.39134,0.10824,5,2D1U,2.0,True,0.384,0,False,right,-0.44962,0.2623,0.5876,0.3253,1.2791,1.5457,0.2666,A,0.22
6,0.49958,1.2,2,0.65778,0.33305,1.06576,6,2.66441,-0.79,-0.39134,0.10824,5,1D2U,1.0,True,0.416,0,False,left,0.44962,2.4489,2.7666,0.3178,0.3326,1.4823,1.1497,A,0.2
7,0.49958,0.1,1,0.29975,0.43297,0.48292,7,1.7402,-0.95,-0.4746,0.02498,5,lapse_rate,2.0,True,0.758,0,False,right,-0.44962,0.1896,0.4312,0.2415,1.0311,1.2977,0.2665,A,0.22
8,0.49958,1.2,2,0.51623,0.37468,0.9825,8,2.55617,-0.63,-0.3164,0.18318,5,2D1U,1.0,True,0.349,0,False,left,0.44962,2.2267,2.6101,0.3834,0.1933,1.3432,1.1499,A,0.2
9,0.49958,0.1,1,0.37468,0.43297,0.85761,9,2.27308,-0.79,-0.39134,0.10824,5,1D2U,2.0,True,0.183,0,False,right,-0.44962,0.2679,0.5928,0.3249,1.568,1.8349,0.2669,A,0.22
10,0.49958,1.2,1,0.35803,0.60782,1.22396,10,2.71437,-0.95,-0.4746,0.02498,5,lapse_rate,2.0,True,0.111,0,False,right,0.44962,0.2543,0.4793,0.225,1.3796,2.5293,1.1497,A,0.2
11,0.49958,0.1,1,0.33305,0.39966,0.86593,11,2.36466,-0.47,-0.23314,0.26644,5,2D1U,2.0,True,0.471,0,False,right,-0.44962,0.2269,0.7102,0.4833,1.6935,1.9602,0.2667,A,0.22
12,0.49958,1.2,2,0.54121,0.38301,0.9492,12,2.55618,-0.63,-0.3164,0.18318,5,1D2U,1.0,True,0.774,0,False,left,0.44962,2.2195,2.6029,0.3834,0.2204,1.3697,1.1493,A,0.2
13,0.49958,1.2,2,0.29975,0.24146,0.57451,13,2.5645,0.9,0.44962,0.9492,5,lapse_rate,2.0,True,0.351,0,False,right,-0.44962,1.1486,2.2986,1.15,0.4243,0.6741,0.2498,A,0.2
14,0.49958,1.2,2,0.42464,0.38301,0.83263,14,3.08906,0.9,0.44962,0.9492,5,lapse_rate,1.0,False,1.6,0,False,left,0.44962,1.9844,3.1343,1.1499,0.1015,1.2515,1.15,A,0.2
15,0.49958,1.2,2,0.27477,0.32472,0.40799,15,1.84844,-0.31,-0.1582,0.34138,5,2D1U,1.0,True,0.281,0,False,left,-0.44962,0.9542,1.496,0.5417,0.3964,0.646,0.2497,A,0.2
16,0.49958,0.1,1,0.51623,0.37468,0.91589,16,2.48956,-0.63,-0.3164,0.18318,5,1D2U,2.0,True,0.6,0,False,right,0.44962,0.4088,0.8095,0.4007,1.3929,2.5679,1.175,A,0.22
17,0.49958,0.1,2,0.29142,0.27477,0.6661,17,2.15651,-0.15,-0.07494,0.42464,5,2D1U,1.0,True,0.152,0,False,left,-0.44962,1.2313,1.8732,0.6419,0.4069,0.6735,0.2666,A,0.22
18,0.49958,0.1,2,0.55786,0.33305,0.88259,18,3.22228,0.9,0.44962,0.9492,5,lapse_rate,2.0,True,0.124,0,False,right,0.44962,2.1655,3.3317,1.1661,0.2237,1.3902,1.1664,A,0.22
19,0.49958,1.2,2,0.25811,0.30807,0.72439,19,2.05659,-0.47,-0.23314,0.26644,5,1D2U,1.0,True,0.35,0,False,left,-0.44962,1.257,1.7242,0.4672,0.3824,0.6321,0.2496,A,0.2
20,0.49958,1.2,1,0.3497,0.44129,0.83263,20,2.6311,0.01,0.00833,0.5079,5,2D1U,1.0,True,0.666,0,False,left,0.44962,0.2483,0.9569,0.7087,1.465,2.6155,1.1505,A,0.2
21,0.49958,0.1,1,0.28309,0.37468,0.58284,21,2.68939,0.9,0.44962,0.9492,5,lapse_rate,1.0,True,0.583,0,False,left,-0.44962,0.1708,1.3379,1.1671,2.0378,2.3043,0.2665,A,0.22
22,0.49958,0.1,2,0.49958,0.64112,0.62447,22,2.53119,-0.47,-0.23314,0.26644,5,1D2U,1.0,True,0.808,0,False,left,0.44962,1.8513,2.3344,0.483,0.1679,1.3344,1.1665,A,0.22
23,0.49958,0.1,2,0.28309,0.35803,0.88259,23,2.97249,0.9,0.44962,0.9492,5,lapse_rate,2.0,True,1.333,0,False,right,-0.44962,1.4371,2.6036,1.1665,0.3954,0.6625,0.2671,A,0.22
24,0.49958,0.1,1,0.36636,0.6328,0.89924,24,2.73936,-0.31,-0.1582,0.34138,5,1D2U,2.0,True,0.475,0,False,right,0.44962,0.2551,0.8136,0.5584,1.3801,2.5469,1.1668,A,0.22
25,0.49958,1.2,1,0.41631,0.20816,0.89091,25,2.52286,0.01,0.00833,0.5079,5,2D1U,2.0,False,0.816,0,False,right,-0.44962,0.3196,1.0281,0.7084,2.0447,2.295,0.2504,A,0.2
26,0.49958,1.2,1,0.42464,0.67443,0.73271,26,2.67274,-0.31,-0.1582,0.34138,5,1D2U,2.0,True,0.192,0,False,right,0.44962,0.3226,0.8644,0.5418,1.2725,2.4224,1.1499,A,0.2
27,0.49958,1.2,1,0.38301,0.39966,0.77434,27,2.08157,-0.95,-0.4746,0.02498,5,lapse_rate,2.0,True,0.37,0,False,right,-0.44962,0.2817,0.507,0.2253,1.4073,1.6569,0.2496,A,0.2
28,0.49958,0.1,2,0.65778,0.4746,1.09074,28,3.30554,0.17,0.08326,0.58284,5,2D1U,2.0,True,0.341,0,False,right,0.44962,2.4744,3.2745,0.8001,0.3242,1.4914,1.1672,A,0.22
29,0.49958,0.1,1,0.39134,0.25811,0.74104,29,2.47291,0.17,0.08326,0.58284,5,2D1U,2.0,False,1.195,0,False,right,-0.44962,0.2782,1.078,0.7998,1.9365,2.203,0.2665,A,0.22
30,0.49958,1.2,1,0.39966,0.48292,0.72439,30,2.13153,-0.95,-0.4746,0.02498,5,lapse_rate,2.0,True,3.849,0,False,right,0.44962,0.2971,0.5219,0.2248,0.9219,2.0724,1.1505,A,0.2
31,0.49958,1.2,1,0.23314,0.25811,0.6328,31,2.04827,-0.15,-0.07494,0.42464,5,1D2U,1.0,False,0.384,0,False,left,-0.44962,0.1319,0.7572,0.6253,1.5155,1.7652,0.2498,A,0.2
32,0.49958,1.2,2,0.59949,0.30807,1.13237,32,3.20561,0.33,0.16653,0.6661,5,2D1U,2.0,True,0.592,0,False,right,0.44962,2.4558,3.3226,0.8668,0.2724,1.4225,1.1501,A,0.2
33,0.49958,0.1,2,0.3164,0.24979,0.49958,33,1.59033,-0.95,-0.4746,0.02498,5,lapse_rate,1.0,True,0.358,0,False,left,-0.44962,1.0953,1.3368,0.2416,0.4365,0.7037,0.2672,A,0.22
34,0.49958,0.1,1,0.44129,0.62447,1.19898,34,3.14733,-0.23,-0.11657,0.38301,5,1D2U,1.0,False,8.633,1,True,left,0.44962,0.3307,0.9305,0.5998,1.7974,2.9643,1.1669,A,0.22
35,0.49958,0.1,1,0.24146,0.42464,0.46627,35,2.58115,0.9,0.44962,0.9492,5,lapse_rate,1.0,True,0.217,0,False,left,-0.44962,0.1297,1.2961,1.1664,1.8795,2.146,0.2664,A,0.22
36,0.49958,0.1,1,0.36636,0.42464,1.16568,36,2.79764,-0.31,-0.1582,0.34138,5,1D2U,1.0,False,0.583,1,False,left,0.44962,0.257,0.8149,0.5579,1.6484,2.8235,1.1751,A,0.22
37,0.49958,1.2,2,0.29142,0.30807,0.45795,37,2.22312,0.33,0.16653,0.6661,5,2D1U,2.0,True,0.265,0,False,right,-0.44962,1.0263,1.8933,0.867,0.4186,0.6678,0.2492,A,0.2
