participantID,modelType,fittedParams,AIC,BIC,logLikelihood,n_conditions,delta_AIC
sx,logLinearMismatch_contextualPrior,"[1.6883539501577616e-05, 0.3050813876232132, 0.3055823031882755, 0.9967612093799282, 1.2550798136740924, 0.12686348999850453, 0.18895603173878045, 0.9989009595382958]",2164.2025175400745,2198.2638582431355,-1074.1012587700372,522,21.585440221624594
sx,lognorm_sharedPrior,"[8.395750395634449e-05, 0.3212084532424035, 0.33288087023879825, 0.9999998988808834, 1.5958319146728628, 0.10596473838614458, 0.16981172087150895]",2149.6521474812293,2179.4558205964076,-1067.8260737406147,522,7.035070162779448
sx,logLinearMismatch_sharedPrior,"[4.65638935565893e-05, 0.3061444669961929, 0.31183541417121885, 0.996482413969934, 1.129570288658142, 0.11347991116344928, 0.20223800502717496]",2162.656785211404,2192.4604583265823,-1074.328392605702,522,20.039707892954084
sx,lognorm_contextualPrior,"[0.0008648830690390213, 0.3049621103138997, 0.3281370984678255, 0.9989145857808006, 1.6567235560995324, 0.11053705302488197, 0.19011315484547708, 0.9989888586756739]",2149.2529041231815,2183.3142448262424,-1066.6264520615907,522,6.6358268047315505
sx,gaussian_contextualPrior,"[0.02403827160596847, 0.18041607856750486, 0.1435198771953583, 0.8096958819389344, 0.7976537132263184, 0.1268308073282242, 0.04863570928573607, 0.9368013207793235]",2142.61707731845,2176.678418021511,-1063.308538659225,522,0.0
sx,gaussian_sharedPrior,"[0.015899938300663052, 0.19083264995460925, 0.1556243939709384, 0.9121052513835461, 0.9224472319666529, 0.13248603971514966, 0.016258597150317647]",2144.688748480035,2174.4924215952133,-1065.3443742400175,522,2.0716711615850727
mt,lognorm_sharedPrior,"[0.020897535852380134, 0.15940189110520742, 0.36494658068663766, 0.7930938635918534, 0.5677797825074095, 0.12809260270089454, 0.24952489504350198]",2198.218145989278,2225.3818768940832,-1092.109072994639,358,0.2897362625117239
mt,lognorm_contextualPrior,"[0.039394585053332765, 0.15494659273887462, 0.2754976264783817, 0.34830525950761226, 0.5738493348702832, 0.15230595456466745, 0.22884859328327706, 0.5512309173582786]",2200.3902543813892,2231.4345182725947,-1092.1951271906946,358,2.461844654622837
mt,logLinearMismatch_sharedPrior,"[0.03168845325708389, 0.14766171336174005, 0.39670308589935305, 0.5512503270208836, 0.5215777206420898, 0.1392464220523834, 0.2286030277609825]",2197.9284097267664,2225.0921406315715,-1091.9642048633832,358,0.0
mt,gaussian_contextualPrior,"[0.023177325269352872, 0.1000012985013018, 0.1976084056786203, 0.708988836441061, 0.24789208153961229, 0.10484932256622415, 0.18037735453544884, 0.9593565787411702]",2216.5311807074368,2247.575444598642,-1100.2655903537184,358,18.602770980670357
