sigma_a,sigma_v,conflict_max,p_c,lambda,lognorm__vs__fusionOnlyLogNorm,lognorm__vs__switchingFree,lognorm__vs__probabilityMatchingLogNorm,lognorm__vs__selection,fusionOnlyLogNorm__vs__switchingFree,fusionOnlyLogNorm__vs__probabilityMatchingLogNorm,fusionOnlyLogNorm__vs__selection,switchingFree__vs__probabilityMatchingLogNorm,switchingFree__vs__selection,probabilityMatchingLogNorm__vs__selection,mean_pairwise
0.05,0.05,0.083,0.3,0.05,0.03439351851851852,0.0203516975308642,0.020442592592592592,0.055504629629629626,0.03505324074074074,0.01753395061728395,0.0733611111111111,0.021471759259259256,0.03908780864197531,0.05910524691358025,0.037630555555555556
0.05,0.05,0.083,0.5,0.05,0.027916512345679014,0.03218271604938271,0.01555478395061728,0.04885756172839505,0.03477175925925926,0.024383333333333326,0.0602898148148148,0.02738287037037037,0.035369907407407405,0.044620679012345676,0.035132993827160494
0.05,0.05,0.083,0.7,0.05,0.022061111111111108,0.04378503086419753,0.01605617283950617,0.04489043209876543,0.0364020061728395,0.030288580246913572,0.051593209876543214,0.04731527777777777,0.04057145061728394,0.04022839506172839,0.03731916666666666
0.05,0.05,0.167,0.3,0.05,0.08913287037037036,0.051772067901234564,0.07997299382716049,0.05906419753086419,0.07409413580246914,0.01295987654320987,0.10959305555555554,0.06231882716049382,0.05585941358024691,0.09850972222222222,0.06932771604938272
0.05,0.05,0.167,0.5,0.05,0.08526543209876543,0.08548827160493827,0.0740266975308642,0.061360030864197515,0.07085123456790123,0.018615895061728394,0.09242854938271604,0.0628378086419753,0.06966959876543209,0.07998179012345678,0.07005253086419752
0.05,0.05,0.167,0.7,0.05,0.0796533950617284,0.118879012345679,0.06852314814814815,0.06645895061728396,0.07390648148148148,0.023427469135802466,0.07719043209876543,0.07619351851851852,0.08888950617283951,0.06506327160493829,0.07381851851851853
0.05,0.05,0.25,0.3,0.05,0.1441712962962963,0.08144197530864197,0.13831589506172837,0.05858333333333334,0.11417006172839507,0.010499845679012349,0.15401728395061726,0.10703626543209876,0.08096697530864197,0.14795663580246915,0.10371595679012344
0.05,0.05,0.25,0.5,0.05,0.14067037037037036,0.1311234567901235,0.1325162037037037,0.06475833333333333,0.10690432098765432,0.013947993827160493,0.14181975308641975,0.09751280864197531,0.11327870370370369,0.13241064814814815,0.10749425925925926
0.05,0.05,0.25,0.7,0.05,0.13721635802469134,0.18208626543209874,0.12939645061728394,0.07436682098765432,0.10518904320987653,0.01792391975308642,0.12639984567901233,0.1050570987654321,0.1478070987654321,0.1149793209876543,0.11404222222222223
0.05,0.05,0.35,0.3,0.05,0.211829475308642,0.09798780864197532,0.20785941358024693,0.05760987654320987,0.15753580246913582,0.007869753086419753,0.21731836419753084,0.15062777777777778,0.09501466049382715,0.21199953703703703,0.14156524691358024
