model,display_model,nstart,parameter,value,nLL,success,is_best
lognorm,CI averaging,1,lambda,0.020096041120357983,1357.1303819503462,True,False
lognorm,CI averaging,1,sigma_a1,0.20484199779472478,1357.1303819503462,True,False
lognorm,CI averaging,1,sigma_v,0.6447196035244857,1357.1303819503462,True,False
lognorm,CI averaging,1,p_c,0.6171644032786847,1357.1303819503462,True,False
lognorm,CI averaging,1,sigma_a2,1.039571072302579,1357.1303819503462,True,False
lognorm,CI averaging,2,lambda,0.04645227143764494,1348.5990617791817,True,False
lognorm,CI averaging,2,sigma_a1,0.18622207541942581,1348.5990617791817,True,False
lognorm,CI averaging,2,sigma_v,0.8966163177251815,1348.5990617791817,True,False
lognorm,CI averaging,2,p_c,0.9999999523162842,1348.5990617791817,True,False
lognorm,CI averaging,2,sigma_a2,0.5059397084283828,1348.5990617791817,True,False
lognorm,CI averaging,3,lambda,0.0020715332031249756,1355.849042443891,True,False
lognorm,CI averaging,3,sigma_a1,0.20592466918945296,1355.849042443891,True,False
lognorm,CI averaging,3,sigma_v,0.8878485791015623,1355.849042443891,True,False
lognorm,CI averaging,3,p_c,0.8429199218750001,1355.849042443891,True,False
lognorm,CI averaging,3,sigma_a2,0.6264969012451171,1355.849042443891,True,False
lognorm,CI averaging,4,lambda,0.03752578411867724,1350.2461584394518,True,False
lognorm,CI averaging,4,sigma_a1,0.19092975565057646,1350.2461584394518,True,False
lognorm,CI averaging,4,sigma_v,0.7453418286053121,1350.2461584394518,True,False
lognorm,CI averaging,4,p_c,0.9056302840603168,1350.2461584394518,True,False
lognorm,CI averaging,4,sigma_a2,0.6079180328028129,1350.2461584394518,True,False
lognorm,CI averaging,5,lambda,0.0551902260285973,1348.554647172099,True,True
lognorm,CI averaging,5,sigma_a1,0.1844808511561865,1348.554647172099,True,True
lognorm,CI averaging,5,sigma_v,0.8927296440926186,1348.554647172099,True,True
lognorm,CI averaging,5,p_c,0.9999938275854221,1348.554647172099,True,True
lognorm,CI averaging,5,sigma_a2,0.5122930373232443,1348.554647172099,True,True
fusionOnlyLogNorm,Forced fusion,1,lambda,0.04875039516937105,1348.9337840883854,True,False
fusionOnlyLogNorm,Forced fusion,1,sigma_a1,0.18461857979802876,1348.9337840883854,True,False
fusionOnlyLogNorm,Forced fusion,1,sigma_v,0.8940082280713249,1348.9337840883854,True,False
fusionOnlyLogNorm,Forced fusion,1,sigma_a2,0.5241367606145795,1348.9337840883854,True,False
fusionOnlyLogNorm,Forced fusion,2,lambda,0.052878600732982145,1348.9017348029727,True,True
fusionOnlyLogNorm,Forced fusion,2,sigma_a1,0.18095352503657336,1348.9017348029727,True,True
fusionOnlyLogNorm,Forced fusion,2,sigma_v,0.9047091966122388,1348.9017348029727,True,True
fusionOnlyLogNorm,Forced fusion,2,sigma_a2,0.5172176123410462,1348.9017348029727,True,True
fusionOnlyLogNorm,Forced fusion,3,lambda,0.031024730219482433,1349.2806256473757,True,False
fusionOnlyLogNorm,Forced fusion,3,sigma_a1,0.1983278793697245,1349.2806256473757,True,False
fusionOnlyLogNorm,Forced fusion,3,sigma_v,0.9527537516802549,1349.2806256473757,True,False
fusionOnlyLogNorm,Forced fusion,3,sigma_a2,0.5029412331632338,1349.2806256473757,True,False
fusionOnlyLogNorm,Forced fusion,4,lambda,0.049889768791595956,1349.077632208889,True,False
fusionOnlyLogNorm,Forced fusion,4,sigma_a1,0.18397454331188845,1349.077632208889,True,False
fusionOnlyLogNorm,Forced fusion,4,sigma_v,0.9351675098048615,1349.077632208889,True,False
fusionOnlyLogNorm,Forced fusion,4,sigma_a2,0.5066059594854434,1349.077632208889,True,False
fusionOnlyLogNorm,Forced fusion,5,lambda,0.03987243067026139,1349.4557830390536,True,False
fusionOnlyLogNorm,Forced fusion,5,sigma_a1,0.18766482245922078,1349.4557830390536,True,False
fusionOnlyLogNorm,Forced fusion,5,sigma_v,0.9603491240143774,1349.4557830390536,True,False
fusionOnlyLogNorm,Forced fusion,5,sigma_a2,0.5482317758202552,1349.4557830390536,True,False
switchingFree,Cue switching,1,lambda,0.05759981858169194,1354.7070715066359,True,False
switchingFree,Cue switching,1,sigma_a1,0.1606892450543631,1354.7070715066359,True,False
switchingFree,Cue switching,1,sigma_v,0.8292382126094306,1354.7070715066359,True,False
switchingFree,Cue switching,1,p_sw1,0.03996442269999528,1354.7070715066359,True,False
switchingFree,Cue switching,1,sigma_a2,0.14189034820572466,1354.7070715066359,True,False
switchingFree,Cue switching,1,p_sw2,0.5009866013424471,1354.7070715066359,True,False
switchingFree,Cue switching,2,lambda,0.038427700052637376,1354.0478850233246,True,False
switchingFree,Cue switching,2,sigma_a1,0.1501179623083717,1354.0478850233246,True,False
switchingFree,Cue switching,2,sigma_v,0.8877457287929299,1354.0478850233246,True,False
switchingFree,Cue switching,2,p_sw1,0.07407427124562665,1354.0478850233246,True,False
switchingFree,Cue switching,2,sigma_a2,0.14550935331437487,1354.0478850233246,True,False
switchingFree,Cue switching,2,p_sw2,0.5162014793371782,1354.0478850233246,True,False
switchingFree,Cue switching,3,lambda,0.02823393227582946,1353.6258548852952,True,True
switchingFree,Cue switching,3,sigma_a1,0.16131691475819887,1353.6258548852952,True,True
switchingFree,Cue switching,3,sigma_v,0.7087031908296124,1353.6258548852952,True,True
