Participant,λ₁,σ_a (low),σ_v,p_c,σ_a (high),λ₂,λ₃,Log-Likelihood,AIC
all,0.1148295617881552,0.26510078233769274,0.5252749505013505,0.9944184451434158,0.568894575886471,0.09512338326531265,0.17045617522356135,-12661.080953328568,25336.161906657137
as,0.0518914042053049,0.22862421389736387,0.5003566807451038,0.6465994239029974,0.5956168872412269,0.09559286076953433,0.02038653079797979,-1122.249902718312,2258.499805436624
dt,0.30035988267852,0.19791469219461832,0.3055316658343932,0.5653568119953958,0.5266942718132727,0.2301037388275785,0.21946004528819468,-1269.6675851819066,2553.335170363813
hh,0.0010001052750820139,0.10928299969578481,0.2493397581844209,0.9562729134020629,1.429903605482726,0.03566837587162153,0.05868916946420466,-591.2186941688625,1196.437388337725
ip,0.133238647881051,0.25088028517441396,0.8141370474081865,0.17120126035676242,0.8065720918262647,0.08863059094109119,0.010652222908665713,-1200.3676276792025,2414.735255358405
ln1,0.124972696350368,0.445288444902487,0.8007312624146625,0.803248171161862,4.0781349271598835,0.0026816229926142077,0.05437001320294194,-583.222684160454,1180.445368320908
ln2,0.07084624898815445,0.1786744132693321,1.3243077591752068,0.7435898302842248,0.39729205353097163,0.0015418196092628345,0.08938274314332492,-1081.787081545596,2177.574163091192
mh,0.1442013179702395,0.4227332351213126,0.4618850363433537,0.7915267801369138,1.4316897560385744,0.015108951292503062,0.23153721899659768,-1210.9270438754413,2435.8540877508826
ml,0.21438643143279304,0.45282259274393216,0.5017308785021144,0.789761092337249,1.0694440229838584,0.059006849287473684,0.08144664627566071,-1255.9519117345892,2525.9038234691784
mt,0.060016318320364956,0.14157681437677516,0.2453356109792027,0.5629474043883376,0.47401674918523495,0.1817284507244998,0.2952600967375416,-1096.9548562294794,2207.909712458959
oy,0.08410660290365946,0.29852335361276694,0.9865746703231218,0.8558858769735136,0.3924577143692063,0.055491089033059826,0.11943352237614092,-1160.0273958996906,2334.0547917993813
qs,0.12467752779611727,0.21872533302410047,1.2220265032224789,0.654026997410676,0.6022964758239889,0.06451166544378002,0.24165844644540493,-1246.403862434337,2506.807724868674
sx,0.0010001342422045756,0.33921005301171236,0.33691544867392487,0.9999998213947973,1.0647684782979108,0.08869125069778204,0.1663210916604338,-1068.8599328713456,2151.719865742691
Mean,0.10965591383323187,0.2730274779509455,0.6364728671005785,0.7334488329914006,1.0336755084338147,0.07799081913508567,0.13531184019389636,-1965.2861178329065,3944.572235665813
SD,0.08223187908268047,0.11311932367026595,0.3627157499688114,0.22409326923658754,0.9839700165877515,0.06648336681556985,0.09213373854365012,3221.71640135204,6443.43280270408
