noise_level,conflict_ms,PSE_mean,PSE_std,N,CI_lower,CI_upper,CI_width
0.1,-250.0,-43.257,,1,-29.82,-13.104,16.716
0.1,-170.0,-20.859,,1,-16.488,-3.336,13.152
0.1,-80.0,18.236,,1,3.462,15.372,11.91
0.1,0.0,5.937,,1,-4.126,10.777,14.902999999999999
0.1,80.0,13.354,,1,0.864,13.814,12.95
0.1,170.0,33.875,,1,10.312,23.411,13.099000000000002
0.1,250.0,33.954,,1,12.233,24.897,12.663999999999998
1.2,-250.0,-166.509,,1,-100.678,-71.885,28.792999999999992
1.2,-170.0,-118.611,,1,-65.42,-50.917,14.503
1.2,-80.0,-14.756,,1,-18.297,4.856,23.153
1.2,0.0,24.102,,1,4.418,22.451,18.033
1.2,80.0,98.205,,1,35.376,61.229,25.853
1.2,170.0,108.72,,1,43.3,65.969,22.668999999999997
1.2,250.0,116.552,,1,49.321,70.776,21.455
