gen_model,param,gen_value,rec_value,best_aic,best_bic,correct_aic,correct_bic,gen_lambda,gen_sigma_a,gen_sigma_v,gen_p_c,gen_p_sw
lognorm,lambda,0.3528695942279688,0.33216510099842933,lognorm,lognorm,1,1,0.3528695942279688,0.22851265792144393,0.1721330605428853,0.8462022132185784,nan
lognorm,lambda,0.014838505827590746,0.014524701657938927,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.014838505827590746,0.06456076041575058,0.2432081502316909,0.42275834814930763,nan
lognorm,lambda,0.1285845222857921,0.12274054575855553,lognorm,lognorm,1,1,0.1285845222857921,0.18132221250384584,0.22141283501944165,0.8850965725195975,nan
lognorm,lambda,0.10287074076053071,0.10049856979188787,lognorm,lognorm,1,1,0.10287074076053071,0.1851239760010977,0.24186497717019073,0.4789249972361385,nan
lognorm,lambda,0.09947189922862228,0.09601059568904784,lognorm,lognorm,1,1,0.09947189922862228,0.27278581774009253,0.20278924987164637,0.8679855894140736,nan
lognorm,lambda,0.32781672343427837,0.32126092853256805,lognorm,lognorm,1,1,0.32781672343427837,0.22682523149660794,0.22153359846281134,0.41367309988490186,nan
lognorm,lambda,0.30438805980065065,0.2718877138796423,lognorm,lognorm,1,1,0.30438805980065065,0.2862477289865535,0.08415737710445619,0.6908677013382961,nan
lognorm,lambda,0.07822031240664161,0.08274725697049871,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.07822031240664161,0.07119379938515293,0.255646582033617,0.3056121228835327,nan
lognorm,lambda,0.04221667077981517,0.043735069693834505,lognorm,lognorm,1,1,0.04221667077981517,0.09484053651935885,0.20960113734952407,0.6349384951508521,nan
lognorm,lambda,0.015178123259489779,0.021045902180635595,lognorm,lognorm,1,1,0.015178123259489779,0.21777768829136557,0.17469467675678452,0.9033062926293324,nan
lognorm,lambda,0.21824379772345578,0.23270258537635458,lognorm,lognorm,1,1,0.21824379772345578,0.23299876884591675,0.1554567174295602,0.7167621218108648,nan
lognorm,lambda,0.06748107060020339,0.0645065603722684,lognorm,lognorm,1,1,0.06748107060020339,0.2970969322895362,0.15881748197912465,0.7315398984213826,nan
lognorm,lambda,0.1995621666872891,0.2056055991023779,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.1995621666872891,0.2529605819738718,0.13331493729148486,0.012511827459543554,nan
lognorm,lambda,0.25834576557899214,0.2334637309325299,lognorm,lognorm,1,1,0.25834576557899214,0.20238535045927808,0.12265143784698697,0.9718116258137817,nan
lognorm,lambda,0.17691012990665833,0.17175681626796724,lognorm,lognorm,1,1,0.17691012990665833,0.12849867643923008,0.1460858687082392,0.4637630788896563,nan
lognorm,lambda,0.16905435957429404,0.16284227734000015,lognorm,lognorm,1,1,0.16905435957429404,0.27198929924683624,0.2528906171649377,0.9650442454444933,nan
lognorm,lambda,0.18776828167825863,0.17601218109500438,lognorm,lognorm,1,1,0.18776828167825863,0.2363638239413718,0.2254260199429946,0.9754580806034769,nan
lognorm,lambda,0.08311215305931999,0.08495646993648809,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.08311215305931999,0.08471335362048853,0.2044744327823661,0.3893935106475065,nan
lognorm,lambda,0.16674598852607048,0.159527312404429,lognorm,lognorm,1,1,0.16674598852607048,0.12392772244808532,0.18171034666688363,0.7094042908146256,nan
lognorm,lambda,0.06402898072209061,0.07194159285232274,lognorm,lognorm,1,1,0.06402898072209061,0.23112857055816527,0.1858662639366036,0.23332267306325144,nan
lognorm,lambda,0.13323944381930014,0.12991168391268026,lognorm,lognorm,1,1,0.13323944381930014,0.20760334943602005,0.12311432100772605,0.6515940472434482,nan
lognorm,lambda,0.04025205947946546,0.04554140307391061,lognorm,lognorm,1,1,0.04025205947946546,0.28422625798578427,0.2133060076206853,0.5227928182121799,nan
lognorm,lambda,0.017455572532064936,0.020895955654680887,lognorm,lognorm,1,1,0.017455572532064936,0.21472730433862613,0.05220824220187077,0.8934226876844177,nan
lognorm,lambda,0.014989774066377182,0.016623122242093086,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.014989774066377182,0.056279038562569925,0.21163569687170047,0.8206323439528622,nan
lognorm,lambda,0.08194494035497728,0.08953836702023484,lognorm,lognorm,1,1,0.08194494035497728,0.16906580629420043,0.10031780475208431,0.26983632369373806,nan
lognorm,lambda,0.2555274533044407,0.2767016787466928,lognorm,fusionOnlyLogNorm,1,0,0.2555274533044407,0.10888852206139497,0.0631358639749341,0.2769950807046509,nan
lognorm,lambda,0.39975425983301355,0.3999999997027219,lognorm,fusionOnlyLogNorm,1,0,0.39975425983301355,0.09756687121338027,0.06490925293924323,0.5089588847222196,nan
lognorm,lambda,0.05669268522192483,0.07490378437610343,fusionOnlyLogNorm,fusionOnlyLogNorm,0,0,0.05669268522192483,0.2517313894006444,0.18246425327282612,0.016072733282565012,nan
