standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
0.5,0.02128000000000002,-0.47872,-3.156840433948747,-3.1568404339487466,0.25,0.02128000000000002,0.1,-0.25,0,1,1
