standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,1,0,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,1,0,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,1,0,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,1,0,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,0,1,1
0.5,0.20806999999999998,-0.29193,-0.8767335368757015,-0.876733536875701,0.25,0.20806999999999998,0.1,-0.25,1,0,1
