standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,0.1,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,0.1,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,0.1,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,0.1,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.25,0.023770000000000013,1.2,-0.25,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.023770000000000013,-0.47623,-3.0461838170500886,-3.046183817050088,0.58,0.023770000000000013,1.2,0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,0.1,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,0.1,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.42,0.02559,1.2,-0.08,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.02559,-0.47441,-2.972406448250494,-2.972406448250494,0.67,0.02559,1.2,0.17,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,0.1,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.58,0.05181000000000002,0.1,0.08,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.58,0.05181000000000002,0.1,0.08,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.58,0.05181000000000002,0.1,0.08,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
0.5,0.05181000000000002,-0.44819,-2.2670249175954944,-2.267024917595494,0.25,0.05181000000000002,1.2,-0.25,0,1,1
