standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,1,0,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.42,0.05260999999999999,0.1,-0.08,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.67,0.05260999999999999,0.1,0.17,0,1,1
0.5,0.05260999999999999,-0.44739,-2.251701882679476,-2.251701882679476,0.67,0.05260999999999999,0.1,0.17,0,1,1
