standardDur,testDurS,deltaDurS,logDeltaDur,logDeltaDurMs,unbiasedVisualStandardDur,unbiasedVisualTestDur,audNoise,conflictDur,chose_test,chose_standard,responses
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,0.1,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,0.1,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.25,0.04998999999999998,1.2,-0.25,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,1,0,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.04998999999999998,-0.45001,-2.302785112996713,-2.302785112996713,0.58,0.04998999999999998,1.2,0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.42,0.05018,0.1,-0.08,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
0.5,0.05018,-0.44982,-2.2989915574839155,-2.298991557483915,0.67,0.05018,0.1,0.17,0,1,1
