,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.49991,0.1,2,0.32494,0.33327,0.83318,0,2.04129,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,2.511,0,False,left,0.0,1.6616,1.712,0.0504,0.3301,0.829,0.499,V
1,0.49991,1.2,1,0.29161,0.43325,0.43325,1,1.83299,-0.65,-0.32494,0.17497,5,2U1D,2.0,True,0.316,0,False,right,0.0,0.3002,0.4747,0.1745,0.9073,1.4071,0.4998,V
2,0.49991,0.1,2,0.37493,0.40826,0.86651,2,2.32458,-0.65,-0.32494,0.17497,5,2U1D,1.0,True,1.859,0,False,left,0.0,1.7443,1.919,0.1747,0.3779,0.8774,0.4995,A
3,0.49991,1.2,1,0.22496,0.20829,0.79152,3,2.54953,0.65,0.32494,0.82485,5,3D1U,1.0,True,0.543,0,False,left,0.0,0.2289,1.0533,0.8244,1.8452,2.3451,0.4999,V
4,0.49991,1.2,1,0.25829,0.29161,0.54157,4,1.64137,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,0.359,0,False,right,0.0,0.2606,0.3103,0.0497,0.8537,1.3524,0.4988,V
5,0.49991,0.1,2,0.24162,0.25829,0.7082,5,1.88299,-0.65,-0.32494,0.17497,5,3U1D,1.0,True,0.709,0,False,left,0.0,1.4591,1.6338,0.1746,0.2498,0.7509,0.5011,V
6,0.49991,1.2,2,0.26662,0.39159,0.8915,6,2.87447,0.65,0.32494,0.82485,5,2D1U,2.0,True,3.017,0,False,right,0.0,1.6661,2.4902,0.8241,0.2739,0.7742,0.5003,A
7,0.49991,0.1,2,0.31661,0.22496,0.63322,7,2.49955,0.65,0.32494,0.82485,5,3D1U,2.0,True,0.326,0,False,right,0.0,1.4523,2.2789,0.8266,0.32,0.8199,0.4999,V
8,0.49991,0.1,1,0.34993,0.39993,0.76652,8,2.06628,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,0.319,0,False,right,0.0,0.3583,0.4085,0.0501,1.1742,1.6754,0.5012,A
9,0.49991,1.2,2,0.43325,0.24162,0.50824,9,2.50787,0.65,0.32494,0.82485,5,2D1U,2.0,True,1.301,0,False,right,0.0,1.4463,2.2707,0.8244,0.4375,0.9364,0.4989,A
10,0.49991,0.1,1,0.24995,0.22496,0.76652,10,1.91631,-0.65,-0.32494,0.17497,5,3U1D,2.0,True,1.65,0,False,right,0.0,0.2588,0.4333,0.1745,1.1997,1.6995,0.4999,V
