,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
0,0.50069,1.2,1,0.28373,0.30876,0.50904,0,1.75243,-0.7,-0.35048,0.15021,5,2U1D,2.0,True,1.031,0,False,right,0.0,0.2903,0.4406,0.1503,0.9479,1.4484,0.5005,A
1,0.50069,0.1,2,0.33379,0.27538,0.55076,1,2.5118,0.7,0.35048,0.85118,5,3D1U,2.0,True,0.233,0,False,right,0.0,1.3866,2.2368,0.8502,0.3363,0.8358,0.4995,V
2,0.50069,1.2,2,0.3171,0.23366,0.85118,2,2.75381,0.7,0.35048,0.85118,5,2D1U,1.0,False,0.283,0,False,left,0.0,1.6733,2.5235,0.8502,0.3224,0.8236,0.5012,V
3,0.50069,0.1,2,0.26704,0.42559,0.69262,3,1.93601,-0.9,-0.45062,0.05007,5,lapse_rate,1.0,True,0.201,0,False,left,0.0,1.4664,1.5162,0.0498,0.274,0.7742,0.5002,V
4,0.50069,0.1,1,0.44228,0.43393,0.80111,4,2.32822,-0.7,-0.35048,0.15021,5,3U1D,2.0,True,0.3,0,False,right,0.0,0.4443,0.5937,0.1494,1.3946,1.8938,0.4992,V
5,0.50069,1.2,1,0.22531,0.45062,0.75104,5,2.77884,0.7,0.35048,0.85118,5,3D1U,1.0,True,0.108,0,False,left,0.0,0.2325,1.0833,0.8509,1.8323,2.3335,0.5012,A
6,0.50069,0.1,2,0.43393,0.29207,0.8929,6,2.2698,-0.7,-0.35048,0.15021,5,2U1D,1.0,True,0.317,0,False,left,0.0,1.8313,1.9811,0.1498,0.4402,0.9396,0.4994,A
7,0.50069,1.2,2,0.37552,0.40055,0.69262,7,2.82056,0.7,0.35048,0.85118,5,3D1U,1.0,False,0.291,0,False,left,0.0,1.5718,2.4209,0.8491,0.3802,0.8792,0.4989,V
8,0.50069,0.1,2,0.39221,0.27538,0.44228,8,2.53684,0.85,0.42559,0.92628,5,2D1U,2.0,True,0.117,0,False,right,0.0,1.344,2.2678,0.9238,0.4012,0.9005,0.4993,V
9,0.50069,1.2,2,0.21697,0.22531,0.726,9,1.89428,-0.55,-0.27538,0.22531,5,2U1D,1.0,True,0.61,0,False,left,0.0,1.4504,1.6738,0.2234,0.2241,0.7248,0.5007,A
10,0.50069,1.2,2,0.41724,0.42559,0.55911,10,2.85394,0.9,0.45062,0.95131,5,lapse_rate,2.0,True,0.25,0,False,right,0.0,1.4819,2.432,0.9501,0.4236,0.9244,0.5008,A
11,0.50069,0.1,1,0.23366,0.36717,0.66759,11,1.91932,-0.7,-0.35048,0.15021,5,3U1D,2.0,True,0.3,0,False,right,0.0,0.2382,0.3881,0.1499,1.0554,1.5557,0.5003,A
12,0.50069,1.2,1,0.42559,0.25869,0.74269,12,2.07787,-0.7,-0.35048,0.15021,5,3U1D,2.0,True,0.251,0,False,right,0.0,0.4328,0.5827,0.1499,1.3245,1.8242,0.4997,A
